db_id,name,rating,reviews_cnt,year,pages_cnt,publisher,genre,author,lang,description,price_from,price_to,unparsed
n459927436,Ajurvéda,0,0,2008,94,slovenské,naučná,Svojtka&amp;Co.</p>,,"Ajurvéda je jeden z najstarších liečebných systémov na svete. Základom je starobylé indické učenie, ktoré chápe človeka ako jeden celok tela, duše a duchovného vnímania, ktorý...",124,199,"['naučná', '', 'slovenské, Svojtka&Co.']"
n53885190,Leaving Václav Havel,0,0,2008,82,anglické,naučná,Vaclav Havel</p>,,"Leaving kniha od autora Havel Václav. Chancellor Rieger is leaving office. But does leaving office necessarily mean that he, his mistress and his extended family have to leave...",261,327,"['naučná', '', 'anglické, Vaclav Havel']"
n4415892,Výrazy II. diel (RNDr.Marián Olejár; Iveta Olejárová),0,0,2008,64,slovenské,naučná,Iveta Olejárová</p>,,"Sú pokračovaním Výrazov I. diel, zväzok 18. Výrazy II. obsahujú 680 vyriešených príkladov v 8. kapitolách. V kapitole 1 sú na obrázkoch znázornené algebraické vzťahy druhej a...",56,88,"['naučná', '', 'slovenské, Iveta Olejárová']"
n1259858,"Mucha francouzsky Muchová, Sarah",0,0,2008,160,francouzské,naučná,Sarah Mucha</p>,,"Muchovo zaujetí pro vše nové obsáhlo architekturu, design interiérů, fotografii, knižní grafiku, sochařství nebo návrhy užitého umění. A právě tyto dosud neprozkoumané oblasti...",288,449,"['naučná', '', 'francouzské, Slovart, Sarah Mucha']"
n46049351,The Firm + MP3 - John Grisham,0,0,2008,85,anglické,naučná,John Grisham</p>,,"Mitch McDeere is young, intelligent and ambitious. When he gets a job with the law firm of Bendini, Lambert & Locke it seems to be the path to money and power. But soon Mitch...",192,204,"['naučná', '', 'anglické, Penguin Books, John Grisham']"
n615702216,Sagen aus Brünn - Leopold Masur,0,0,2008,108,německé,naučná,Leopold Masur</p>,,"Toto vkusné vydání brněnských pověstí vychází ze sbírky Leopolda Masura, která vyšla roku 1934 v tehdejším Československu. Pozornost čtenáře upoutá tato sbírka v porovnání s...",184,198,"['naučná', '', 'německé, Leopold Masur']"
n4435835,Kamene,0,0,2008,120,slovenské,naučná,Mária Bizubová</p>,,"Rozprávaním o kameňoch a kamenných miestach Vás pozývame na putovanie po krajine, v ktorej ste sa možno aj vy narodili, v ktorej žijete a v ktorej zanechávate stopy.
Poďte s...",186,286,"['naučná', '', 'slovenské, Mária Bizubová']"
n19568075,Billy Elliot Burgess Melvin,0,0,2008,64,anglické,naučná,Burgess Melvyn</p>,,"Contemporary / British English Eleven-year old Billy Elliot is different from other boys. He is not very clever or good at sport. Then, one day, he discovers ballet dancing....",163,277,"['naučná', '', 'anglické, PEARSON English Readers, Burgess Melvyn']"
n5127240,Bolesť ako ošetrovateľský problém Ivica Gulášová,0,0,2008,96,slovenské,naučná,Ivica Gulášová</p>,,"Bolesť patrí medzi najčastejšie príznaky, ktoré privedú chorého k lekárovi. Sprevádzaná je nepríjemnými pocitmi rôzneho charakteru, rozličnej intenzity a jej trvanie je takisto...",73,110,"['naučná', '', 'slovenské, Ivica Gulášová']"
n40461981,Beach Alex Garland,0,0,2008,106,anglické,naučná,Garland Alex</p>,,"Contemporary / British English‘Close your eyes … imagine idyllic white sands and coral gardens.’Richard arrives in Thailand. He hears about ‘the beach’, a secret island. It is...",196,220,"['naučná', '', 'anglické, PEARSON English Readers, Garland Alex']"
