db_id,name,rating,reviews_cnt,year,pages_cnt,publisher,genre,author,lang,description,price_from,price_to,unparsed
n647926367,Dekameron B1/B2 - Giovanni Boccaccio,100,1,2018,136,,naučná,italské</p>,,"Boccacciova sbírka sta novel, která měla velký úspěch ihned po svém vydání, se nezaměřuje pouze na životy šlechticů a hrdinů, ale vypráví také o románcích bohatých měšťanů,...",187,269,"['naučná', '', 'italské']"
n191850347,Elisabeth. Kaiserin von Osterreich –,0,0,2018,80,,naučná,německé</p>,,Rakousko v roce 1854: Mladá bavorská vévodkyně Alžběta podává rakouskému císaři Františku Josefovi ve slavnostně vyzdobeném vídeňském kostele sv. Augustina ruku k manželskému...,131,225,"['naučná', '', 'německé']"
n41867551,Franz Kafka und Prag (N) barevná,0,0,2018,120,,naučná,německé</p>,,"„Franz Kafka byl Praha a Praha byla Franz Kafka, napsal kdysi Johannes Urzidil. A skutečně, kdo se vydá po stopách života Franze Kafky, toho cesta zavede přímo do srdce starého...",226,270,"['naučná', '', 'německé']"
n620457870,Klimt - Harald Salfellner,0,0,2018,104,,naučná,španělské</p>,,"Je legendárním knížetem malířů art nouveau, zakladatelem vídeňské Secese. Jeho obrazy dosahují na aukcích rekordních cen. Tváře dam z jeho slavných portrétů září z kávových...",209,270,"['naučná', '', 'španělské']"
n629224433,Asedios al caimán letrado: literatura y poder en la Revolución Cubana - Gallardo-Saborido,0,0,2018,152,španělské,naučná,Karolinum</p>,,Publikace předkládá analýzu různých podob kubánské revoluční literatury od roku 1959 až do současnosti. Příspěvky autorů z různých zemí nabízejí rozmanité přístupy k významným...,141,190,"['naučná', '', 'španělské, Karolinum']"
n41875093,Franz Kafka als bildender Künstler,0,0,2018,112,,naučná,německé</p>,,"Když hovoříme o díle Franze Kafky, máme na mysli především na jeho dílo literární. Méně známé však je, že Kafka také rád kreslil. Kafkův přítel a správce Kafkovy pozůstalosti...",230,297,"['naučná', '', 'německé']"
n95718957,Mucha (N) - Sein Leben in Wort und Bild Neugebauer Roman,0,0,2018,80,,naučná,německé</p>,,Jako malíř svůdně krásných panneau a plakátů je Alfons Mucha světoznámý. Jako dekorativní malíř vtiskl podobu celé jedné epoše: „Le Style Mucha“ je kolem roku 1900 považován za...,176,225,"['naučná', '', 'německé']"
n653809417,Természetismeret harmadikosoknak munkáltató tankönyv - Rút Dobišová Adame,0,0,2018,72,maďarské,naučná,Aitec spol. s.r.o.</p>,,Pracovná učebnica Prírodoveda pre tretiakov s VJM je spracovaná podľa iŠVP pre 1. stupeň ZŠ – ISCED 1 pre oblasť Človek a príroda z roku 2015 a koncepčne nadväzuje na pracovné...,195,253,"['naučná', '', 'maďarské, Aitec spol. s.r.o.']"
n95718956,Mucha (I) - La sua vita in parole e immagini Neugebauer Roman,0,0,2018,80,,naučná,italské</p>,,Jako malíř svůdně krásných panneau a plakátů je Alfons Mucha světoznámý. Jako dekorativní malíř vtiskl podobu celé jedné epoše: „Le Style Mucha“ je kolem roku 1900 považován za...,176,225,"['naučná', '', 'italské']"
n620459449,Klimt -- La sua vita in parole e immagini - Salfellner Harald,0,0,2018,104,,naučná,italské</p>,,"Je legendárním knížetem malířů art nouveau, zakladatelem vídeňské Secese. Jeho obrazy dosahují na aukcích rekordních cen. Tváře dam z jeho slavných portrétů září z kávových...",209,270,"['naučná', '', 'italské']"
