db_id,name,rating,reviews_cnt,year,pages_cnt,publisher,genre,author,lang,description,price_from,price_to,unparsed
n673172815,Desivý mor Atlantídy,0,0,2015,376,slovenské,beletrie,Riddle A. G.</p>,,"Pandémia driemajúca 70 000 rokov... zmení ľudstvo... navždy.

Doktorka Kate Warnerová sa v španielskej Marbelle prebudí do desivej reality: ľudská rasa stojí na pokraji...",255,388,"['beletrie', '', 'slovenské, Riddle A. G.']"
n241802765,My - David Nicholls,0,0,2015,432,slovenské,beletrie,David Nicholls</p>,,"Od svojho prvého bozku žijú šťastne. A odrazu je koniec!MY - román o manželstve, rodičovstve a kríze stredného veku od autora sfilmovaného svetového bestsellera Jeden deň...",389,389,"['beletrie', '', 'slovenské, Ikar, David Nicholls']"
n307792601,Pekařova dcera,0,0,2015,368,slovenské,beletrie,Sarah McCoyová</p>,,"Rok 1944. Elsie Schmidtová, dcera pekaře v Garmischi, dospívá v nacistickém Německu, jehož porážka se nezadržitelně blíží. Denně je konfrontována se stále tíživější realitou,...",276,418,"['beletrie', '', 'slovenské, Libri, Sarah McCoyová']"
n249258392,Sotva dýcham - Rebecca Donovan,0,0,2015,384,slovenské,beletrie,Rebecca Donovan</p>,,"Dostupné aj v kolekcii za skvelú cenu. Emma dostala šancu žiť a podarilo sa jej dostať sa z pekla, ktoré dennodenne zažívala so svojou tetou. Pomaly sa spamätáva zo strašnej...",363,364,"['beletrie', '', 'slovenské, Noxi, Rebecca Donovan']"
n233082610,Miniaturista - Jessie Burton,0,0,2015,432,slovenské,beletrie,Jessie Burtonová</p>,,Jedného jesenného dňa v roku 1686 zaklope na dvere veľkolepého domu v najbohatšej časti Amsterdamu osemnásťročná Nella Oortmanová. Mladučká vidiečanka sa má ujať roly manželky...,276,389,"['beletrie', '', 'slovenské, Ikar, Jessie Burtonová']"
n459943230,Nenásytná - Sylvia Day,0,0,2015,360,slovenské,beletrie,Sylvia Day</p>,,"Gideon Cross je bojovník. Napriek tomu, že pochádza z bohatej rodiny, od začiatku musel zápasiť o svoje miesto pod slnkom. Násilie a traumy, ktoré zažil, z neho spravili...",256,388,"['beletrie', '', 'slovenské, Libri, Sylvia Day']"
n355085067,Čierna hra,0,0,2015,448,slovenské,beletrie,Jozef Karika</p>,,"Drsný triler z krvavých deväťdesiatych rokov zachytávajúci dramatické osudy členov skupiny podsvetia.

Krátko po Nežnej revolúcii zavládlo ponuré obdobie – smrť nikdy nebola...",265,448,"['beletrie', '', 'slovenské, Ikar SK, Jozef Karika']"
n673172802,Prešporské rozprávky,0,0,2015,320,slovenské,beletrie,Igor Janota</p>,,"Jazyk: slovenský
Počet stran: 320
Rok vydání: 2015
Vazba / Podoba: Pevná bez přebalu matná
Sortiment: 
Nakladatelství: Marenčin PT, spol. s r.o.",226,388,"['beletrie', '', 'slovenské, Igor Janota']"
n673171444,Miłoszewski Zygmunt - Hnev,0,0,2015,372,slovenské,beletrie,Miłoszewski Zygmunt</p>,,"Hnev je rozlúčkou s prokurátorom Szackým, jedným z naobľúbenejších hrdinov poľských kriminálnych románov, ktoré aj vďaka nemu čoraz častejšie vychádzajú aj v zahraničných...",306,368,"['beletrie', '', 'slovenské, Miłoszewski Zygmunt']"
n321995287,Žítkovské bohyne,100,2,2015,364,slovenské,beletrie,Kateřina Tučková</p>,,Dnes už kultový román z Česko-slovenského pohraničia Bielych Karpát od českej autorky Kateřiny Tučkovej vyšiel iba pred tromi rokmi a doteraz sa ho predalo viac ako 100.000...,278,478,"['beletrie', '', 'slovenské, Tatran, Kateřina Tučková']"
