db_id,name,rating,reviews_cnt,year,pages_cnt,publisher,genre,author,lang,description,price_from,price_to,unparsed
n455868736,Písně pro Nenu - Tomáš Tajchner,0,0,2016,68,,poezie,Tajchner Tomáš,české,"Čtvrtá básnická sbírka Tomáše Tajchnera. Autor se věnuje také písňovým textům, které do svého repertoáru zařadili například Lenka Dusilová, Petr Bende nebo The Switch. Tomáš...",80,119,"['poezie', '', 'Tajchner Tomáš, české']"
n415151909,Maminka - Jaroslav Seifert,86,3,2016,76,Albatros,poezie,Jaroslav Seifert,české,"Krásné básně, které citlivě vyjadřují lidské pocity, jsou holdem všem maminkám. 

Půvabné vzpomínky na dětský svět a na maminku, která dokázala udělat domov krásným, oslovily...",180,249,"['poezie', '', 'Albatros, Jaroslav Seifert, české']"
n428612206,Nic na sobě nemít - Pavel Petr,0,0,2016,66,Kniha Zlín,poezie,Pavel Petr,české,"Šestá rozsáhlá skladba básníka Pavla Petra – lyrického solitéra, který se vyznačuje výrazným až antickým rétorickým gestem, monumentální obrazností a panoramatickým kulturním...",68,99,"['poezie', '', 'Kniha Zlín, Pavel Petr, české']"
n549420967,Vrátka do ticha Vladimír Křivánek,0,0,2016,88,,poezie,Křivánek Vladimír,české,"V pořadí již devátá Křivánkova kniha poezie. Tvoří ji pětatřicet básní, sestávajících až na drobné výjimky z pouhých osmi veršů. Pro sbírku je příznačná snaha o významovou...",176,225,"['poezie', '', 'Křivánek Vladimír, české']"
n399778917,Myšlenky blázna - Jan Chmúra,0,0,2016,32,,poezie,Jan Chmúra,české,"Myšlenky blázna kniha od autora Jan Chmúra. První básnická sbírka Jana Chmúry, tvořícího a publikujícího pod pseudonymem Myšlenky blázna, vás pohltí svou upřímností a...",78,89,"['poezie', '', 'Jan Chmúra, české']"
n389158657,Polní tráva - Miroslav Florian,0,0,2016,84,Nakladatelství Kmen,poezie,Miroslav Florian,české,Zatím poslední básnický výbor z díla významného představitele poezie všedního dne Miroslava Floriana vychází pod názvem Polní tráva. Knihu vydává Nakladatelství Kmen k...,85,135,"['poezie', '', 'Nakladatelství Kmen, Miroslav Florian, české']"
n465812490,Verše Orfeovi - Alice Hekrdlová,0,0,2016,100,Venkovské dílo,poezie,Alice Hekrdlová,české,"Uhrančivá poezie mladé básnířky Alice Hekrdlové je známá ze stránek časopisů Host, Tvar nebo z Literárních novin. Její očekávaná knižní prvotina Verše Orfeovi přináší výbor...",197,197,"['poezie', '', 'Venkovské dílo, Alice Hekrdlová, české']"
n380268173,Násilí bez předsudků - Jan Těsnohlídek,0,0,2016,72,,poezie,Jan Těsnohlídek,české,Násilí bez předsudků kniha od autora Jan Těsnohlídek. Prvotina Jana Těsnohlídka ml. je básnicky ambiciózní projekt. Expanzivní styl psaní v nejlepších chvílích střídá...,110,141,"['poezie', '', 'Jan Těsnohlídek, české']"
n348459441,Hořce prší. verše z let 1999–2011 - Roman Kníže - Pavel Mervart,0,0,2016,144,,poezie,Roman Kníže,české,"Básník Roman Kníže si nejvíce váží daru zostřeného vidění a vnímání. Tento obraz je nesen proudem času, tedy pohybem skutečnosti i myšlení a dostává zašifrovanou podobu...",111,143,"['poezie', '', 'Roman Kníže, české']"
n468241242,A vlci vyli divnou věc,0,0,2016,40,Agrozpěv,poezie,Tomáš Baldýnský,české,"Sbírka okamžité poezie uspořádaná scenáristou Tomášem Baldýnským, vznikla na Facebooku ihned po objevu soutěže o nejlepší báseň obsahující slova „poctivý, párek, Kostelec“. Co...",71,89,"['poezie', '', 'Agrozpěv, Tomáš Baldýnský, české']"
n707610037,Verše - Zajíc Jan,0,0,2016,56,Olympia,poezie,Jan Zajíc,české,"Za Janem Palachem trochu v pozornosti veřejnosti zaostává Jan Zajíc, který skonal stejnou smrtí jen o měsíc později. A právě o něm tato kniha je, respektive je jeho dílem....",132,199,"['poezie', '', 'Olympia, Jan Zajíc, české']"
n455707132,Čára života - Ingeborg Bachmannová,0,0,2016,160,,poezie,Ingeborg Bachmannová,české,Čára života kniha od autora Ingeborg Bachmannová. Tento výbor z lyriky se snaží představit v úplnosti umělecké směřování rakouské básnířky I. Bachmannové (1926–1973). Kromě...,139,178,"['poezie', '', 'Ingeborg Bachmannová, české']"
n428740407,Byl jeden pán - Robin Král,100,1,2016,116,,poezie,Robin Král,české,Knížka Byl jeden pán je však určena hlavně pro dospělé čtenáře. Autor zde navazuje na tradiční nonsensovou formu - limeriky. Král i v této oblasti projevuje svůj nepochybný...,103,142,"['poezie', '', 'Robin Král, české']"
n434097587,Nie som básnik (Peter Expl0ited Altof) [SK],90,2,2016,80,Ikar,poezie,Peter Expl0ited Altof,slovenské,"Nie som básnik kniha od autora Peter Expl0ited Altof. „Tuším, že by som sem mal napísať niečo múdre, niečo, čo vám zmení život, alebo vám ho aspoň pomôže inak vnímať, ale to...",135,180,"['poezie', '', 'Ikar, Peter Expl0ited Altof, slovenské']"
n441479627,Haiku,100,1,2016,72,DharmaGaia,poezie,Katka Soustružníková,české,"Katka Soustružníková je autorkou, která se formě haiku soustavně věnuje po několik let. S jejími texty se čtenáři mohli seznámit již ve sborníku Míjím se s měsícem (DharmaGaia...",86,139,"['poezie', '', 'DharmaGaia, Katka Soustružníková, české']"
n449823303,Já se tam vrátím / Naše paní Božena Němcová / Tvář - František Halas,0,0,2016,112,Vyšehrad,poezie,František Halas,české,"Básnické dílo Františka Halase tvoří nenahraditelnou součást českého písemnictví. Ve světové proslulosti jeho básním brání především to, že jsou psány jazykem tak mnohotvárným,...",128,160,"['poezie', '', 'Vyšehrad, František Halas, české']"
n439271910,Tiché město - Ivan Wernisch,0,0,2016,86,,poezie,Ivan Wernisch,české,"Ivan Wernisch (nar. 1942 v Praze) je autorem několika desítek básnických sbírek, z nichž ta první (Kam letí nebe) vyšla v roce 1961. Je také editorem šesti básnických antologií...",132,199,"['poezie', '', 'Ivan Wernisch, české']"
n532906421,Gibran Kahlil - The Prophet Macmillan Collector&#39s Library,0,0,2016,128,,poezie,Kahlil Gibran,anglické,"Utterly unique and beloved around the world, The Prophet is a collection of twenty-six poetic essays by the Lebanese artist, philosopher and writer Khalil Gibran. Telling the...",207,303,"['poezie', '', 'Kahlil Gibran, anglické']"
n376101502,Pod dlažbou - Jan Škrob,0,0,2016,112,Eman,poezie,Jan Škrob,české,"Básnická prvotina autora, zakotveného v hluboce žitém křesťanství i bolestech a intelektuálních zápasech současnosti. Nevěřím na angažovanou a neangažovanou poezii, říká Škrob....",118,161,"['poezie', '', 'Eman, Jan Škrob, české']"
n456176255,George Stefan: Slovo / Das Wort,0,0,2016,112,,poezie,Stefan George,české,Slovo / Das Wort kniha od autora Stefan George. První český knižní výbor z poezie básníka Stefana Georga (1868–1933) přináší verše tohoto klasika německé moderní literatury v...,232,330,"['poezie', '', 'Stefan George, české']"
n339452664,Sem cejtila les - Kateřina Kováčová,0,0,2016,80,,poezie,Kateřina Kováčová,české,"Šestačtyřicet textů tvořících volnou básnickou skladbu. Studené, nehostinné a jen zdánlivě pohádkové prostředí, v němž se báseň někdy pro jistotu vyslovuje jako ochranná...",100,125,"['poezie', '', 'Kateřina Kováčová, české']"
n356446329,"MARTIN REINER, Nakladatelství Druhé město Napůl ve vzduchu",0,0,2016,56,MARTIN REINER. Nakladatelství,poezie,Irena Dousková,české,"Napůl ve vzduchu kniha od autora Dousková Irena. Druhá samostatná sbírka Ireny Douskové je silná. Čím? Kondenzovanou melancholií, úsečnou obrazivostí, jazykově vzrušujícím...",89,199,"['poezie', '', 'MARTIN REINER. Nakladatelství , Irena Dousková, české']"
n414081299,Hokej jedna báseň,40,1,2016,48,,poezie,Jana Topinková,české,"Odhodlání a chuť dokázat, že verše nejsou vždy jen o lásce: právě to vedlo autorku Janu Topinkovou k vydání její první sbírky s názvem Hokej jedna báseň. Verše vznikaly vždy...",67,99,"['poezie', '', 'Jana Topinková, české']"
