db_id,name,rating,reviews_cnt,year,pages_cnt,publisher,genre,author,lang,description,price_from,price_to,unparsed
n37722245,Andělské karty Doreen Virtue - Doreen Virtue,96,68,2004,64,Synergie,esoterika,Doreen Virtue,české," Zeptejte se andělů, požádejte je o pomoc. Jejich sdělení jsou vždy pozitivní, neboť andělé radí vždy jen z pozice lásky. ",236,359,"['esoterika', '', 'Synergie, Doreen Virtue, české']"
n51921659,Pohádky se zvířátky,92,17,2004,96,Librex,dětské,Vladimír Sutějev,české,"Tato kniha navazuje na velmi oblíbený titul Vladimíra Sutějeva: Pohádky se zvířátky. Příběhy,pohádky i verše jsou vtipné, krátké, s obrázky, které podtrhují kouzlo knihy....",100,149,"['dětské', '', 'Librex, Vladimír Sutějev, české']"
n13438145,"Velikonoce - původ, zvyky, hry, pohádky, návody a náměty - Šottnerová Dagmar",92,2,2004,126,Computer Press,dětské,Šottnerová Dagmar,české,"Kniha obsahuje: časové zařazení, charakteristiku, legendu o vzniku, pranostiky, oblasti k využití v práci s dětmi - hádanky, básničky, říkadla, pohádky, dramatické hry,...",108,159,"['dětské', '', 'Computer Press, Šottnerová Dagmar, české']"
n24370144,Jak to chodí na letišti,94,7,2004,10,Junior,dětské,Josef Švarc,české,"Mohou letadla startovat a přistávat i v noci? Jak se říká velké hale, kde opravují letadla? Jak se jmenuje jízdenka do letadla? Odkud přichází povolení ke startu? To všechno a...",80,129,"['dětské', '', 'Junior, Josef Švarc, české']"
n455350350,Ticho promlouvá - Tolle Eckhart,98,4,2004,128,Pragma,beletrie,Eckhart Tolle,české,"Esenci Tolleova poselství je jednoduché pochopit: Když se spojíme s tichem ve svém nitru, překročíme hranice své aktivní mysli a emocí a objevíme hloubku trvalého klidu a...",117,148,"['beletrie', '', 'Pragma, Eckhart Tolle, české']"
n21188745,Ascendent Karmická brána duše Martin Schulman,90,3,2004,120,Eugenika,esoterika,Martin Schulman,české,"Autro podrobně rozebírá podstatu ascendentu v horoskopu, a to z poněkud nezvyklého pohledu: ascendent podle něj není jen jakýmsi ukazatelem vnějšího projevu a případně vzhledu...",131,198,"['esoterika', '', 'Eugenika, Martin Schulman, české']"
n24369760,Křížovky osmisměrky doplňovačky,100,1,2004,114,,dětské,Dana Sklenářová,české,"Formát: 17x23,6 cm
Počet stran: 114
Vazba: brožovaná

Řešením nejrůznějších úkolů se u dětí rozvíjejí tvůrčí schopnosti. Zábavnou formou si zde opakují vyjmenovaná slova,...",49,75,"['dětské', '', 'Dana Sklenářová, české']"
n45591710,O PEJSKOVI AKOČIČCE JAK SI PEJSEK ROZTRHL KALHOTY O PANENCE - Josef Čapek,98,4,2004,48,,dětské,Čapek Josef,české,"Milé děti,
tak si představte, že se taková věc může vůbec pejskům a kočičkám stát! Vidíte a stane se. Někdy. Když je k tomu správná příležitost a když si k tomu docela snadno...",101,159,"['dětské', '', 'Čapek Josef, české']"
n459936285,Koubová Božena - U karmického soudu -- Úpadek Země a jejho lidu,0,0,2004,164,Fontána,esoterika,Božena Koubová,české,"V éterické úrovni Země je obrovská bílá bodova, kterou každá bytost této planety velmi dobře zná. Všichni jsme jí nejednou procházeli tam i zpět. Je to chrám karmické rady,...",176,198,"['esoterika', '', 'Fontána, Božena Koubová, české']"
n12359439,O pejskovi a kočičce Jak si dělali dort,98,8,2004,48,,dětské,Čapek Josef,české,"Erotický román britské autorky E. L. James Fifty Shades of Grey v originální verzi.

Když Ana Steelová potká podnikatele Christiana Greye, jejich jiskřivá a smyslná aféra...",101,159,"['dětské', '', 'Čapek Josef, české']"
