db_id,name,rating,reviews_cnt,year,pages_cnt,publisher,genre,author,lang,description,price_from,price_to,unparsed
n45396778,"Odhlučnění staveb - Miloslav Řezáč, Iveta Skotnicová, Jiří Vaverka",0,0,2006,134,Era,naučná,Iveta Skotnicová</p>,,"Kniha je určena čtenářům, kteří se chtějí chránit před nadměrným hlukem ve svých bytech a domech. 

První dvě kapitoly knihy seznamují čtenáře se základními pojmy a veličinami...",55,130,"['Era, naučná', '', 'české, Jiří Vaverka, Iveta Skotnicová']"
n562915,Domácí fitness Stavíme,0,0,2006,108,Era,naučná,Kolektiv autorů</p>,,"Kniha je určena všem, kdo chtějí mít doma malou tělocvičnu či posilovnu a mají zájem dozvědět se, co vybudování a vybavení domácího fitness obnáší. Domácí prostor určený ke...",90,145,"['Era, naučná', '', 'české, Kolektiv autorů']"
n556715,"Stínící technika - Bydlíme (Čuprová, Klímová)",0,0,2006,120,,naučná,,,"Stínící technika (edice bydlíme) Publikace se zabývá způsoby, jak zamezit či omezit vniknutí slunečního záření do interiéru domu. V první části autorky popisují, jak teplo a...",47,145,"['Era, naučná', '', 'české, Čuprová, Klímová']"
n52458867,Koberce - edice Bydlíme - Pidrová Věra,0,0,2006,120,Era,naučná,Věra Pidrová</p>,,"Koberce jsou již po staletí nedílnou součástí našich domovů. Přispívají k pocitu útulnosti interiéru, dotvářejí jeho charakter.
Tato publikace by měla čtenáře blíže seznámit s...",17,131,"['Era, naučná', '', 'české, Věra Pidrová']"
n394148,Úložné prostory - Bydlíme - Fišerová Hana,0,0,2006,106,Era,naučná,Hana Fišerová</p>,,"V0097544
Čtenář v knize nalezne řešení úložných prostorů v rodinných domech a bytech, ale také návrhy jejich rozmístění v bytech panelových a v podkrovních místnostech. Na...",47,145,"['Era, naučná', '', 'české, Hana Fišerová']"
n436259,"Regenerace panelových domů, Krok za krokem...",0,0,2006,142,Era,naučná,Jana Drápalová</p>,,Regenerace panelových domů nespočívá pouze v zateplení fasád. Většina těchto budov potřebuje regeneraci kompletní a rozhodně se nejedná o jednoduchou záležitost.  V ruce právě...,91,175,"['Era, naučná', '', 'české, Jana Drápalová']"
n45146793,Sekačky - Jan Tůma,0,0,2006,88,Era,naučná,Jan Tůma</p>,,"Sekačky - umíte se vybrat? 

   Touha po hezkém a zdravém trávníku začíná a končí sečením trávy. Příručka poradí ve výběru vhodného typu sekačky (vřetenové, rotační, lištové,...",16,95,"['Era, naučná', '', 'české, Jan Tůma']"
n562918,Chladničky a mrazničky - Umíte si vybrat? - Jan Tůma,0,0,2006,78,Era,naučná,Jan Tůma</p>,,"Chladničky, které právě přicházejí na trh, šetří až polovinu stále dražší elektřiny než jejich ""předchůdkyně"", takže stojí za to si propočítat, kolik ušetříte do budoucna....",23,85,"['Era, naučná', '', 'české, Jan Tůma']"
n51175611,"Domácí pracovny a kanceláře Blažena Hubáčková, Eva Škrabalová, Petr Hubáček",0,0,2006,98,Era,naučná,Blažena Hubáčková</p>,,"Kniha je určena čtenářům, kteří si ve svém domově hodlají vybudovat pracovnu či kancelář. Autorky se těmto dvěma tématům věnují zvlášť, první část knihy pojednává o domácích...",55,145,"['Era, naučná', '', 'české, Blažena Hubáčková']"
n51052795,Trávníky - Stavíme,0,0,2006,112,Era,naučná,Kolektiv autorů</p>,,"V0094463
Na stránkách této publikace autoři čtivou formou předkládají čtenářům informace o trávnících - jak rostou a vyvíjejí se, co ke zdravému růstu potřebují a jaké jsou...",167,167,"['Era, naučná', '', 'české, Kolektiv autorů']"
