db_id,name,rating,reviews_cnt,year,pages_cnt,publisher,genre,author,lang,description,price_from,price_to,unparsed
n454361217,Nebe pod Berlínem - Jaroslav Rudiš,97,3,2007,142,Labyrint,beletrie,Jaroslav Rudiš,české,"Kniha pro živé i mrtvé - rockové příběhy z berlínského metra. Třicetiletý učitel uprchne z Prahy do současné německé metropole, aby tam založil kapelu U-Bahn a našel svou dívku...",157,245,"['beletrie', '', 'Labyrint, Jaroslav Rudiš, české']"
n347930334,Vlídná zbraň-Modlitby pro chvíle všední i nevšední,100,1,2007,144,Volvox Globator,beletrie,Moše Mykoff,české,"Další publikace modliteb na motivy nadčasové moudrosti chasidského rabína, jenž po celý život shromažďoval rady, ponaučení a myšlenky na téma, jak žít lépe, vyrovnaně, kde...",111,134,"['beletrie', '', 'Volvox Globator, Moše Mykoff, české']"
n3043221,Dopisy vnučce Šiklová Jiřina,95,3,2007,144,Kalich,beletrie,Jiřina Šiklová,české,"Nová knížka socioložky Jiřiny Šiklové obsahuje pětadvacet skutečných i fiktivních dopisů vnučce a dotýká se mnoha problémů, které v dospívání řeší mladí lidé a spolu s nimi...",107,137,"['beletrie', '', 'Kalich, Jiřina Šiklová, české']"
n459930101,Její pastorkyňa,0,0,2007,68,Artur,beletrie,Gabriela Preissová,české,"Dramatický příběh Jenůfky a dvou nevlastních bratří Števa a Lacy a tragické smrti nenarozeného dítěte, patřící k vrcholům českého realistického dramatu. posloužil jako předloha...",81,135,"['beletrie', '', 'Artur, Gabriela Preissová, české']"
n533603768,Putování mořského koně 9.vydání,100,1,2007,128,Paseka,beletrie,Petr Šabach,české,"Nové vydání novely jednoho z nejznámějších současných českých prozaiků, která líčí trampoty muže v domácnosti, jenž je okolnostmi donucen starat se o svého malého synka.Kniha...",154,219,"['beletrie', '', 'Paseka, Petr Šabach, české']"
n429991,Jonathan Livingston Racek /bilingvní/ - Bach Richard,94,12,2007,82,Argo,beletrie,Richard Bach,anglické,Dvojjazyčná kniha česko - anglická. Dvojjazyčné vydání novely současného amerického spisovatele o racku Jonathanovi je podobenstvím o lidech-ptácích toužících po poznání a...,147,179,"['beletrie', '', 'Argo, Richard Bach, anglické']"
n599450436,Další prevít? Jen to ne!,0,0,2007,160,Argo,beletrie,Simon Brett,české,"Třetí část úspěšné série nahlížející z nezvyklého úhlu rodičovské starosti s batoletem. Malý prevít, který v předchozích dílech šikanoval a zcela zotročil své rodiče a domácí...",118,169,"['beletrie', '', 'Argo, Simon Brett, české']"
n459930532,"Já o koze, on o voze...",100,2,2007,112,,beletrie,Monyová Simona,české,"Autor : Simona Monyová, Popis : Po čtenářsky velmi oblíbeném románu v povídkách Jednou nohou v blázinci příchází Simona Monyová s další humoristickou sbírkou Já o koze, on o...",109,169,"['beletrie', '', 'Monyová Simona, české']"
n459926651,Gombrowicz Witold - Kosmos,0,0,2007,157,Argo,beletrie,Witold Gombrowicz,české,"Kosmos
Witold Gombrowicz
Za tento román z roku 1965 byl Witold Gombrowicz nominován na Nobelovu cenu za literaturu. Je příkladem autorova mistrovství a snese srovnání třeba s...",104,161,"['beletrie', '', 'Argo, Witold Gombrowicz, české']"
n455311427,Trojí čas hor - Šmíd Zdeněk,0,0,2007,168,Olympia,beletrie,Zdeněk Šmíd,české,"Soubor tří novel z Krušnohoří Pověst o Hanesu Gruberovi, Balada Katarina a Příběh zapomenutého fořta - to jsou názvy tří baladicky laděných novel, které obsahuje kniha Zdeňka...",82,119,"['beletrie', '', 'Olympia, Zdeněk Šmíd, české']"
