db_id,name,rating,reviews_cnt,year,pages_cnt,publisher,genre,author,lang,description,price_from,price_to,unparsed
n570000,"Řezy mozkem, Anatomické, , mikroskopické a magnetické",100,1,2007,56,Triton,naučná,české</p>,,Tento jedinečný studijní materiál ve formě přehledného atlasu je určen zejména studentům neuroanatomie a klinickým odborníkům. Kombinace klasického přístupu s využitím...,156,179,"['Triton, naučná', '', 'české']"
n599450492,Naše dítě špatně spí,80,1,2007,140,Triton,naučná,české</p>,,"Jednou z nejčastějších stížností matek v ordinacích dětského lékaře je stížnost na noční poruchu spánku, především u starších kojenců a batolat. Podle literárních zdrojů a...",114,224,"['Triton, naučná', '', 'české']"
n569525,Tubulizace žaludku - Mojmír Kasalický,0,0,2007,96,Triton,naučná,české</p>,,"V0199414
Obezita je v dnešní době nejčastější multifaktoriálně podmíněnou metabolickou chorobou. U neúspěšně konzervativně léčených těžce obézních nemocných s velkou incidencí...",120,189,"['Triton, naučná', '', 'české']"
n51140168,Tvořivá síla strachu,0,0,2007,128,Triton,naučná,české</p>,,"Strach vzniká v situacích, které jsou pro jedince významné. Na vzniklé situace jedinec reaguje určitými změnami jednání a chování a strachová reakce - strach je součástí vztahu...",86,199,"['Triton, naučná', '', 'české']"
n45146348,Kouzlo vůní - Šárka Pavlíčková,0,0,2007,128,Triton,naučná,české</p>,,"Vůně jehličí, lehký závan skořice či vanilky z pečeného cukroví i prádlo provoněné levandulí mají nezapomenutelné kouzlo. S vůnemi připlouvají vzpomínky, vybaví se nám chuť...",61,65,"['Triton, naučná', '', 'české']"
n363546918,Recepty zášramů - Ján Hlaváček,0,0,2007,144,Triton,naučná,české</p>,,"Tato kniha je první z připravované řady a seznamuje hlavně s principy vegetariánství a s pohledem na stravu z hlediska energií. Čerpá z autorových zkušeností s jógou, ajurvédou...",156,189,"['Triton, naučná', '', 'české']"
n2164303,"Zraková terapie slabozrakých, jak efektivně využít slabý zrak",50,1,2007,40,Triton,naučná,české</p>,,"Zrak je nejcennějším a nejdokonalejším lidským smyslem. Poruchám zraku a jejich rehabilitaci věnuje pozornost kromě medicíny také speciální pedagogika, kterou se zabývá právě...",50,79,"['Triton, naučná', '', 'české']"
n2164809,Mediální zlo - mýty a realita - Adam Suchý,0,0,2007,168,Triton,naučná,české</p>,,"Souvislost mezi sledováním televize a agresivitou u dětí.
Kniha poskytuje všestranný a nezaujatý pohled na problematiku násilí v televizi. Nenabízí paušální odsudky, zmiňuje...",112,258,"['Triton, naučná', '', 'české']"
n9127495,Mozek - Jack Challoner,0,0,2007,160,Triton,naučná,české</p>,,"Po staletí jsme fascinováni otázkou, proč se chováme tak, jak se chováme. Mozek je nejkomplexnější ze všech orgánů - a nejtajemnější. V knize nás autor seznamuje se současnými...",163,239,"['Triton, naučná', '', 'české']"
n569561,Očkování 2007/08 (Dana Göpfertová; Jiří Vaništa),0,0,2007,88,Triton,naučná,české</p>,,Podnětem k sepsání knihy bylo autorům šíření neodborných a nepravdivých informací o výskytu a nebezpečí infekčních nemocí a o očkování jako jejich prevenci. Výsledkem je...,62,80,"['Triton, naučná', '', 'české']"
n2164775,Epifanie věčného návratu téhož Aleš Novák,0,0,2007,123,Triton,naučná,české</p>,,Předložená studie se snaží o interpretaci patrně nejobtížnější myšlenky Nietzscheho filosofie - myšlenky věčného návratu téhož. Práce usiluje na třech historicky stanovitelných...,123,199,"['Triton, naučná', '', 'české']"
n553783,"Praktická epileptologie, 2. doplněné vydání",100,1,2007,164,Triton,naučná,české</p>,,"Komplexní publikace s obrazovou přílohou zahrnuje kapitoly o epidemiologii, etiopatogenezi, patofyziologii, diagnostice a klasifikaci skupiny nemocí souhrnně označovaných jako...",278,349,"['Triton, naučná', '', 'české']"
n45146246,Milostná magie - Petra Neomillnerová,0,0,2007,127,Triton,naučná,české</p>,,"Stejně jako před staletími, i dnes jsou milostná kouzla snad nejžádanější a nejvyhledávanější mezi všemi. Je však třeba používat je uvážlivě a najít ve svém srdci moudrost....",69,81,"['Triton, naučná', '', 'české']"
