db_id,name,rating,reviews_cnt,year,pages_cnt,publisher,genre,author,lang,description,price_from,price_to,unparsed
n259841982,Michnová Zuzana - Země Bójů,0,0,2008,158,Galén,naučná,české</p>,,"Země Bójů kniha od autora Zuzana Michnová. Úplný soubor všech písňových textů známé zpěvačky, klíčové osobnosti skupiny Marsyas. Kniha shrnuje jak texty psané pro Marsyas, tak...",135,190,"['Galén, naučná', '', 'české']"
n23554513,Klinická psychiatrie v denní praxi,0,0,2008,158,Galén,naučná,české</p>,,"Moderní učebnice je zaměřena na potřeby klinické praxe - soustřeďuje záměrně pozornost jen na ty problémy spojené s chorobami mozku, s nimiž se bude ve své každodenní praxi...",192,290,"['Galén, naučná', '', 'české']"
n21051704,Lumbální punkce a mozkomíšní mok,0,0,2008,137,Galén,naučná,české</p>,,"Lumbální punkce patří mezi standardní medicínské metody již více než sto let. Metodika jejího provádění se příliš nezměnila, ale zcela se proměnily podmínky a okolnosti tohoto...",344,500,"['Galén, naučná', '', 'české']"
n21050876,Dermatomykologie v obrazech,100,1,2008,95,Galén,naučná,české</p>,,"Dvojjazyčný obrazový atlas dermatomykologických onemocnění je určen především ambulantním dermatologům, pro které jsou mykózy jedním z častých problémů, s nimiž se u svých...",463,700,"['Galén, naučná', '', 'české']"
n2956527,Jak porozumět sexuálním deviacím? - Aleš Kolářský,70,1,2008,108,Galén,naučná,české</p>,,"Publikace je věnována sexuálním deviacím a strategii sexodiagnostiky. Autor představuje tuto problematiku z hlediska střízlivé behaviorální vědy a evoluční psychologie, jež...",126,190,"['Galén, naučná', '', 'české']"
n20375267,Neuromuskulární deformity páteře - Repko Martin,0,0,2008,123,Galén,naučná,české</p>,,"Problematika neuromuskulárních onemocnění představuje ve své podstatě širokou oblast, na jejímž řešení se podílí řada odborností. Péče o pacienty s těmito onemocněními vyžaduje...",337,490,"['Galén, naučná', '', 'české']"
n23554374,Nukleární kardiologie,0,0,2008,130,Galén,naučná,české</p>,,V technicky vyspělých zemích patří kardiovaskulární onemocnění k nejčastějším příčinám nemocnosti a úmrtnosti obyvatelstva. Tomu také odpovídá stupeň rozvoje kardiologie se...,401,590,"['Galén, naučná', '', 'české']"
n21050872,Angiologie 2008,0,0,2008,130,Galén,naučná,české</p>,,Publikace představuje písemnou podobu příspěvků přednesených v rámci 13. angiologického sympozia s postgraduální tematikou pořádaného Českou angiologickou společností a...,137,200,"['Galén, naučná', '', 'české']"
n21051680,Formální analýza koncepcí v urologii,0,0,2008,50,Galén,naučná,české</p>,,"Teorie svazů jako samostatná matematická disciplína vznikla ve třicátých letech minulého století, zejména přispěním G. Birkhoffa. Od té doby se bouřlivě rozvíjí a má četné...",141,200,"['Galén, naučná', '', 'české']"
n34239112,Vybrané otázky - Onkologie XII.,0,0,2008,168,Galén,naučná,české</p>,,"Sborník vydaný k příležitosti konání 16. onkologicko-urologického sympozia a 12. mamologického sympozia, pořádaných v Praze ve dnech 26.-28. listopadu 2008, obsahuje příspěvky...",137,176,"['Galén, naučná', '', 'české']"
