db_id,name,rating,reviews_cnt,year,pages_cnt,publisher,genre,author,lang,description,price_from,price_to,unparsed
n51144048,Veřejné zdravotnictví a výchova ke zdraví,93,2,2010,112,české,naučná,Kolektiv autorů</p>,,"Učebnice seznamuje žáky se systémem zdravotní péče, s významnými zdravotnickými organizacemi, s právní úpravou zdravotní péče, s aktuálními otázkami ve zdravotnictví. Dále se...",96,140,"['Fortuna Print, naučná', '', 'české, Kolektiv autorů']"
n467906505,Psychologie pro SŠ - Zdeněk Helus,0,0,2010,120,české,naučná,Helus Zdeněk</p>,,"Učebnice poskytuje hlubší poznatky z psychologie. Umožňuje lépe porozumět duševnímu životu člověka, jeho zákonitostem a lépe poznávat sama sebe i druhé. Pomáhá k přípravě...",97,119,"['Fortuna Print, naučná', '', 'české, Helus Zdeněk']"
n16410058,"Základy filosofie, etiky - Základy společenských věd III. - Adamová Lenka",93,1,2010,152,české,naučná,Adamová Lenka</p>,,Trojdílná učebnice pro gymnázia a další střední školy seznamuje studenty se základy vybraných společenských věd důležitých pro jejich osobní orientaci ve společnosti i pro...,113,155,"['Fortuna Print, naučná', '', 'české, Adamová Lenka']"
n21816338,Finanční analýza pro střední a vyšší hotelové školy - Králová Irena,0,0,2010,128,české,naučná,Irena Králová</p>,,Finanční analýza pro střední a vyšší hotelové školy kniha od autora Králová Irena. Tento díl ucelené řady učebnic vysvětluje podstatu a význam finančního řízení hotelového...,108,149,"['Fortuna Print, naučná', '', 'české, Irena Králová']"
n51421123,Slovník základních pojmů z psychologie,89,0,2010,80,české,naučná,Gillernová Ilona</p>,,"Jde o oborový slovník, který si klade za cíl seznámit především studenty středních škol s nejdůležitějšími termíny dané odbornosti.",62,89,"['Fortuna Print, naučná', '', 'české, Gillernová Ilona']"
n535687,"Evropské jazykové portfolio, pro žáky a žákyně ve věku 11-15 let v České republice",0,0,2010,34,české,naučná,Perclová Radka</p>,,"- Evropské jazykové portfolio je určeno žákům ve věku 11–15 let. 

- Má být dokladem skutečných jazykových dovedností žáků. 

- Obsahuje tři části: 

- jazykový pas (pro...",141,195,"['Fortuna Print, naučná', '', 'české, Perclová Radka']"
n33543967,Technologie přípravy pokrmů 1 - Hana Sedláčková; Pavel Otoupal,90,6,2010,88,české,naučná,Otoupal Pavel</p>,,"Pětidílný komplet učebnic určený pro SOU, obor kuchař-kuchařka i obor kuchař-číšník, a pro hotelové školy. První díl objasňuje zásady správné výživy, uvádí hygienické požadavky...",113,200,"['Fortuna Print, naučná', '', 'české, Sedláčková Hana, Otoupal Pavel']"
n5296575,"Ošetřovatelství 2 pro střední zdravotnické školy - Novotná Jaromíra, Uhrová Jana",0,0,2010,158,české,naučná,Uhrová Jana</p>,,"Učebnice navazuje na první díl Ošetřovatelství a předává žákům informace potřebné k tomu, aby byli schopni správně se rozhodovat a na patřičné úrovni poskytovat nemocným...",99,159,"['Fortuna Print, naučná', '', 'české, Novotná Jaromíra, Uhrová Jana']"
n51157119,Písmenka a číslice pro prvňáčky,0,0,2010,8,české,naučná,Brož Ivo</p>,,Písmenka a číslice pro prvňáčky kniha od autora kolektiv. Doplňující materiál pro prvňáčky.,45,57,"['Fortuna Print, naučná', '', 'české, Hrušková Květuše, Brož Ivo']"
n51157121,Použití chemických látek ve škole podle nové legislativy,0,0,2010,64,české,naučná,Beneš Pavel</p>,,"Publikace má pomoci učitelům při provádění experimentů ve výuce chemie na základních školách tak, aby byly v souladu s novou legislativou. Navíc obsahuje barevné piktogramy pro...",51,62,"['Fortuna Print, naučná', '', 'české, Beneš Pavel']"
n20366885,"Veselá písmenka - Polanská Jiřina, Janáčková Blanka,",0,0,2010,48,české,naučná,Janáčková Bla</p>,,"Druhý díl alternativní řady slabikáře využívajícího analyticko-syntetické metody.

Autor: Blanka Janáčková; Jiřina Polanská
Rok vydání­: 2002
Vazba: Brožovaná bez přebalu...",78,82,"['Fortuna Print, naučná', '', 'české, Polanská Jiřina, Janáčková Bla']"
n43257055,Společenské a hospodářské složky krajiny,0,0,2010,152,české,naučná,Štulc Milos</p>,,"Ucelená řada učebnic zeměpisu pro 6.-9. ročník základní školy a odpovídající ročníky víceletých gymnázií.

Podtitul: Zeměpis pro 8. a 9.ročník základní školy a nižší ročníky...",75,75,"['Fortuna Print, naučná', '', 'české, Mirvald Stanislav, Štulc Milos']"
