db_id,name,rating,reviews_cnt,year,pages_cnt,publisher,genre,author,lang,description,price_from,price_to,unparsed
n454364762,Modlitba pro Kateřinu Horovitzovou - Arnošt Lustig,80,1,2011,144,Mladá fronta,beletrie,české</p>,,"V0177240
Ačkoli Arnošt Lustig většinu svých děl stále doplňuje, tato novela zůstala již od roku 1964, kdy vyšla poprvé, téměř netknutá. I tento fakt svědčí o tom, že jde o...",162,249,"['Mladá fronta, beletrie', '', 'české']"
n21813701,Kyselina sírová,0,0,2011,120,Mladá fronta,beletrie,české</p>,,"V0177499
Obžaloba současné společnosti, dychtící po utrpení
Význačná francouzská spisovatelka zasazuje děj tohoto románu do otřesné televizní reality-show simulující podmínky...",139,179,"['Mladá fronta, beletrie', '', 'české']"
n21676324,"Pokoření, Lovestory bez kompromisů",0,0,2011,128,Mladá fronta,beletrie,české</p>,,"Ústřední postavou Rothova románu je pětašedesátiletý Simon Axler, obdivovaný herec předních divadelních scén, který v životě ztvárnil snad všechny nejvýznamnější divadelní...",155,239,"['Mladá fronta, beletrie', '', 'české']"
n42974500,A taková to byla láska,80,1,2011,152,Mladá fronta,beletrie,české</p>,,"Chloé, matka dvou dětí, kterou právě opustil manžel, tráví pár dní ve venkovském domku se svým tchánem. A kupodivu nejen Chloé, ale i tchán potřebuje pofoukat milostné...",126,199,"['Mladá fronta, beletrie', '', 'české']"
n31024535,"Jak se hubne v Čechách - Petr Havlíček, Petra Lamschová, Lenka Černá, Zuzana Bičíková",88,2,2011,144,Mladá fronta,beletrie,české</p>,,"Tým časopisu Dieta na cestách po ČR Zajímají se Češi o diety a hubnutí, zdravý životní styl a pohyb? Nebo raději svůj čas tráví vleže u televize? To jsme se vydali zjistit s...",120,199,"['Mladá fronta, beletrie', '', 'české']"
n461299242,Úprdelný dny na úprdelný planetě,0,0,2011,152,Mladá fronta,beletrie,české</p>,,"Na planetě, která se nápadně podobá Zemi, vznikne život. Jedna z jeho forem se začne odlišovat od ostatních, až postupně zamoří celou planetu. Nejprve si podrobí ostatní...",170,229,"['Mladá fronta, beletrie', '', 'české']"
n44037831,Povídky,95,2,2011,152,Mladá fronta,beletrie,české</p>,,"Povídky - Povídkový soubor otce a dcery kniha od autora Lustig Arnošt, Lustigová Eva. Prémiová sbírka povídek vychází k autorovým nedožitým 85. narozeninám
Do tohoto souboru...",149,229,"['Mladá fronta, beletrie', '', 'české']"
n31024544,Zimní cesta - Elfriede Jelineková,100,1,2011,120,Mladá fronta,beletrie,české</p>,,"V0187658
Mrazivá sonda do lidské duše
Zbrusu nový text nositelky Nobelovy ceny pojednává o útlacích společnosti, o tom, jak se člověk cítí nesvůj ve vlastním těle. Próza...",205,218,"['Mladá fronta, beletrie', '', 'české']"
n42974505,Slepé slunečnice,0,0,2011,152,Mladá fronta,beletrie,české</p>,,"V0187660
Výjimečná kniha o válečných běsech
Ve čtyřech volně propojených epizodách vypráví Alberto Méndez (1941–2004) o hrůzách španělské války. Pro republikánské Španěly to...",159,249,"['Mladá fronta, beletrie', '', 'české']"
n21705772,Zahradník pana Darwina,0,0,2011,160,Mladá fronta,beletrie,české</p>,,"Thomas Davies pracuje u Charlese Darwina jako zahradník. Je vdovec, obě jeho děti jsou postižené, dcera mentálně, syn tělesně. Jak si má vysvětlit utrpení nevinného dítěte či...",187,194,"['Mladá fronta, beletrie', '', 'české']"
