db_id,name,rating,reviews_cnt,year,pages_cnt,publisher,genre,author,lang,description,price_from,price_to,unparsed
n37213923,Pět přání,95,1,2011,144,Pragma,esoterika,Gay Hendricks,české,"Nikdy nevíte, kdy se to stane - kdy zažijete tu chvíli, která dramaticky změní váš život. Gay Hendricks nám všem v této báječné knize vypráví příběh napínavý, dojemný i...",79,148,"['esoterika', '', 'Pragma, Gay Hendricks, české']"
n459961282,Zákon rezonance - 49 karet v praktické krabičce - Pierre Franckh,87,1,2011,49,ANAG,esoterika,Pierre Franckh,české,Síla myšlenek může změnit život a realitu. Tato sada karet Zákon rezonance se 49 posilujícími afirmacemi na energetizačních oscilogramech je skvělým nástrojem: Prostřednictvím...,207,299,"['esoterika', '', 'ANAG, Pierre Franckh, české']"
n599451736,Aštánga vinjása jóga - Podrobný průvodce základní sestavou - Maehle Gregor,80,1,2011,144,Fontána,esoterika,Gregor Maehle,české,"Podrobný průvodce základní sestavou.
Tato podrobná publikace vynikajícího australského učitele jógy Gregora Maehleho je dnes všeobecně přijímána jako nejúplnější studie aštánga...",249,388,"['esoterika', '', 'Fontána, Gregor Maehle, české']"
n38690057,Hľadanie zmyslu života,98,1,2011,152,,esoterika,Viktor E. Frankl,slovenské,"Len málo kníh zanechá v čitateľovi taký silný dojem ako kniha Hľadanie zmyslu života. Autor, svetoznámy neurológ a psychiater Viktor E. Frankl, ju napísal po prepustení z...",174,300,"['esoterika', '', 'Viktor E. Frankl, slovenské']"
n38277269,Žít v srdci,96,14,2011,136,,esoterika,Drunvalo Melchizedek,české,"My lidé jsme byli před dávnými časy ve své podstatě velmi odlišní, než jsme nyní. Komunikovali jsme mezi sebou způsobem, kterému nyní v moderních dobách rozumí už jen velmi...",127,198,"['esoterika', '', 'Drunvalo Melchizedek, české']"
n26433105,Bylinky do kuchyně,88,10,2011,128,Ottovo nakladatelstvo,kuchařky,Ottovo nakladatelství,české,"Kniha Bylinky do kuchyně patří do edice Babiččin receptář. Tato edice představuje život našich předků spojený s bylinkami, znovuobjevené i novější recepty a návody na jejich...",38,79,"['kuchařky', '', 'Ottovo nakladatelstvo, Ottovo nakladatelství, české']"
n22697200,Hermetická iniciace Martinismu (Pierre de Lasenic),93,2,2011,92,,esoterika,Pierre de Lasenic,české,"Lasenicova Hermetická iniciace Martinismu je knihou, která hovoří jazykem čisté praxe. Shrnuje účinnou metodu vnitřního vzestupu, který vede k poznání a rozvinutí skutečné...",158,240,"['esoterika', '', 'Pierre de Lasenic, české']"
n20952656,Vykládací karty Archanděla Michaela,97,17,2011,112,Synergie,esoterika,Doreen Virtue,české,"Tyto karty nesou velmi povzbudivá poselství. Odpovědi, inspirace, rady, modlitby a ochrana od archanděla Michaela přinesou do vašeho života naději a sílu. Tyto karty nesou...",236,359,"['esoterika', '', 'Synergie, Doreen Virtue, české']"
n20819638,"Vaříme zdravě a rychle pro diabetiky, 90 chutných jídel připravených do 30 minut",88,6,2011,128,Vašut,kuchařky,Fritzsche Doris,české,"V0176798
Potvrdili vám diagnózu diabetes mellitus? Nemáte to jednoduché a největší problém vidíte asi v každodenním stravování. Změna způsobu stravování a jídelníčku je však...",199,199,"['kuchařky', '', 'Vašut, Fritzsche Doris, české']"
n29302326,Magická poselství víl - Doreen Virtue,98,14,2011,112,Synergie,esoterika,Doreen Virtue,české,"Doreen Virtue, Ph.D./ Synergie, kniha a 44 karet.
Tyto jednoduché vykládací karty jsou určeny začátečníkům i těm, kteří mají s vykládacími kartami zkušenosti. Víly jsou...",236,359,"['esoterika', '', 'Synergie, Doreen Virtue, české']"
n26492648,Vaříme s bylinkami,85,9,2011,128,Ottovo nakladatelstvo,kuchařky,Ottovo nakladatelství,české,"Kniha Vaříme s bylinkami patří do edice Babiččin receptář. Tato edice představuje život našich předků spojený s bylinkami, znovuobjevené i novější recepty a návody na jejich...",38,79,"['kuchařky', '', 'Ottovo nakladatelstvo, Ottovo nakladatelství, české']"
n40549121,ABC Biblický atlas,0,0,2011,128,,esoterika,Nick Page,české,ABC Biblický atlas doplňuje úspěšné publikace ABC Bible a ABC křesťanství. Vychází z nových poznatků archeologického a historického výzkumu a navazuje zároveň na populárně...,251,392,"['esoterika', '', 'Nick Page, české']"
