db_id,name,rating,reviews_cnt,year,pages_cnt,publisher,genre,author,lang,description,price_from,price_to,unparsed
n68403809,"Barborka a jej veľké starosti Nancy Delvaux, Aline de Pétigny",0,0,2012,64,Libri,dětské,slovenské</p>,,"Barborka chodí do škôlky a už vie veľa vecí, no občas si predsa len nevie poradiť. Niekedy sa hanbí, inokedy sa bojí. Je zábudlivá, dokonca lakomá. A z času na čas urobí aj...",117,178,"['Libri, dětské', '', 'slovenské']"
n68403811,"Barborka a zvieratká Nancy Delvaux, Aline de Pétigny",0,0,2012,64,Libri,dětské,slovenské</p>,,"Barborka a jej zvieratká. Barborka chodí do škôlky a už vie veľa vecí, no občas si predsa len nevie poradiť. Niekedy sa hanbí, inokedy sa bojí. Je zábudlivá, dokonca lakomá. A...",117,178,"['Libri, dětské', '', 'slovenské']"
n68403806,"Barborka a jej medvedík Nancy Delvaux, Aline de Pétigny",0,0,2012,64,Libri,dětské,slovenské</p>,,"Barborka a jej medvedík. Barborka chodí do škôlky a už vie veľa vecí, no občas si predsa len nevie poradiť. Niekedy sa hanbí, inokedy sa bojí. Je zábudlivá, dokonca lakomá. A z...",117,178,"['Libri, dětské', '', 'slovenské']"
n68403810,"Barborka a jej zážitky Nancy Delvaux, Aline de Pétigny",100,1,2012,64,Libri,dětské,slovenské</p>,,"Barborka a jej zážitky. Barborka chodí do škôlky a už vie veľa vecí, no občas si predsa len nevie poradiť. Niekedy sa hanbí, inokedy sa bojí. Je zábudlivá, dokonca lakomá. A z...",117,178,"['Libri, dětské', '', 'slovenské']"
n461314712,Barborka a jej rodina,0,0,2012,64,Libri,dětské,slovenské</p>,,"Barborka chodí do škôlky a už vie veľa vecí, no občas si predsa len nevie poradiť. Niekedy sa hanbí, inokedy sa bojí. Je zábudlivá, dokonca lakomá. A z času na čas urobí aj...",117,178,"['Libri, dětské', '', 'slovenské']"
n432301884,"New York Všetko, čo chceš vedieť",0,0,2012,96,Libri,dětské,slovenské</p>,,"Spoločný názov série pôvabných, vtipných knižiek Nič pre rodičov je akýmsi prísľubom predstaviť ti štyri z najznámejších miest sveta tak, ako ich tvoji rodičia pravdepodobne...",196,268,"['Libri, dětské', '', 'slovenské']"
n432301882,"Londýn Všetko, čo chceš vedieť",0,0,2012,96,Libri,dětské,slovenské</p>,,"Spoločný názov série pôvabných, vtipných knižiek Nič pre rodičov je akýmsi prísľubom predstaviť ti štyri z najznámejších miest sveta tak, ako ich tvoji rodičia pravdepodobne...",205,268,"['Libri, dětské', '', 'slovenské']"
n432301883,"Rím Všetko, čo chceš vedieť",0,0,2012,96,Libri,dětské,slovenské</p>,,"Spoločný názov série pôvabných, vtipných knižiek Nič pre rodičov je akýmsi prísľubom predstaviť ti štyri z najznámejších miest sveta tak, ako ich tvoji rodičia pravdepodobne...",231,268,"['Libri, dětské', '', 'slovenské']"
n53844370,"Rozprávky a príbehy nielen pre Dorotku - Janka Nagajová, Dorotka Porubská",0,0,2012,92,Libri,dětské,slovenské</p>,,"Dorotke sa veľmi páčili rozprávky, ktoré jej stará mama rozprávala pred spaním, a predsa mala jednu špeciálnu prosbu:

""Babi, nás tie cudzie rozprávky veľmi nezaujímajú....",174,243,"['Libri, dětské', '', 'slovenské']"
n55143068,Zabav sa s pirátmi,0,0,2012,24,Libri,dětské,slovenské</p>,,"V týchto pútavých knižkách sa vydáš na more s kapitánom Červená brada a s posádkou jeho pirátskej lode. Zábava je zaručená! Čaka ťa množstvo hier, kopa zaujímavých aktivít,...",58,95,"['Libri, dětské', '', 'slovenské']"
n55143070,Zabav sa s pirátmi,0,0,2012,24,Libri,dětské,slovenské</p>,,"V týchto pútavých knižkách sa vydáš na more s kapitánom Červená brada a s posádkou jeho pirátskej lode. Zábava je zaručená! Čaka ťa množstvo hier, kopa zaujímavých aktivít,...",95,95,"['Libri, dětské', '', 'slovenské']"
n49105689,Zvieratká sa hrajú,0,0,2012,10,Libri,dětské,slovenské</p>,,"Zabávaj sa so zvieratkami - roztváraj strany a otáčaj kolieskom s obrázkami.

Podtitul: Nájdeš moje dvojča?
Autor: Brenda Apsleyová
Rok vydání­: 2012
Vazba: Prostorové pohádky,...",155,155,"['Libri, dětské', '', 'slovenské']"
n55300970,Zvieratá na cestách,0,0,2012,126,Libri,dětské,slovenské</p>,,"Začítaj sa do prekvapujúcich príbehov o migráciách takých rozdielnych živočíchov, ako sú africké pakone pásavé, americké motýle danausy sťahovavé či atlantické tuniaky...",340,340,"['Libri, dětské', '', 'slovenské']"
