db_id,name,rating,reviews_cnt,year,pages_cnt,publisher,genre,author,lang,description,price_from,price_to,unparsed
n53382708,Macík ide na návštevu,0,0,2012,12,Slovenské pedagogické nakladat,dětské,slovenské</p>,,"Jeden zo štyroch príbehov o Macíkovi, určený pre deti od troch rokov. Macík často zabúdal na dve čarovné slová: PROSÍM a ĎAKUJEM. Napokon však svojich blízkych veľmi potešil....",112,190,"['Slovenské pedagogické nakladat, dětské', '', 'slovenské']"
n59153443,Štyri kosti pre Flipra - Gabriela Futová,0,0,2012,96,Slovenské pedagogické nakladat,dětské,slovenské</p>,,"Gabika Futová rozumie nielen deťom, ale i zvieratám. Svedčí o tom aj skvelý priam autobiografický príbeh jej naozajstného psíka Flipra, ktorého mala v detstve. Fliper bol...",132,226,"['Slovenské pedagogické nakladat, dětské', '', 'slovenské']"
n59497806,Utopený mesiačik,0,0,2012,12,Slovenské pedagogické nakladat,dětské,slovenské</p>,,"Pôvabné leporelo obľúbenej detskej autorky prináša najmenším čitateľom dojímavý príbeh vystrašeného malého kačiatka, ktoré objavilo mesiačik utopený v rybníku. Okamžite...",73,115,"['Slovenské pedagogické nakladat, dětské', '', 'slovenské']"
n154121443,Na farme,0,0,2012,12,Slovenské pedagogické nakladat,dětské,slovenské</p>,,"Jazyk: slovenský
Počet stran: 12
Rok vydání: 2012
Vazba / Podoba: Pevná bez přebalu lesklá
Sortiment: 
Nakladatelství: Slovenské pedagogické nakladatelstvo - M",162,278,"['Slovenské pedagogické nakladat, dětské', '', 'slovenské']"
n47321800,Záhada faraónovho odkazu,0,0,2012,128,Slovenské pedagogické nakladat,dětské,slovenské</p>,,"Jupiter, Peter a Bob, traja najlepší kalifornskí detektívi, vhupli rovnými nohami do neuveriteľného dobrodružstva, na konci ktorého mal byť objavený obrovský poklad. Spoločné...",98,161,"['Slovenské pedagogické nakladat, dětské', '', 'slovenské']"
n53382709,Macík sa rád podelí,0,0,2012,12,Slovenské pedagogické nakladat,dětské,slovenské</p>,,"Jeden zo štyroch príbehov o Macíkovi, určený pre deti od 3 rokov. Macík nechcel nikomu požičať svoje nové lego. Dlho však nevydržal hrať sa sám. O hračky sa treba podeliť....",112,190,"['Slovenské pedagogické nakladat, dětské', '', 'slovenské']"
n53382710,Macík ide do školy,0,0,2012,12,Slovenské pedagogické nakladat,dětské,slovenské</p>,,"Jazyk: slovenský
Počet stran: 12
Rok vydání: 2012
Vazba / Podoba: Prostorové pohádky, leporela
Sortiment: 
Nakladatelství: Slovenské pedagogické nakladatelstvo - M",112,190,"['Slovenské pedagogické nakladat, dětské', '', 'slovenské']"
n59497809,"Rozpovie ti táto knižka, koho zjedla Mikimyška",0,0,2012,12,Slovenské pedagogické nakladat,dětské,slovenské</p>,,"Leporelo s vtipným príbehom Kristy Bendovej poteší deti aj príťažlivými ilustráciami, ktoré zobrazujú putovanie úbohej hladnej myšky za potravou. Jej návšteva hračkárskeho...",73,115,"['Slovenské pedagogické nakladat, dětské', '', 'slovenské']"
n47321799,Záhada zeleného strašidla,0,0,2012,128,Slovenské pedagogické nakladat,dětské,slovenské</p>,,"Trojica detektívov sa dostane do starého domu, ktorý majú zbúrať. Prežijú v ňom veľa strachu a napätia, kým sa im podarí rozlúštiť záhadu zeleného prízraku, ktorý sa tam...",98,161,"['Slovenské pedagogické nakladat, dětské', '', 'slovenské']"
n65074063,Smelá Apolienka - Ján Turan,0,0,2012,96,Slovenské pedagogické nakladat,dětské,slovenské</p>,,Apolienka je prváčka. Hnevá sa na svoje vraj pekné starodávne meno zdedené po babičke. Dal jej ho však dedko a ten je úžasný. Berie Apoienku a jej kamaráta Adamka do lesa a na...,103,172,"['Slovenské pedagogické nakladat, dětské', '', 'slovenské']"
n50614258,Ako osláviť narodeniny,0,0,2012,160,Slovenské pedagogické nakladat,dětské,slovenské</p>,,"Štvrtá časť vtipných príbehov Dominiky, jej najmilšieho psa
Medulienky a jej neposlušných šteniatok. Chceli by ste vedieť, ako
tajne pripraviť fantastickú narodeninovú oslavu?...",110,181,"['Slovenské pedagogické nakladat, dětské', '', 'slovenské']"
