db_id,name,rating,reviews_cnt,year,pages_cnt,publisher,genre,author,lang,description,price_from,price_to,unparsed
n21644580,Italské reálie -CZ+SK- - Jiří Špička,80,1,2012,72,Fraus,naučná,Špička Jiří</p>,,"Základní informace o dějinách i současnosti Itálie, týkající se zeměpisu, hospodářství, obyvatelstva, politicko-administrativního systému, kultury, filozofie a vědy.. Učebnice...",110,178,"['Fraus, naučná', '', 'české, Špička Jiří']"
n20386470,Jak se učí učitelé? - Vogel Walter,0,0,2012,112,Fraus,naučná,Vogel Walter</p>,,"Autor publikace Dr. Walter Vogel nabízí učitelům praktické rady a doporučení, které mohou přispět k usnadnění jejich pracovního života, včetně takových záležitostí, jako je...",171,249,"['Fraus, naučná', '', 'české, Vogel Walter']"
n22780047,Prima A2 3. díl,0,0,2012,80,Fraus,naučná,Kolektiv autorů</p>,,"Němčina jako druhý cizí jazyk. Prima
němčina jako druhý cizí jazyk
* pětidílná učebnice němčiny pro začátečníky od 13 let 
* zaručuje návaznost až k úrovni B1 podle SERR 
*...",179,229,"['Fraus, naučná', '', 'české, Kolektiv autorů']"
n20386469,Násilí není řešením - Herzog Rupert,0,0,2012,120,Fraus,naučná,Herzog Rupert</p>,,"Publikace „Násilí není řešení"" analyzuje pojem násilí, hledá jeho příčiny a podmínky, za kterých se mu „daří"". Zaměřuje se na aktuální a mimořádně závažný projev násilí ve...",146,266,"['Fraus, naučná', '', 'české, Herzog Rupert']"
n21051330,ČLOVĚK A PŘÍRODA PŮDA,10,1,2012,64,Fraus,naučná,Kolektiv autorů</p>,,"Tato nová řada je určena pro odborné vyučování nejen přírodovědných předmětů na II. stupni ZŠ a víceletých gymnáziích, poskytuje podporu učitelům a učitelkám a přináší do...",101,206,"['Fraus, naučná', '', 'české, Kolektiv autorů']"
n20386467,"Učíme děti učit se - Berger E., Fuchs H.",0,0,2012,112,Fraus,naučná,Kolektiv autorů</p>,,"Učitel se v současné době nachází ve složité situaci: očekává se od něj všestranná profesionalita. Publikace může pomoci zkušeným i začínajícím učitelům. Předkládané „know how""...",180,266,"['Fraus, naučná', '', 'české, Kolektiv autorů']"
n461319355,Výchova k finanční gramotnosti PU,0,0,2012,80,Fraus,naučná,Jitka Kašová</p>,,Příručka učitele obsahuje přehled a vysvětlení použitých výukových metod a nabízí konkrétní metodická doporučení i řešení vybraných úkolů.,249,369,"['Fraus, naučná', '', 'české, Jitka Kašová']"
n23747736,Step by step 1,30,1,2012,0,Fraus,naučná,české</p>,,"Součást kurzu angličtiny určeného nejen začátečníkům samoukům, ale také studentům navštěvujícím zejména jazykové školy...  Je součástí souboru: Step by Step 1 UČ +...",382,449,"['Fraus, naučná', '', 'české']"
n20383215,Spaß mit Max 1 UČ - Petr Tlustý,0,0,2012,108,Fraus,naučná,Kolektiv autorů</p>,,"Třídílná řada učebnic Spaß mit Max je pokračováním dvoudílného souboru Start mit Max určeného pro první stupeň ZŠ. Na první dva díly řady navazuje volně, je možné podle ní...",186,231,"['Fraus, naučná', '', 'české, Kolektiv autorů']"
n21033560,Start mit Max 2 UČ - Olga Fišarová,90,1,2012,88,Fraus,naučná,Kolektiv autorů</p>,,"Dvoudílná učebnice němčiny určená pro počáteční roky výuky na základní škole (ve 4.– 5. třídách, resp. 3.– 5. třídách). Jejím cílem je především prvotní motivace dětí s důrazem...",161,200,"['Fraus, naučná', '', 'české, Kolektiv autorů']"
n21051347,ZEMĚPIS 8 PRO ZŠ A VG PŘÍRUČKA UČITELE,0,0,2012,80,Fraus,naučná,Kolektiv autorů</p>,,"Příručka učitele obsahuje návrh časově tematického plánu učiva zahrnutého v učebnici, blok s informacemi pro práci s učivem, aktivity, podněty a nápady, řešení otázek a úkolů....",382,473,"['Fraus, naučná', '', 'české, Kolektiv autorů']"
n21076464,CD-Čítanka 4 pro zš,0,0,2012,0,Fraus,naučná,Váňová Kateřina</p>,,Čítanka 4 pro ZŠ - CD - Kateřina Váňová. Audionahrávka obsahuje nahrávky textů a cvičení k jednotlivým stranám v učebnici. Čítanka 4 pro ZŠ - CD - Kateřina Váňová od...,359,399,"['Fraus, naučná', '', 'české, Váňová Kateřina']"
n22947564,Studio d A1,0,0,2012,0,Fraus,naučná,české</p>,,"Součást kurzu němčiny studio d, který je určený pro studenty středních a jazykových škol. Jeho cílem je dovést studenty až k úrovni B1.

 Kompletní audionahrávky byly namluveny...",366,427,"['Fraus, naučná', '', 'české']"
n23654199,Studio d A2/1,0,0,2012,0,Fraus,naučná,české</p>,,"Součást kurzu němčiny studio d, který je určený pro studenty středních a jazykových škol. Jeho cílem je dovést studenty až k úrovni B1. Audionahrávky byly namluveny rodilými...",179,189,"['Fraus, naučná', '', 'české']"
n21051319,Spaß mit Max 2 PS - Irena Lenčová,0,0,2012,108,Fraus,naučná,Kolektiv autorů</p>,,"Třídílná řada učebnic Spaß mit Max je pokračováním dvoudílného souboru Start mit Max určeného pro první stupeň ZŠ. Na první dva díly řady navazuje volně, je možné podle ní...",142,142,"['Fraus, naučná', '', 'české, Kolektiv autorů']"
n21076463,CD-Čítanka 3 pro zš,0,0,2012,0,Fraus,naučná,Kateřina Váňová</p>,,Audionahrávka obsahuje nahrávky textů a cvičení k jednotlivým stranám v učebnici čítanky. Čítanka 3 pro ZŠ - CD,379,399,"['Fraus, naučná', '', 'české, Kateřina Váňová']"
