db_id,name,rating,reviews_cnt,year,pages_cnt,publisher,genre,author,lang,description,price_from,price_to,unparsed
n45417444,Obchodní strategie založení advokátní kanceláře,0,0,2012,105,KEY Publishing,naučná,české</p>,,"Předmětem publikace je obchodní strategie založení advokátní kanceláře. Problematika je zpracována jak z oblasti ekonomické, tak právní a může sloužit jako příklad pro...",142,190,"['KEY Publishing, naučná', '', 'české']"
n620269706,"Praktikum z ústavního práva - Vlastislav Man, Karel Schelle",100,1,2012,141,KEY Publishing,naučná,české</p>,,"Základním cílem publikace je přispět u čtenářů ke komplexnímu pochopení obsahu složitého systému právních předpisů ústavního práva České republiky.
Praktikum obsahuje metodické...",92,230,"['KEY Publishing, naučná', '', 'české']"
n64543618,Právo v podnikání - Bohumila Salachová,0,0,2012,125,KEY Publishing,naučná,české</p>,,"Kniha je věnována základním právním předpisům, upravujícím právní vztahy v podnikání. Je sestavena tak, aby pro pochopení obsahu nebyly nutné předchozí vstupní znalosti v...",186,236,"['KEY Publishing, naučná', '', 'české']"
n43802572,Interakce ekonomiky a práva,0,0,2012,159,KEY Publishing,naučná,české</p>,,"Prolínání ekonomiky a práva je téma, se kterým se katedra práva Ekonomické fakulty Vysoké školy báňské – Technické univerzity Ostrava každodenně potýká. Proto na její půdě...",229,259,"['KEY Publishing, naučná', '', 'české']"
n46940489,Vývoj trestního zíření,0,0,2012,101,KEY Publishing,naučná,české</p>,,Publikace obsahuje podrobný přehled vývoje trestního řízení od nejstarších dob do současnosti. V úvodu jsou zpracovány počátky trestního soudnictví a trestního řízení v...,163,190,"['KEY Publishing, naučná', '', 'české']"
n64543619,Základy pracovního práva - Tereza Erényi,0,0,2012,148,KEY Publishing,naučná,české</p>,,"Pracovní právo jakožto právní obor je do určité míry specifické tím, že jeho základní znalost potřebují jak podnikatelé jakožto zaměstnavatelé při své podnikatelské činnosti,...",213,270,"['KEY Publishing, naučná', '', 'české']"
n87358476,Vývoj veřejné žaloby do roku 1989 - Karel Schelle,0,0,2012,49,KEY Publishing,naučná,české</p>,,Publikace pojednává o vývoji orgánů veřejné žaloby od nejstarších dob do konce roku 1989. Hlavní pozornost je věnována období od roku 1848 do druhé světové války. Výklad je...,98,124,"['KEY Publishing, naučná', '', 'české']"
n268338375,Trestní právo hmotné - obecná část - 3. vydání - Marek Fryšták a kolektiv,0,0,2012,165,KEY Publishing,naučná,české</p>,,"Učebnice vymezuje základní principy obecné části trestního práva hmotného takovým způsobem, aby si studenti osvojili jeho základní teoretické instituty a to ve spojitosti s ním...",140,143,"['KEY Publishing, naučná', '', 'české']"
n64396368,Ochrana spotřebitele v EU při obchodování po internetu - Richard Havlík,0,0,2012,157,KEY Publishing,naučná,české</p>,,"Ochrana spotřebitele je jednou z priorit unijního práva, která nabývá stále větší důležitosti. Z širokého pojmu ochrany spotřebitele autor vybral dvě oblasti, které ovlivňují a...",194,293,"['KEY Publishing, naučná', '', 'české']"
n72571832,"Právní, náboženské a politické aspekty starověké římské rodiny - Miroslav Frýdek",0,0,2012,122,KEY Publishing,naučná,české</p>,,"Publikace s názvem Právní, náboženské a politické aspekty starověké římské rodiny je dílem kolektivu autorů, vyučujících na Právnické a Filozofické fakultě Masarykovy...",161,210,"['KEY Publishing, naučná', '', 'české']"
