db_id,name,rating,reviews_cnt,year,pages_cnt,publisher,genre,author,lang,description,price_from,price_to,unparsed
n106654107,Na vlásku,60,1,2013,8,Egmont,dětské,slovenské</p>,,"Vojdi do kúzelného sveta rozprávok. Spoznaj príbeh Rapunzel, ktorej vlasy majú zázračnú moc. Dozvieš sa, odkiaľ je dievčina v skutočnosti a kto jej pomôže utiecť od zlej...",113,190,"['Egmont, dětské', '', 'slovenské']"
n491182944,Disney Pixar –žka na rok 2014,0,0,2013,72,Egmont,dětské,slovenské</p>,,"Milé deti, máte rady filmy Autá, Monsters a.s., Lietadlá, Hľadá sa Nemo, Toy Story či Ralph Rozbi-to? Ak áno, potom sa vám bude táto knižka určite páčiť. Vnútri nájdete kopu...",289,289,"['Egmont, dětské', '', 'slovenské']"
n153018861,Ľadové kráľovstvo,0,0,2013,64,Egmont,dětské,slovenské</p>,,Na brehu hlbokého morského zálivu medzi majestátnymi horami prekvitalo kráľovstvo Arendelle. Kráľ s kráľovnou múdro vládli a ľudia tu žili šťastne a spokojne. Ale iba do...,230,272,"['Egmont, dětské', '', 'slovenské']"
n153018863,Ľadové kráľovstvo,0,0,2013,24,Egmont,dětské,slovenské</p>,,"Čítanie so samolepkami je edícia pre začínajúcich čitateľov. Kniha s krátkym a zrozumiteľným príbehom obsahuje samolepky, ktoré deti dopĺňajú na správne miesta v texte....",109,131,"['Egmont, dětské', '', 'slovenské']"
n127732039,Barbie Hasička,0,0,2013,40,Egmont,dětské,slovenské</p>,,"Babie zorganizovala pre kamarátov grilovaciu párty pri bazéne. Lenže oheň dokáže byť poriadne nebezpečný! Barbie našťastie zachová pokoj, pretože vie, čo robiť v nebezpečných...",98,131,"['Egmont, dětské', '', 'slovenské']"
n672676096,Tomáš a jeho kamaráti Knižka na rok 2014,0,0,2013,72,Egmont,dětské,slovenské</p>,,"Tomáš a ostatné užitočné rušne z ostrova Sodor majú pre vás nové príbehy, hádanky a doplňovačky, ktoré vás určite zabavia po celý rok.",99,217,"['Egmont, dětské', '', 'slovenské']"
n92946924,Macko Puf Sova a jej lesní priatelia,0,0,2013,40,Egmont,dětské,slovenské</p>,,"V novej edícii príbehov Mysli, mysli... na prírodu nájdu deti odpovede na všetky otázky o svete okolo seba!
Sova a jej lesní priatelia
Kamaráti zo Stoakrového lesa sú pripravení...",69,69,"['Egmont, dětské', '', 'slovenské']"
n144883740,Tomáš a jeho kamaráti Príbehy na dobrú noc 4,0,0,2013,80,Egmont,dětské,slovenské</p>,,"V ďalších príbehoch naozaj užitočných rušňov sa dozviete, aké problémy mal Tomáš a Butch, keď nepočúvali Victorove rady, a prečo sa Flynn necítil vo svojej koži. Tomáš sa snaží...",200,200,"['Egmont, dětské', '', 'slovenské']"
n92946925,"Macko Puf Kengurka, malá objaviteľka",0,0,2013,40,Egmont,dětské,slovenské</p>,,"V novej edícii príbehov Mysli, mysli... na prírodu nájdu deti odpovede na všetky otázky o svete okolo seba!
Kengurka, malá objaviteľka. 
Priatelia zo Stoakrového lesa sú...",69,69,"['Egmont, dětské', '', 'slovenské']"
n106654113,Príšerky Univerzita Kúzelný príbeh,0,0,2013,32,Egmont,dětské,slovenské</p>,,"Vitajte na slávnej univerzite, kam chodia príšerky zo širokého okolia študovať strašenie. Sally, najlepší strašič spoločnosti Monsters, a.s., a Mike Wazowski neboli vždy dobrí...",69,69,"['Egmont, dětské', '', 'slovenské']"
