db_id,name,rating,reviews_cnt,year,pages_cnt,publisher,genre,author,lang,description,price_from,price_to,unparsed
n84616845,Básničky do detskej izbičky,0,0,2013,48,Príroda,dětské,slovenské</p>,,Básničky s láskou vytvorila autorka pre deti predškolského a mladšieho školského veku. Práve tie ich rady počúvajú a ľahko sa učia naspamäť. Poeticky rozihrané veršíky o múdrom...,122,150,"['Príroda, dětské', '', 'slovenské']"
n96870926,Prečo lienky nosia podkolienky,0,0,2013,64,Príroda,dětské,slovenské</p>,,"Viete, po čom túži žabka, kto má v lete turné a kedy ose tečie z nosa rosa?



 Kúpte si vstupenku na poetickú lúku, kde sú chrobáčiky doma a každý príbeh je na román. Ani sa...",118,126,"['Príroda, dětské', '', 'slovenské']"
n105396532,Moje najmilšie zvieratká -,0,0,2013,36,Príroda,dětské,slovenské</p>,,"Vtipné príbehy s obľúbenými zvieratkami si môžu deti vziať do postieľky, na prechádzku alebo návštevu k babke a dedkovi. Murko, Pejko a Bodrík budú s nimi stále!

Rok vydání­:...",136,182,"['Príroda, dětské', '', 'slovenské']"
n146681119,Rozprávky H. CH. Andersena - Tri leporelá v kufríku - Kolektív autorov,0,0,2013,0,Príroda,dětské,slovenské</p>,,"Tento rozprávkový kufrík z edície pre najmenších čitateľov obsahuje krátke, ale výstižne prerozprávané svetoznáme rozprávky, ktoré by malo poznať každé dieťa odmalička:...",136,190,"['Príroda, dětské', '', 'slovenské']"
n94773455,Hravé šteniatka,0,0,2013,16,Príroda,dětské,slovenské</p>,,"Obľúbení štvornohí kamaráti majú mäkučkú, hebkú kožušinku a veľmi rady sa hrajú. S ich obrázkami  aj s rébusmi, skladačkami, maľovankami a s krásnymi nálepkami sa deti zabavia...",51,73,"['Príroda, dětské', '', 'slovenské']"
n137356125,Hraj sa s vílou Flórou a jej kamarátkami! -,0,0,2013,24,Príroda,dětské,slovenské</p>,,"Tento titul nájdete v našej ponuke aj v KOLEKCII ZA SKVELÚ CENU. :-) Štyri zábavné zošity zo série /Hraj sa... s množstvom aktivít a peknými nálepkami, ktoré budú kľúčom ku...",65,87,"['Príroda, dětské', '', 'slovenské']"
n94773457,Milé mláďatká,0,0,2013,16,Príroda,dětské,slovenské</p>,,"Obľúbení štvornohí kamaráti majú mäkučkú, hebkú kožušinku a veľmi rady sa hrajú. S ich obrázkami  aj s rébusmi, skladačkami, maľovankami a s krásnymi nálepkami sa deti zabavia...",68,73,"['Príroda, dětské', '', 'slovenské']"
n137356123,Hraj sa s vílou Marínou a jej kamarátkami! - kol.,0,0,2013,24,Príroda,dětské,slovenské</p>,,"Tento titul nájdete v našej ponuke aj v KOLEKCII ZA SKVELÚ CENU. :-) Štyri zábavné zošity zo série Hraj sa... s množstvom aktivít a peknými nálepkami, ktoré budú kľúčom ku...",68,87,"['Príroda, dětské', '', 'slovenské']"
n154122077,Supermodelky,0,0,2013,16,Príroda,dětské,slovenské</p>,,"Tento titul nájdete v našej ponuke aj v KOLEKCII ZA SKVELÚ CENU. :-) Skvelá zábava pre mladé návrhárky! Séria ako ušitá pre všetky malé parádnice, ktoré sa rady češú, obliekajú...",72,77,"['Príroda, dětské', '', 'slovenské']"
n132760317,Učíme sa s básničkami,0,0,2013,48,Príroda,dětské,slovenské</p>,,"Interaktívny pracovný zošit tvoria tri samostatné časti, ktoré ponúkajú rodičom aj učiteľkám v materkých školách pomoc pri najčastejších problémoch detského veku. Keďže hlavným...",84,104,"['Príroda, dětské', '', 'slovenské']"
n149379180,Kresli so šablónou Milé princezné,0,0,2013,32,Príroda,dětské,slovenské</p>,,"V knižkách tvorivého kreslenia nájdu deti šablóny krásnych princezien, zvieratiek, kvietkov, odvážnych hrdinov, rakiet a robotov. Všetky šablóny si môžu pri kreslení ľubovoľne...",110,113,"['Príroda, dětské', '', 'slovenské']"
n94773459,Malý kúzelník,0,0,2013,64,Príroda,dětské,slovenské</p>,,Kniha ponúka návody na viac ako sto kúziel a trikov pre malých kúzelníkov vo veku od 6 do 12 rokov. Ak sa budú riadiť podrobnými pokynmi a obrázkami v knižke a dôkladne si...,169,206,"['Príroda, dětské', '', 'slovenské']"
n104041058,Rozprávková škôlka Petra Pana -,0,0,2013,16,Príroda,dětské,slovenské</p>,,"Výborný zošit pre deti predškolského veku aj prváčikov, v ktorom cez rôzne hry a aktivity budú tvorivo objavovať svoje obľúbené rozprávky a naučia sa aj logicky uvažovať....",78,78,"['Príroda, dětské', '', 'slovenské']"
n154122079,Supermodelky,0,0,2013,16,Príroda,dětské,slovenské</p>,,"DOSTUPNÉ AJ V KOLEKCII ZA SKVELÚ CENU. :-) Skvelá zábava pre mladé návrhárky! Séria ako ušitá pre všetky malé parádnice, ktoré sa rady češú, obliekajú a zdobia. Zažijú zábavu s...",84,84,"['Príroda, dětské', '', 'slovenské']"
