db_id,name,rating,reviews_cnt,year,pages_cnt,publisher,genre,author,lang,description,price_from,price_to,unparsed
n106877806,Maťko a Kubko,100,3,2013,88,slovenské,dětské,Marianna Grznárová</p>,,"Slovenský detský ""bestseller"" - o dvoch valachoch, čo na salaši ovce pásli a pritom aj búrku napásli, s medveďom sa skamarátili, učili kukučku kukať a vílu ovečky dojiť -...",117,199,"['Slovenské pedagogické nakladat, dětské', '', 'slovenské, Marianna Grznárová']"
n143429978,Hop-hop na koníčku - Mária Rázusová- Martáková,0,0,2013,12,slovenské,dětské,Mária Rázusová-Martáková</p>,,"Klasické leporelo s pôvodnými slovenskými textami, obľúbenými veršíkmi M. Rázusovej-Martákovej, ktoré s radosťou čítajú rodičia a starí rodičia svojim deťom a vnúčatkám....",74,115,"['Slovenské pedagogické nakladat, dětské', '', 'slovenské, Mária Rázusová-Martáková']"
n106877807,Tri múdre kozliatka,0,0,2013,64,slovenské,dětské,Jozef Cíger Hronský</p>,,"Všadebrada, Všadejama, Všadekapusta sú iste tri najmúdrejšie kozliatka na svete, veď putovali zo Slovenska až do Ameriky a nestratili sa. Kozliatkovským rozumom si museli...",108,181,"['Slovenské pedagogické nakladat, dětské', '', 'slovenské, Jozef Cíger Hronský']"
n130281257,Zvieratká deťom - Mária Rázusová-Martáková,0,0,2013,12,slovenské,dětské,Mária Rázusová-Martáková</p>,,"Klasické rozkladacie leporelo s obľúbenými veršíkmi známej slovenskej spisovateľky Márie Rázusovej-Martákovej s rovnako obľúbenými ilustráciami Jaroslava Vodrážku, ktoré pozná...",62,91,"['Slovenské pedagogické nakladat, dětské', '', 'slovenské, Mária Rázusová-Martáková']"
n109666501,Poklad v pirátskej hrobke - Ulf Blanck,0,0,2013,112,slovenské,dětské,Ulf Blanck</p>,,"Všetko sa začalo hľadaním pokladu na morskom dne. Traja malí pátrači narazili na stopu zabudnutých pirátov, ktorá ich priviedla rovno do pirátskej hrobky v prímorskej jaskyni....",93,151,"['Slovenské pedagogické nakladat, dětské', '', 'slovenské, Ulf Blanck']"
n112146514,Záhada futbalovej horúčky,0,0,2013,128,slovenské,dětské,Marco Sonnleitner</p>,,"Kalifornia žije futbalovým šampionátom, na ktorý Peter nadšene trénuje. Krátko pred finálovým zápasom sa na šrotovisku náhle zjaví rozrušený chlapec a prosí pátračov o pomoc. V...",108,181,"['Slovenské pedagogické nakladat, dětské', '', 'slovenské, Marco Sonnleitner']"
n143065403,Najkrajšie rozprávky o princeznách,0,0,2013,128,Slovenské pedagogické nakladat,dětské,slovenské</p>,,"Najkrajšie rozprávky sú o princeznách a táto knižka obsahuje tie najpopulárnejšie a najobľúbenejšie. Deti milujú Popolušku, Snehulienku aj Šípkovú Ruženku a so zatajeným dychom...",173,298,"['Slovenské pedagogické nakladat, dětské', '', 'slovenské']"
n154120521,10 malých mačiatok,0,0,2013,22,Slovenské pedagogické nakladat,dětské,slovenské</p>,,"Jazyk: slovenský
Počet stran: 22
Rok vydání: 2013
Vazba / Podoba: Prostorové pohádky, leporela
Sortiment: 
Nakladatelství: Slovenské pedagogické nakladatelstvo - M",183,280,"['Slovenské pedagogické nakladat, dětské', '', 'slovenské']"
n146122272,Meduškine srdiečka - Elena Čepčeková,0,0,2013,112,slovenské,dětské,Elena Čepčeková</p>,,"Autor : Elena Čepčeková, Popis : Meduškine srdiečka sú reprezentatívnym výberom tých najlepších rozprávok, básničiek a hádaniek, ktoré Elena Čepčeková napísala pre menšie deti....",191,328,"['Slovenské pedagogické nakladat, dětské', '', 'slovenské, Elena Čepčeková']"
n98810068,Prekliate zlato Titanicu,0,0,2013,120,slovenské,dětské,Thomas Brezina</p>,,"Jazyk: slovenský
Počet stran: 120
Rok vydání: 2013
Vazba / Podoba: Pevná bez přebalu lesklá
Sortiment: 
Nakladatelství: Slovenské pedagogické nakladatelstvo - M",132,226,"['Slovenské pedagogické nakladat, dětské', '', 'slovenské, Thomas Brezina']"
n132401099,Kde je moja mamička?,0,0,2013,22,Slovenské pedagogické nakladat,dětské,slovenské</p>,,"Vyrezávané leporelo väčšieho formátu s nádhernými realistickými obrázkami malého zvedavého káčatka, ktoré sa stratilo a vybralo sa hľadať mamu. Na ceste stretáva žabku, rybku,...",183,280,"['Slovenské pedagogické nakladat, dětské', '', 'slovenské']"
n111307894,Klasické autá,0,0,2013,68,Slovenské pedagogické nakladat,dětské,slovenské</p>,,Originálny darček pre automobilových nadšencov každého veku. Pri vyfarbovaní jednotlivých typov klasických áut vám pomôžu vzory na samolepkách a užijete si príjemne strávené...,57,125,"['Slovenské pedagogické nakladat, dětské', '', 'slovenské']"
n84507309,Karpatské povesti,0,0,2013,144,slovenské,dětské,Peter Urban</p>,,"Autor : Peter Urban, Popis : Na potulkách povesťovou mapou tentoraz zájdeme až za hranice Slovenska a prejdeme tisíce kilometrov najrozľahlejším pohorím Európy. Mohutný oblúk...",97,268,"['Vydavateľstvo Matice slovenske, dětské', '', 'slovenské, Peter Urban']"
