db_id,name,rating,reviews_cnt,year,pages_cnt,publisher,genre,author,lang,description,price_from,price_to,unparsed
n103246215,Lásky českých hudebníků,0,0,2013,88,Albatros Media a. s.,dětské,české</p>,,"Zajímavosti ze života významných českých osobností. Příležitost, jak se něco dozvědět o citovém životě českých hudebníků 19. století a doplnit si suché znalosti ze školy. Koho...",69,99,"['Albatros Media a. s., dětské', '', 'české']"
n139612412,"Bílá paní na hlídání Petr Friedl, Pavel Brycz",93,9,2013,128,Albatros Media a. s.,dětské,české</p>,,"Bílá paní na hlídání
Jen Bílá paní zvládá uhlídat neposedná čtyřčata Barnabáše, Matyáše, Tobiáše a Uriáše Černých.
Přesvědčí vás o tom nápaditá a hravá obrázková knížka podle...",206,254,"['Albatros Media a. s., dětské', '', 'české']"
n153899789,Tvůrčí psaní pro malé spisovatele a spisovatelky - Jaroslava Kuče,84,2,2013,136,Albatros Media a. s.,dětské,české</p>,,"Tvůrčí psaní pro malé spisovatele a spisovatelky kniha od autora Kateřina Hošková, Jaroslava Kučerová. Kniha je určena dětem i studentům pro samostatné tvoření, vhodná je...",173,249,"['Albatros Media a. s., dětské', '', 'české']"
n530093,"Jak se kluci a holky učili říkat L, ĎŤŇ, CSZ, ČŠŽ, R a Ř -- Logopedie pro děti od 4 do 7 let - Bohdana Pávková, Richard Šmarda",92,2,2013,48,Albatros Media a. s.,dětské,české</p>,,"Kniha pomáhá s metodikou vyvozování, upevňování a včleňování hlásek do plynulé řeči. Rodiče tak mají možnost se seznámit, jak se s dětmi může pracovat při nápravě řeči....",117,169,"['Albatros Media a. s., dětské', '', 'české']"
n129140960,Hrajeme a zpíváme si pro radost - Jan Zíma,78,1,2013,56,Albatros Media a. s.,dětské,české</p>,,"25 písniček ze zpěvníku na přiloženém CD nazpíval dětský sbor KANTILÉNA. Jsou o věcech, se kterými se děti každý den setkávají: o tom, co vidí ve městě, v přírodě, doma i o...",122,185,"['Albatros Media a. s., dětské', '', 'české']"
n120307535,Chci to vědět. Objasnění každodenních dětských záhad - Karolin Küntzelová - Edika,93,1,2013,160,Albatros Media a. s.,dětské,české</p>,,"Chci to vědět Objasnění každodenních dětských záhad

Bohatě ilustrovaná kniha, která malé čtenáře uvede do světa některých humanitních i přírodních věd, pokusí se jim...",71,299,"['Albatros Media a. s., dětské', '', 'české']"
n129088493,"Malý vědec 2. Experimenty, které můžete provádět i doma - Tomislav Senčanski - Edika",80,3,2013,64,Albatros Media a. s.,dětské,české</p>,,"Ověřte si platnost fyzikálních a chemických zákonů zábavnou formou v praxi - experimenty, které můžete provádět i doma!
Tato kniha je určena pro všechny, kteří si chtějí...",144,189,"['Albatros Media a. s., dětské', '', 'české']"
n144910316,"Bráška Králík Kniha + CD audio, MP3",55,2,2013,28,Albatros Media a. s.,dětské,české</p>,,"Lidová vyprávění afroamerických Jižanů sesbíral a v 80. letech 19. století vydal americký novinář, spisovatel a folklorista Joel Chandler Harris (1848-1908). Bajky a příběhy o...",86,86,"['Albatros Media a. s., dětské', '', 'české']"
n96654797,Věřili byste... že cirkusový kůň dovede počítat?,0,0,2013,48,Albatros Media a. s.,dětské,české</p>,,"Co, kdo, kdy a jak? Která hudební skladba zcela postrádá zvuk? Jaký trik umožní spolknout meč? Kdo přešel Niagarské vodopády po laně? Kam až sahá historie zábavy? Jak bavili...",112,115,"['Albatros Media a. s., dětské', '', 'české']"
n96654798,Věřili byste... že dva cyklisté vynalezli letadlo?,0,0,2013,48,Albatros Media a. s.,dětské,české</p>,,"Věřili byste, že dva cyklisté vynalezli letadlo? Richard Platt. EDIKA

Kdo, kde, kdy, jak? Kdo chtěl chudým zabránit v cestování vlakem? Kde pošťáci doručovali zralé ovoce...",115,115,"['Albatros Media a. s., dětské', '', 'české']"
n96654799,"Věřili byste... že lidé dostávají zaplaceno za to, že spí?",0,0,2013,48,Albatros Media a. s.,dětské,české</p>,,"Věřili byste, že lidé dostanou zaplaceno za to, že spí? Richard Platt. EDIKA

Kdo, kdy, kde, a jak? Kdo navrhl, že pracující by měli vládnout naším světem? Kdy smrtelné choroby...",115,115,"['Albatros Media a. s., dětské', '', 'české']"
