db_id,name,rating,reviews_cnt,year,pages_cnt,publisher,genre,author,lang,description,price_from,price_to,unparsed
n208729877,Podivuhodný případ dr. Jekylla a p. Hyda - Louis Stevenson Robert,93,1,2014,136,Odeon,beletrie,české</p>,,"Příběh od skotského spisovatele Roberta Louise Stevensona patří mezi klenoty nejen anglické, ale i světové literatury. Rozpolcená postava doktora Jekylla a pana Hyda plná...",209,279,"['Odeon, beletrie', '', 'české']"
n474616384,Doplavat domů,100,1,2014,160,Odeon,beletrie,české</p>,,"Francouzská Riviéra, rodinka na dovolené. Osoby a obsazení: Joe je světově uznávaný básník pocházející z Polska, Isabel je válečná zpravodajka. Plus pubertální dcera plus dva...",23,40,"['Odeon, beletrie', '', 'české']"
n274416615,Snídaně u Tiffanyho - Truman Capote,0,0,2014,96,Odeon,beletrie,české</p>,,"Capoteho novela Snídaně u Tiffanyho je prózou nepříliš rozsáhlou, svým významem se však řadí k pilířům americké literatury. 
Hrdinka knihy, Holly Golightlyová, je dívka lehčích...",149,179,"['Odeon, beletrie', '', 'české']"
n218308093,Afterdark Haruki Murakami,98,3,2014,160,Odeon,beletrie,české</p>,,"Příběh ze současného Tokia se odehrává po setmění, během jediné noci. Kapitoly jsou napsány stylem filmového scénáře a u každé z nich je uveden přesný časový údaj. Dějová linie...",198,249,"['Odeon, beletrie', '', 'české']"
n274418163,Mapa Anny - Marek Šindelka,0,0,2014,136,Odeon,beletrie,české</p>,,"Mapa Anny kniha od autora Šindelka Marek. Mapa Anny je nový povídkový soubor Marka Šindelky, nositele Magnesie Litery za prózu z roku 2012. Objektem autorova pozorování jsou...",159,199,"['Odeon, beletrie', '', 'české']"
n208729887,Podivná knihovna - Haruki Murakami,88,6,2014,64,Odeon,beletrie,české</p>,,Chodíte si půjčovat knihy do knihovny?.  Mladík si jako obvykle odskočí navečer do místní knihovny: vrátit dvě knížky a nějaké jiné si půjčit. Ten den se však už nevrátí domů....,174,249,"['Odeon, beletrie', '', 'české']"
n298713272,Ticho a vřava - Sirees Nihad,85,1,2014,160,Odeon,beletrie,české</p>,,"Kafka okořeněný Kunderou ? tak hodnotili knihu francouzští recenzenti.. Autor popisuje každodenní život v nejmenované arabské zemi, v níž vládne totalita. Román nese...",23,40,"['Odeon, beletrie', '', 'české']"
n157578542,Jak nechutně zbohatnout v rozvojové Asii,90,1,2014,160,Odeon,beletrie,české</p>,,"Na příběhu NĚKOHO (hrdinovo jméno neznáme) ukazuje Hamid krutou a drsnou tvář současné Asie - bídu, nemoci a smrt. Na druhé straně vypráví o lásce partnerské i rodičovské. Líčí...",23,249,"['Odeon, beletrie', '', 'české']"
n289277111,Paní Dallowayová,100,1,2014,160,Odeon,beletrie,české</p>,,"Londýnské jitro, červen 1923. Paní Clarissa Dallowayová jde do květinářství pro výzdobu na svůj dnešní večírek. Než však tahle událost pro lidi z lepších kruhů nastane,...",214,269,"['Odeon, beletrie', '', 'české']"
n361696359,"Zabila jsem naše kočky, drahá - Maslowska Dorota",0,0,2014,160,Odeon,beletrie,české</p>,,"Zabila jsem naše kočky, drahá kniha od autora Maslowská Dorota. Autorka překvapila svou prvotinou, v nové próze překvapuje znovu: ocitáme se v americkém velkoměstě a...",161,249,"['Odeon, beletrie', '', 'české']"
n174933329,"Zabila jsem naše kočky, miláčku - Dorota Maslowská",0,0,2014,160,Odeon,beletrie,české</p>,,"Autorka překvapila svou prvotinou, v nové próze překvapuje znovu: ocitáme se v americkém velkoměstě a seznamujeme se s dvojicí protagonistek: Farah a Joanne vyplňují svůj život...",197,249,"['Odeon, beletrie', '', 'české']"
