db_id,name,rating,reviews_cnt,year,pages_cnt,publisher,genre,author,lang,description,price_from,price_to,unparsed
n168326098,Urgentní medicína - pro všeobecné praktické lékaře NOVĚ U NÁS! - Štorek,0,0,2014,154,Raabe,naučná,české</p>,,"Kniha přináší to nejdůležitější a nejaktuálnější z lékařské první pomoci. Jejím autorem je MUDr. Josef Štorek, Ph.D., vedoucí katedry Urgentní medicíny a medicíny katastrof...",313,763,"['Raabe, naučná', '', 'české']"
n232434374,Objevujeme s dětmi kulturu a společnost,0,0,2014,120,Raabe,naučná,české</p>,,Publikace Objevujeme s dětmi kulturu a společnost poslouží jako užitečná příručka k výuce vzdělávací oblasti Dítě a společnost nejen v mateřských školách. Vedle potřebného...,160,359,"['Raabe, naučná', '', 'české']"
n182519277,Metody a postupy při práci s předškolákem s ADHD - Pracovní sešit 6 Kniha,100,1,2014,24,Raabe,naučná,české</p>,,"Pracovní sešit obsahuje přehled vybraných možností podpory a materiálů pro práci s dítětem s ADHD.  
 
Sada pracovních sešitů je praktickou pomůckou pro práci s předškolákem s...",50,79,"['Raabe, naučná', '', 'české']"
n494228144,"Komunikace, řeč a myšlení",0,0,2014,24,Raabe,naučná,české</p>,,Sada pracovních sešitů je praktickou pomůckou pro práci s předškolákem s ADHD. Rodiče předškoláků získají účinnou pomoc ve formě popisu konkrétních životních situací a...,54,79,"['Raabe, naučná', '', 'české']"
n168298567,Oftalmologie - pro všeobecné praktické lékaře NOVĚ U NÁS! - Mazal,0,0,2014,132,Raabe,naučná,české</p>,,"Publikace je užitečným přehledem základních informací o očním lékařství a oční problematice, kterou by měl znát každý všeobecný praktický lékař. Měla by sloužit jako zdroj...",270,399,"['Raabe, naučná', '', 'české']"
n323137224,"Budíková Jaroslava, Křapková Lenka, Růžičková Romana - Chování a prožívání -- Pracujeme s předškolákem s ADHD. Kuliferda a jeho svět",0,0,2014,24,Raabe,naučná,české</p>,,"Pracovní sešit obsahuje praktická doporučení, náměty a materiály pro práci s předškolákem zaměřené na chování a prožívání. 

Sada pracovních sešitů je praktickou pomůckou pro...",56,79,"['Raabe, naučná', '', 'české']"
n476899017,"BUDÍKOVÁ Jaroslava, KŘAPKOVÁ Lenka, RŮŽIČKOVÁ Romana - Relaxační metody",0,0,2014,24,Raabe,naučná,české</p>,,Sada pracovních sešitů je praktickou pomůckou pro práci s předškolákem s ADHD. Rodiče předškoláků získají účinnou pomoc ve formě popisu konkrétních životních situací a...,55,79,"['Raabe, naučná', '', 'české']"
n464218355,Příprava na výuku vyjmenovaných slov PS 6 - Romana Růžičková,0,0,2014,24,Raabe,naučná,české</p>,,Sada pracovních sešitů je praktickou pomůckou pro práci se školákem s ADHD v mladším věku. Rodiče školáků získají účinnou pomoc ve formě popisu konkrétních životních situací a...,56,79,"['Raabe, naučná', '', 'české']"
n351352939,"Pomáháme dětem s orientací v dnešním světě - Alena Váchová, Zuzana Štefánková, Eva Svobodová, Magdelána Kapuciánová",0,0,2014,112,Raabe,naučná,české</p>,,"Vedle potřebného metodického zázemí nabízí spoustu originálních námětů a zábavných aktivit, které jsou ověřeny praxí a garantovány editorským kolektivem z řad odborníků na...",244,359,"['Raabe, naučná', '', 'české']"
n232434372,Rozvíjíme vnímání a tvořivost dětí,100,1,2014,160,Raabe,naučná,české</p>,,Publikace Rozvíjíme vnímání a tvořivost dětí poslouží jako užitečná příručka k výuce vzdělávací oblasti Dítě a jeho psychika a její podoblasti Poznávací schopnosti a funkce...,274,399,"['Raabe, naučná', '', 'české']"
n432015942,Emoce a znalosti - Pracovní sešit 3: Overování školních predpokladu dítete - Vlčková Helena,0,0,2014,32,Raabe,naučná,české</p>,,"Sada pracovních sešitů je praktickou pomůckou pro ověřování školních předpokladů dětí ve věku 6–7 let. Rodiče předškoláků si tak mohou orientačně ověřit, zda je jejich dítě v...",65,89,"['Raabe, naučná', '', 'české']"
n232647450,Činnosti se zvířaty v předškolním vzdělávání,0,0,2014,128,Raabe,naučná,české</p>,,"Publikace Činnosti se zvířaty se zabývá problematikou využití a zapojení vybraných druhů zvířat v předškolním vzdělávání. První část knihy je zaměřena na teorii – terminologii,...",312,459,"['Raabe, naučná', '', 'české']"
n626430888,Raabe Vnímání a řeč - Ověřování školních předpokladů dětí,0,0,2014,32,Raabe,naučná,české</p>,,"Sada pracovních sešitů je praktickou pomůckou pro ověřování školních předpokladů dětí ve věku 6–7 let. Rodiče předškoláků si tak mohou orientačně ověřit, zda je jejich dítě v...",65,89,"['Raabe, naučná', '', 'české']"
n180903580,Poradenství hrou - Andrea Baumannová; Jarmila Ciprová; Dalibor Dudek,0,0,2014,96,Raabe,naučná,české</p>,,"Publikace obsahuje inspirativní náměty na hry do hodin českého a cizího jazyka. Jednotlivé hry slouží k procvičení dosud získaných vědomostí a dovedností, rozšíření slovní...",253,355,"['Raabe, naučná', '', 'české']"
