db_id,name,rating,reviews_cnt,year,pages_cnt,publisher,genre,author,lang,description,price_from,price_to,unparsed
n318303903,Architektonické styly I. - Naučná karta,10,1,2015,8,Computer Media,naučná,české</p>,,"V praktickém přehledu se dozvíte, kde se vzal název slohu, jaké jsou jeho typické znaky, kdy a kde se sloh rozvíjel, jaké stavby dnes můžete obdivovat. 
Nádherné ilustrace...",28,49,"['Computer Media, naučná', '', 'české']"
n318303910,Osobnosti české historie: Panovníci a státníci - Naučná karta,0,0,2015,8,Computer Media,naučná,české</p>,,"Naučné karty jsou moderní formou poznávání pro všechny generace. Přinášejí stručný, výstižný a zajímavý přehled nejdůležitějších informací z odborných i zájmových oblastí....",28,49,"['Computer Media, naučná', '', 'české']"
n318303906,Pravěk - Naučná karta,0,0,2015,8,Computer Media,naučná,české</p>,,"Existence člověka v pravěku závisela na tom, zda si zajistil dostatek potravy a ubránil se před divokými zvířaty, přírodními katastrofami i soupeřícími skupinami lidí. 
Stručné...",28,49,"['Computer Media, naučná', '', 'české']"
n318303904,Architektonické styly II. - Naučná karta,20,1,2015,8,Computer Media,naučná,české</p>,,"V praktickém přehledu se dozvíte, kde se vzal název slohu, jaké jsou jeho typické znaky, kdy a kde se sloh rozvíjel, jaké stavby dnes můžete obdivovat. 
Nádherné ilustrace...",28,49,"['Computer Media, naučná', '', 'české']"
n318303907,Starověký Řím - Naučná karta,0,0,2015,8,Computer Media,naučná,české</p>,,"Bydlení, odívání, stravování, kultura a umění, vojenství – to jsou některá témata textů o životě ve starověkém Římě. 
Ilustrovaná časová osa uvádí nejvýznamnější události od...",28,49,"['Computer Media, naučná', '', 'české']"
n318303902,Výroba perníčků - Naučná karta,85,3,2015,8,Computer Media,naučná,české</p>,,"Výroba perníčků - Naučná karta. Které těsto je možné použít hned a které musí odležet? Jak poznáte, že jsou perníky upečené? Jak nepokazit nanášení polevy? Jak si vyrobit 3D...",28,45,"['Computer Media, naučná', '', 'české']"
n318303912,Planeta Země - Naučná karta,0,0,2015,8,Computer Media,naučná,české</p>,,"Naučné karty jsou moderní formou poznávání pro všechny generace. Přinášejí stručný, výstižný a zajímavý přehled nejdůležitějších informací z odborných i zájmových oblastí....",28,49,"['Computer Media, naučná', '', 'české']"
n318303898,Jedovaté rostliny Dřeviny - Naučná karta,0,0,2015,8,Computer Media,naučná,české</p>,,"Cílem tohoto pokračování předchozí části o jedovatých bylinách je představení jedovatých dřevin, tedy stromů a keřů. Seznam obsahuje deset nejznámějších jedovatých dřevin z...",30,49,"['Computer Media, naučná', '', 'české']"
n318303900,Vitamíny - Naučná karta,0,0,2015,8,Computer Media,naučná,české</p>,,"Naučné karty jsou moderní formou poznávání pro všechny generace. Přinášejí stručný, výstižný a zajímavý přehled nejdůležitějších informací z odborných i zájmových oblastí....",28,49,"['Computer Media, naučná', '', 'české']"
n318303908,Řecká mytologie Bohové - Naučná karta,0,0,2015,8,Computer Media,naučná,české</p>,,"Seznamte se s medailonky 24 nejvýznamnějších bohů známých z řecké mytologie a snáze porozumíte i uměleckým dílům, která náměty z řeckých bájí zpracovávají. Přehled je doplněn...",28,49,"['Computer Media, naučná', '', 'české']"
n318303909,Středověké město - Naučná karta,0,0,2015,8,Computer Media,naučná,české</p>,,"Naučné karty jsou moderní formou poznávání pro všechny generace. Přinášejí stručný, výstižný a zajímavý přehled nejdůležitějších informací z odborných i zájmových oblastí....",28,49,"['Computer Media, naučná', '', 'české']"
n318303897,Jedovaté rostliny Byliny - Naučná karta,0,0,2015,8,Computer Media,naučná,české</p>,,"Víte, že mnohé z rostlin, s nimiž se setkáváme v zahradách, parcích, na loukách a v lesích, ale třeba i u zdí či na okrajích cest, obsahují toxické látky, které mohou způsobit...",30,49,"['Computer Media, naučná', '', 'české']"
n318303911,Sluneční soustava - Naučná karta,0,0,2015,8,Computer Media,naučná,české</p>,,"Naučné karty jsou moderní formou poznávání pro všechny generace. Přinášejí stručný, výstižný a zajímavý přehled nejdůležitějších informací z odborných i zájmových oblastí....",28,49,"['Computer Media, naučná', '', 'české']"
n456033814,Příklady a cvičení z informatiky Zadání - Pavel Navrátil,0,0,2015,112,Computer Media,naučná,české</p>,,"Komplexní cvičebnice informatiky obsahuje stovky teoretických i praktických příkladů, rozčleněných do tematických celků - cvičení. Každé cvičení obsahuje několik příkladů....",145,220,"['Computer Media, naučná', '', 'české']"
n318303918,Ošklivé kačátko - Naučná karta,0,0,2015,8,Computer Media,naučná,české</p>,,"Naučné karty jsou moderní formou poznávání pro všechny generace. Přinášejí stručný, výstižný a zajímavý přehled nejdůležitějších informací z odborných i zájmových oblastí....",28,49,"['Computer Media, naučná', '', 'české']"
n318303913,Největší řeky světa - Naučná karta,0,0,2015,8,Computer Media,naučná,české</p>,,"Které řeky patří mezi největší na Zemi? Čím se od sebe liší a co mají společného? Jaká tajemství skrývají? 
V přehledu nesmí chybět Amazonka, Volha nebo Kongo, ale poznáte i...",28,49,"['Computer Media, naučná', '', 'české']"
n332187337,Cestovní ruch,0,0,2015,112,Computer Media,naučná,české</p>,,"Výuka pokrývá tato témata:

1. Cestovní ruch a jeho úloha v moderní společnosti: co je cestovní ruch; historický vývoj cestovního ruchu; klasifikace cestovního ruchu; specifika...",145,220,"['Computer Media, naučná', '', 'české']"
n318303916,Červená Karkulka - Naučná karta,60,1,2015,8,Computer Media,naučná,české</p>,,"Naučné karty jsou moderní formou poznávání pro všechny generace. Přinášejí stručný, výstižný a zajímavý přehled nejdůležitějších informací z odborných i zájmových oblastí....",28,49,"['Computer Media, naučná', '', 'české']"
n318303921,"Dlouhý, široký a bystrozraký - Naučná karta",70,2,2015,8,Computer Media,naučná,české</p>,,"Naučné karty jsou moderní formou poznávání pro všechny generace. Přinášejí stručný, výstižný a zajímavý přehled nejdůležitějších informací z odborných i zájmových oblastí....",28,49,"['Computer Media, naučná', '', 'české']"
n318303919,Popelka - Naučná karta,0,0,2015,8,Computer Media,naučná,české</p>,,"Naučné karty jsou moderní formou poznávání pro všechny generace. Přinášejí stručný, výstižný a zajímavý přehled nejdůležitějších informací z odborných i zájmových oblastí....",28,49,"['Computer Media, naučná', '', 'české']"
n318303915,Čert a Káča - Naučná karta,0,0,2015,8,Computer Media,naučná,české</p>,,"Naučné karty jsou moderní formou poznávání pro všechny generace. Přinášejí stručný, výstižný a zajímavý přehled nejdůležitějších informací z odborných i zájmových oblastí....",28,49,"['Computer Media, naučná', '', 'české']"
n319135846,Naučné karty Kocour v botách,0,0,2015,8,Computer Media,naučná,české</p>,,"Naučné karty jsou moderní formou poznávání pro všechny generace. Přinášejí stručný, výstižný a zajímavý přehled nejdůležitějších informací z odborných i zájmových oblastí....",28,49,"['Computer Media, naučná', '', 'české']"
n318303914,Minerály - Naučná karta,0,0,2015,8,Computer Media,naučná,české</p>,,"Naučné karty jsou moderní formou poznávání pro všechny generace. Přinášejí stručný, výstižný a zajímavý přehled nejdůležitějších informací z odborných i zájmových oblastí....",29,49,"['Computer Media, naučná', '', 'české']"
n318303920,Pyšná princezna - Naučná karta,0,0,2015,8,Computer Media,naučná,české</p>,,"Naučné karty jsou moderní formou poznávání pro všechny generace. Přinášejí stručný, výstižný a zajímavý přehled nejdůležitějších informací z odborných i zájmových oblastí....",28,49,"['Computer Media, naučná', '', 'české']"
n353668859,Jak se nezničit u počítače - Naučná karta,90,1,2015,8,Computer Media,naučná,české</p>,,"Jak se nezničit u počítače - Naučná karta. Následkem dlouhodobého (a často nesprávného) sedění mohou být bolesti a zhoršující se zdraví. Souhrn jednoduchých doporučení, rad a...",32,49,"['Computer Media, naučná', '', 'české']"
n395296304,Jak se nezničit u počítače - Naučná karta,0,0,2015,8,Computer Media,naučná,české</p>,,"Souhrn jednoduchých doporučení, rad a názorných cviků je vhodným návodem na zlepšení kvality života pro všechny, kteří sedí (nejen u počítače) více než dvě hodiny denně....",29,45,"['Computer Media, naučná', '', 'české']"
n405904756,"Politologie a člověk v mezinárodním prostředí - Občanský a společenskovědní základ: Politologie. Clovek v mezinárodním prostredí - Köhlerová Tereza, Moudrý Marek",0,0,2015,104,Computer Media,naučná,české</p>,,"Politologie je velmi starou naukou, jejíž kořeny sahají až do starověkých říší. Význačného rozmachu doznala za středověku a novověku. V 19. a 20. století byly položeny základy...",150,220,"['Computer Media, naučná', '', 'české']"
