db_id,name,rating,reviews_cnt,year,pages_cnt,publisher,genre,author,lang,description,price_from,price_to,unparsed
n362933389,Jak dosáhnout souhlasu aneb nebuďte sám sobě úhlavním nepřítelem - William Ury,0,0,2015,160,Management Press,naučná,české</p>,,"Přistupujte k řešení konfliktů tak, že nejdříve vyřešíte konflikt sami se sebou

Jak můžeme dospět ke společnému ano s druhými lidmi, jak se můžeme dohodnout? Jak můžeme...",202,299,"['Management Press, naučná', '', 'české']"
n264486712,"Jak překonat nesouhlas. Zásady vyjednávání s lidmi, s nimiž nelze vyjednávat",0,0,2015,128,Management Press,naučná,české</p>,,"Praxí prověřená strategie vyjednávání s lidmi, kteří nejsou ochotni usednout k jednacímu stolu

„Nejlepší kniha o vyjednávání“ se soustřeďuje na jednání s problémovými lidmi a...",170,249,"['Management Press, naučná', '', 'české']"
n256330276,česko-německá Interkulturní komunikace v řízení a podnikání,0,0,2015,168,Management Press,naučná,české</p>,,"Úspěšná česko-německá autorská dvojice se ve 2. aktualizovaném vydání úspěšné monografie zaměřuje výlučně na německou a českou kulturu, resp. jejich odlišnosti, které jsou...",258,379,"['Management Press, naučná', '', 'české']"
n247169859,Strukturální míra nezaměstnanosti v ČR,0,0,2015,84,Management Press,naučná,české</p>,,"V souvislosti se dvěma ekonomickými recesemi, kterými česká ekonomika v posledních šesti letech prošla, je otázka vývoje strukturální míry nezaměstnanosti o to podstatnější....",110,159,"['Management Press, naučná', '', 'české']"
n290132177,Konflikty ve firmách (Vojtěch Bednář),95,1,2015,152,Management Press,naučná,české</p>,,"Proč lidé do konfliktu vstupují? 
Jak má manažer postupovat, když řeší konflikt svých podřízených? 
Co dělat, když se do konfliktu dostane management firmy? 
Jak si počínat,...",183,269,"['Management Press, naučná', '', 'české']"
n328860257,Kodex lídrů,0,0,2015,168,Management Press,naučná,české</p>,,Pět základních pravidel vedení lidí. Pronikněte do DNA skutečného lídra Autoři knihy Kodex lídrů si vytkli nesmírně obtížný cíl. Z nepřeberného množství literatury věnované...,173,249,"['Management Press, naučná', '', 'české']"
n297237800,Zrychli. Strategické koncepce v rychle se měnícím světě (prac. název),0,0,2015,148,Management Press,naučná,české</p>,,"Tato kniha je o průkopnících a pro průkopníky. Témata, kterými se legenda manažerské literatury, John P. Kotter, tentokrát zabývá, souvisejí s pozorováním změn: organizace po...",243,349,"['Management Press, naučná', '', 'české']"
n259853615,Nebojte se upřímnosti - Shan Harley,0,0,2015,168,Management Press,naučná,české</p>,,"Kniha je výsledkem autorčiných patnácti let zkušeností ze spolupráce s různými typy organizací, jejichž zaměstnanci na všech úrovních řízení se potýkali s problémem, jak na...",178,300,"['Management Press, naučná', '', 'české']"
n244672289,Zdroje a perspetivy evropských ekonomik,0,0,2015,152,Management Press,naučná,české</p>,,"Co je globalizace? Hledání odpovědi na tuto otázku zahájíme připomenutím, co za globalizaci považuje J. Keller. Z jeho pohledu jde o „komplexní proces technických,...",138,199,"['Management Press, naučná', '', 'české']"
n293197712,Odpovědný management,10,1,2015,132,Management Press,naučná,české</p>,,"Publikace známého pedagoga a odborníka na problematiku manažerské etiky Zdenka Dytrta Odpovědný management se zabývá metodou vedení (leadership), která je často chápana pouze...",199,249,"['Management Press, naučná', '', 'české']"
