db_id,name,rating,reviews_cnt,year,pages_cnt,publisher,genre,author,lang,description,price_from,price_to,unparsed
n439818053,Československé motocykle - autor neuvedený,0,0,2016,12,Infoa,dětské,slovenské</p>,,Nazrite s nami do dávnej i nedávnej histórie československých motocyklov. Výber najznámejších motoriek zostrojených na našom území zaujme zvedavé deti a zároveň prebudí...,49,108,"['Infoa, dětské', '', 'slovenské']"
n347337685,Môj atlas sveta,0,0,2016,24,Infoa,dětské,slovenské</p>,,"MÔJ ATLAS SVETA obsahuje ilustrované mapy, krásne kresby, vzrušujúce fotografie a zaujímavé informácie, vďaka ktorým objavíte kus úchvatného a očarujúceho sveta. Množstvo...",140,216,"['Infoa, dětské', '', 'slovenské']"
n456205099,Nájdi moju rodinu,0,0,2016,16,Infoa,dětské,slovenské</p>,,"Farebné leporelo s náučným obsahom. Deti sa zabavia hľadaním dvojíc obrázkov, ktoré k sebe patria. Pomôžu im pri tom jednoduché symboly na zadnej strane kartičiek.

Rok vydání:...",117,162,"['Infoa, dětské', '', 'slovenské']"
n439818055,Československé osobné autá - autor neuvedený,0,0,2016,12,Infoa,dětské,slovenské</p>,,Nazrite s nami do dávnej i nedávnej histórie československých osobných automobilov. Výber najznámejších automobilov zostrojených na našom území zaujme zvedavé deti a zároveň...,57,108,"['Infoa, dětské', '', 'slovenské']"
n456205095,Nájdi môj domček,0,0,2016,16,Infoa,dětské,slovenské</p>,,"Farebné leporelo s náučným obsahom. Deti sa zabavia hľadaním dvojíc obrázkov, ktoré k sebe patria. Pomôžu im pri tom jednoduché symboly na zadnej strane kartičiek.

Rok vydání:...",74,162,"['Infoa, dětské', '', 'slovenské']"
n456205097,Nájdi moju mamu,0,0,2016,16,Infoa,dětské,slovenské</p>,,"Farebné leporelo s náučným obsahom. Deti sa zabavia hľadaním dvojíc obrázkov, ktoré k sebe patria. Pomôžu im pri tom jednoduché symboly na zadnej strane kartičiek.

Rok vydání:...",108,162,"['Infoa, dětské', '', 'slovenské']"
n439818054,Československé nákladné autá - autor neuvedený,0,0,2016,12,Infoa,dětské,slovenské</p>,,Nazrite s nami do dávnej i nedávnej histórie československých nákladných automobilov. Výber najznámejších vozidiel zostrojených na našom území zaujme zvedavé deti a zároveň...,79,108,"['Infoa, dětské', '', 'slovenské']"
n439818056,Československé traktory - autor neuvedený,0,0,2016,12,Infoa,dětské,slovenské</p>,,Nazrite s nami do dávnej i nedávnej histórie československých traktorov. Výber najznámejších traktorov zostrojených na našom území zaujme zvedavé deti a zároveň prebudí...,79,108,"['Infoa, dětské', '', 'slovenské']"
n673196829,Zvieratká z divočiny,0,0,2016,32,Infoa,dětské,slovenské</p>,,"Vieš prečo sú zebry pruhované, kde žije rybka klaun alebo prečo je lev kráľom savany? Odpoveď ti dajú zvieratká, pre ktoré sa stala divočina domovom.

 31 zábavných aktivít o...",108,162,"['Infoa, dětské', '', 'slovenské']"
n673196831,Zvieratká okolo nás,0,0,2016,32,Infoa,dětské,slovenské</p>,,"Vieš, čo sú hlodavce? Ako sa vyliahne motýľ? Alebo ako sa bráni had, keď sa cíti ohrozený? Odpoveď ti dajú zvieratká, ktoré dobre poznáš.

 31 zábavných aktivít, vďaka ktorým...",108,162,"['Infoa, dětské', '', 'slovenské']"
n400247378,Môj atlas Európy,0,0,2016,24,Infoa,dětské,slovenské</p>,,"MÔJ ATLAS EURÓPY obsahuje ilustrované mapy, krásne kresby, vzrušujúce fotografie a zaujímavé informácie, vďaka ktorým objavíte kus úchvatného a očarujúceho sveta. Množstvo...",140,216,"['Infoa, dětské', '', 'slovenské']"
n460974840,Zvieratká v 4 ročných obdobiach,0,0,2016,40,Infoa,dětské,slovenské</p>,,"Nahliadnite do sveta známych zvieratiek a spoznajte, ako sa ich život mení počas štyroch ročných období. Dozviete sa, kde si stavajú svoje hniezda a brlôžteky, kedy a ako sa...",184,243,"['Infoa, dětské', '', 'slovenské']"
n432675517,Svet zvierat,0,0,2016,14,Infoa,dětské,slovenské</p>,,"Táto veľká farebná kniha vás zoznámi so zvieratami celého sveta. Pozrieme sa, kto žije v lese, v pralese, na savane, na púšti a v polárnych oblastiach. Samozrejme, navštívime...",104,216,"['Infoa, dětské', '', 'slovenské']"
n432675515,Svet techniky,0,0,2016,14,Infoa,dětské,slovenské</p>,,"Táto veľká farebná kniha vás zoznámi so svetom techniky. Pozrieme sa na stroje, ktoré sa pohybujú po zemi, po koľajniciach, na vode, pod vodou alebo vo vzduchu. Čaká na vás...",140,216,"['Infoa, dětské', '', 'slovenské']"
