db_id,name,rating,reviews_cnt,year,pages_cnt,publisher,genre,author,lang,description,price_from,price_to,unparsed
n432206545,Prvý detský obrázkový slovník,0,0,2016,20,Matys,dětské,slovenské</p>,,"Jazyk: slovenský
Počet stran: 20
Rok vydání: 2016
Vazba / Podoba: Prostorové pohádky, leporela
Sortiment: 
Nakladatelství: Vydavateľstvo MATYS s.r.o.",108,179,"['Matys, dětské', '', 'slovenské']"
n373133171,Riekanky o zvieratkách,0,0,2016,12,Egmont,dětské,slovenské</p>,,"Jazyk: slovenský
Počet stran: 12
Rok vydání: 2016
Vazba / Podoba: Prostorové pohádky, leporela
Sortiment: 
Nakladatelství: EGMONT s.r.o.",62,90,"['Egmont, dětské', '', 'slovenské']"
n385236414,"Mimi a Líza. Hry, hádanky, úlohy [SK]",0,0,2016,32,Slovart,dětské,Fool moon,,"Mimi a Lízu netreba predstavovať. Ich príbehy poznáte z večerníčkov aj z kníh. Preneste sa s dievčatami do rôznych svetov a spolu s nimi hádajte, lúštite, vyfarbujte, ale najmä...",129,130,"['Slovart, Fool moon, dětské', '', 'slovenské']"
n673172780,Budeme si čítať,0,0,2016,48,Matys,dětské,Daniela Reichstädterová</p>,,"V našej knižke ponúkame všeličo zaujímavé na čítanie pre prváčikov, malých objaviteľov vo svete slov a viet. Milý prváčik, na každej stránke sa dozvieš čosi nové, nezvyčajné či...",71,118,"['Matys, dětské', '', 'slovenské, Daniela Reichstädterová']"
n459946530,Zootropolis,0,0,2016,64,Egmont,dětské,slovenské</p>,,"Vitajte v Zootropole! Je to mesto ako žiadne iné. Kde inde by ste našli také honosné Saharské námestie alebo chladnú štvrť Tundricu? Žijú tu pohromade rôzne zvieratá, od...",200,258,"['Egmont, dětské', '', 'slovenské']"
n344792052,Čítajme si spolu,0,0,2016,48,Matys,dětské,Ivana Černáková</p>,,"Chceš sa stretnúť a potešiť s milou kamarátkou? Potom otvor túto knižku a čítaj! Ak s čítaním práve začínaš, táto kamarátka ti s tým rada pomôže. Priláka ťa svojími veselými...",73,118,"['Matys, dětské', '', 'slovenské, Ivana Černáková']"
n356326607,Star Wars Útek pred Darthom Vaderom,0,0,2016,32,Fragment,dětské,slovenské</p>,,"Prečítaj si príbeh o tom, ako sa princeznej a droidom podarilo ukryť tajné plány. Zdokonaľovať sa v čítaní vo svete STAR WARS bude zábava! Príbehy hrdinov, ktoré poznajú a...",157,158,"['Fragment, dětské', '', 'slovenské']"
n344792054,Bola raz jedna škola a iné školoviny,0,0,2016,48,Matys,dětské,Ľubica Kepštová</p>,,"Viete o tom, že chodiť do školy môže byť nielen zaujímavé, ale aj zábavné? Že spoznávať písmenká, číslice a nových kamarátov môže byť príjemným dobrodružstvom? Pomôžu vám...",77,118,"['Matys, dětské', '', 'slovenské, Ľubica Kepštová']"
n372341365,O troch medveďoch a iné rozprávky,0,0,2016,52,Matys,dětské,slovenské</p>,,"Najznámejšie rozprávky v skrátenej forme s prekrásnymi ilustráciami, ktoré sprevádzajú text. Sú vytlačené väčším písmom a doplnené akčnými farebnými ilustráciami, aby ich s...",77,150,"['Matys, dětské', '', 'slovenské']"
n447905073,Tri prasiatka,0,0,2016,16,Matys,dětské,Sibyla Mislovičová</p>,,"Táto knižočka s krásnymi ilustráciami deti poteší aj zabaví. Dáva im možnosť nielen prečítať si rozprávku, ale aj dotvoriť obrázky nálepkami, vyfarbiť maľovanky a precvičiť si...",70,95,"['Matys, dětské', '', 'slovenské, Sibyla Mislovičová']"
