db_id,name,rating,reviews_cnt,year,pages_cnt,publisher,genre,author,lang,description,price_from,price_to,unparsed
n358146328,Veselý statek - 18 různých zvuků,93,14,2016,8,Svojtka&amp;Co.,dětské,české</p>,,"Štěpáne, vstávej! Pes venku štěká. A fůra práce na tebe čeká... Honem, je čas navštívit statek strýčka Štěpána a lépe poznat jeho zvířátka. Díky celostránkovým barevným...",211,445,"['Svojtka&Co., dětské', '', 'české']"
n358146327,MiniPEDIE - Objevujeme svět! Domácí mazlíčci,95,8,2016,10,Svojtka&amp;Co.,dětské,české</p>,,Objevovat svět zvířátek a domácích mazlíčků je s tímto leporelem tak zábavné! Kdo si hraje s klubíčkem vlny? Kdo žije v tomto akváriu? Kdo si hraje v psí boudě? Kdo běhá v...,140,219,"['Svojtka&Co., dětské', '', 'české']"
n368483486,Jak jsem velká? Bublinky,89,7,2016,16,Svojtka&amp;Co.,dětské,české</p>,,Sešit plný jednoduchých aktivit a barevných samolepících bublinek pro nejměnší děti. Úkolem dětí je lepit barevné bublinky na určená místa. Pomocí toho se naučí základní barvy...,36,64,"['Svojtka&Co., dětské', '', 'české']"
n358146329,MiniPEDIE - Objevujeme svět! Louka,92,11,2016,10,Svojtka&amp;Co.,dětské,české</p>,,"Objevovat, co všechno lze vidět na louce, je s tímto leporelem tak zábavné! Kdo žije v úlu? Kdo tká pavučinu? Kdo má rád lískové oříšky? Kdo má bodliny? Stačí jen vložit prstík...",140,219,"['Svojtka&Co., dětské', '', 'české']"
n368483484,Hledej barvy! Bublinky,91,8,2016,16,Svojtka&amp;Co.,dětské,české</p>,,Sešit aktivit plný obrázků a různobarevných samolepících bublinek. Úkolem dětí je nalepit správně barevné bublinky na určená místa. Díky tomu se jednoduše naučí jednotlivé...,38,59,"['Svojtka&Co., dětské', '', 'české']"
n385963431,Jak to žije v zoo,96,6,2016,8,Svojtka&amp;Co.,dětské,české</p>,,"Leporelo je určeno pro děti od jednoho roku. Má pevné stránky s posuvnými a otočnými prvky. Zjisti, jak to žije v zoo, a procvič si svou jemnou motoriku!

Rok vydání: 2016...",98,159,"['Svojtka&Co., dětské', '', 'české']"
n358146340,Objevujeme svět! Mláďátka,99,10,2016,10,Svojtka&amp;Co.,dětské,české</p>,,Objevovat svět zvířátek a jejich mláďátek je s tímto leporelem tak zábavné! Kdo si hraje u maminky kočky? Kdo se vylíhne z vajíček maminky slepice? Kdo se skrývá v teple...,140,219,"['Svojtka&Co., dětské', '', 'české']"
n432236613,Tvary Malý zajíček,95,4,2016,14,Svojtka&amp;Co.,dětské,české</p>,,"V této knížce najdou naši nejmenší malého zajíčka a plno jednoduchých aktivit, které jim pomohou naučit se jednoduše a bez námahy rozeznávat základní tvary.

Podtitul: 2+
Rok...",37,64,"['Svojtka&Co., dětské', '', 'české']"
n396961980,Červená karkulka - Nakoukni do pohádky,99,8,2016,14,Svojtka&amp;Co.,dětské,české</p>,,"V této půvabně ilustrované knížce najdete klasickou a dětmi oblíbenou pohádku o Červené karkulce. Vyprávění o děvčátku, které se vydalo cestou necestou lesem za babičkou, vám...",174,279,"['Svojtka&Co., dětské', '', 'české']"
n424220394,Barvy Malý zajíček,100,2,2016,16,Svojtka&amp;Co.,dětské,české</p>,,"V této knížce najdou naši nejmenší malého zajíčka a plno jednoduchých aktivit, které jim pomohou naučit se jednoduše a bez námahy rozeznávat základní barvy.

Podtitul: 2+
Rok...",37,64,"['Svojtka&Co., dětské', '', 'české']"
