db_id,name,rating,reviews_cnt,year,pages_cnt,publisher,genre,author,lang,description,price_from,price_to,unparsed
n415151911,Jak se domluvit s tygrem - Kamila Kopsová,82,4,2016,64,Albatros Media a. s.,naučná,české</p>,,"Jak se domluvit s tygrem aneb učíme se tygrijsky, Kamila Kopsová, Petr Kops. EDIKA

Komunikujeme s dětmi doma i ve škole.

Potřeba komunikovat je přirozenou potřebou všech...",148,229,"['Albatros Media a. s., naučná', '', 'české']"
n400660322,"Kočky předly, kocouři jedli, koťata motala (Eva Mrázková)",0,0,2016,88,Albatros Media a. s.,naučná,české</p>,,"Shoda přísudku s podmětem srozumitelně a přehledně!
Cílem zábavné cvičebnice Kočky předly, kocouři jedli, kot‘ata motala je doplnit další důležitý kamínek nezbytný pro správné...",35,180,"['Albatros Media a. s., naučná', '', 'české']"
n387716573,Jak pes Logopes připravoval děti na psaní - Ivana Novotná,0,0,2016,48,Albatros Media a. s.,naučná,české</p>,,"Kniha, kterou držíte v rukou, nabízí zejména předškolním dětem rozmanitá grafomotorická cvičení, která jsou velmi důležitou přípravou pro psaní ve škole. Ilustrace v ní jsou...",101,169,"['Albatros Media a. s., naučná', '', 'české']"
n436151481,Obrazy z Nového zákona - Renáta Fučíková,100,1,2016,112,Albatros,naučná,české</p>,,"Bohatě ilustrované Obrazy z Nového zákona vypráví o životě a učení Ježíše Krista.
Obrazy z Nového zákona navazují na knihu Obrazy ze Starého zákona. Bohatě ilustrovaná...",208,299,"['Albatros, naučná', '', 'české']"
n349626464,Dům pro myšku Elišku - Vojtěch Otčenášek,0,0,2016,112,Albatros Media a. s.,naučná,české</p>,,"Projdi se mnou nejznámější stavby. Vybere si Eliška bydlení v některé světové stavbě? Eliška není obyčejná myš. Zázračná rostlina, kterou se živí, umí prodloužit život. Na...",137,249,"['Albatros Media a. s., naučná', '', 'české']"
n370136013,Logopedická cvičení - Novotná Ivana,100,2,2016,64,Albatros Media a. s.,naučná,české</p>,,"Logopedická cvičení kniha od autora Ivana Novotná. Koncem předškolního období má být dítě schopno se souvisle, správně a srozumitelně vyjadřovat a dorozumívat s dětmi i...",128,169,"['Albatros Media a. s., naučná', '', 'české']"
n400326903,"Tygří kniha - Kamila Kopsová, Petr Kops",0,0,2016,64,Albatros Media a. s.,naučná,české</p>,,"Vyjádřete jedinečnost a kreativnost vaší třídy!
Pokud jste již četli knížku Tygr dělá uáá uáá, pak jistě jste již začali poznávat svého tygra. A pokud ne, je právě teď ta...",117,169,"['Albatros Media a. s., naučná', '', 'české']"
n341989779,"Deník kapitána Cooka - Kniha + CD audio, MP3",0,0,2016,168,Albatros Media a. s.,naučná,české</p>,,"Učte se anglicky čtením exotických příběhů Jamese Cooka!
Tahiti je krásný, slunný ostrov bezstarostných lidí. Dnes přitažlivý pro exotickou dovolenou, před téměř čtvrt...",187,269,"['Albatros Media a. s., naučná', '', 'české']"
n339235887,Mladý technik 3 - Radek Chajda,0,0,2016,112,Albatros Media a. s.,naučná,české</p>,,"Kniha Mladý technik 3 je dalším pokračováním úspěšné řady seznamující zájemce všech věkových kategorií s fakty, novinkami a zajímavostmi ze světa techniky. Tentokrát jsme se...",140,199,"['Albatros Media a. s., naučná', '', 'české']"
n341989782,"Romantické novely - Kniha + CD audio, MP3",0,0,2016,144,Albatros Media a. s.,naučná,české</p>,,"Příběh, ve kterém sen o lásce a kráse vítězí nad světem zloby a nenávisti, upravený pro výuku!
Ve svých knihách ruský spisovatel Alexandr Grin vytvořil svět veselých a...",173,249,"['Albatros Media a. s., naučná', '', 'české']"
n430055594,Poznej své smysly - Radek Chajda,70,1,2016,104,Albatros Media a. s.,naučná,české</p>,,"V knize Poznej své smysly se seznámíte s funkcí a stavbou vašich pěti smyslů – zraku, hmatu, sluchu, čichu a chuti. A nejen svých, protože vás čeká také vzrušující exkurze do...",117,169,"['Albatros Media a. s., naučná', '', 'české']"
n347386562,"O ŠKOLE - Ivana Novotná, Quis Josef",0,0,2016,64,Albatros Media a. s.,naučná,české</p>,,"V září tě čeká velké dobrodružství a my si teď o něm popovídáme.
Tato kniha je určena všem dětem, které se připravují ke vstupu do školy, jejich rodičům a pedagogům v...",103,149,"['Albatros Media a. s., naučná', '', 'české']"
n366211418,Kytice - The bouquet - Alena Kuzmová [dvojjazyčné knihy],0,0,2016,88,Albatros Media a. s.,naučná,české</p>,,"Titul The bouquet (Kytice) vznikl prozaickým ztvárněním několika vybraných Erbenových básní a překladem do anglického jazyka. Ocení ho všichni studenti, kteří čtou rádi...",204,299,"['Albatros Media a. s., naučná', '', 'české']"
n366211389,"Legendy zapomenutého mlýna - Wladimir Abramuszkin [Kniha + CD audio, MP3]",0,0,2016,80,Albatros Media a. s.,naučná,české</p>,,"Publikace je sbírkou veselých, ironických, někdy smutných, avšak bezesporu poučných příběhů o lásce a lhostejnosti, lstivosti a milosrdenství, hlouposti a vynalézavosti. Jako...",174,229,"['Albatros Media a. s., naučná', '', 'české']"
