db_id,name,rating,reviews_cnt,year,pages_cnt,publisher,genre,author,lang,description,price_from,price_to,unparsed
n354974277,"Jan Lukas. People / Lidé 1930-1995 - Helena Lukas, Nadia Rovderová - KANT",0,0,2016,108,Kant,naučná,české</p>,,"Jan Lukas kniha od autora Nadia Rovderová. Fotografická kniha Jan Lukas: Lidé 1930–1995 představuje 108 unikátních černobílých záběrů z let, kdy se tvořily novodobé dějiny, a...",261,350,"['Kant, naučná', '', 'české']"
n380846107,"Zdenek Rykr a továrna na čokoládu - Zdeněk Rykr, Vojtěch Lahoda",80,1,2016,168,Kant,naučná,české</p>,,"Zdenek Rykr je dnes řazen k nejoriginálnějším umělcům první poloviny 20. století v Čechách. Velká škála Rykrovy kreativity ukazuje na neuvěřitelnou tvůrčí energii umělce, který...",409,580,"['Kant, naučná', '', 'české']"
n354477923,"Jaroslav Beneš. fotografie / photographs - Jaroslav Beneš, Josef Chuchma - KANT",0,0,2016,120,Kant,naučná,české</p>,,"Tvorba Jaroslava Beneše náleží k té linii české umělecké fotografie, v níž se završuje analogová éra, zakladatelská fáze technicky vzniklých obrazů, a reprezentuje tak pozdní,...",225,405,"['Kant, naučná', '', 'české']"
n380767055,"Rittstein / Šlapetová / Rittstein. S astronautickou lehkostí motýla zpátky do kamene - Michael Rittstein, Barbora Šlapetová, Lukáš Rittstein",0,0,2016,72,Kant,naučná,české</p>,,"Katalog vychází k výstavě S astronautickou lehkostí motýla zpátky
do kamene, která proběhla na jaře roku 2016 v Galerii Miroslava
Kubíka. Precizní publikace soustřeďuje ukázky...",197,252,"['Kant, naučná', '', 'české']"
n373214911,HICE MMXV Kniha,0,0,2016,136,Kant,naučná,české</p>,,HICE MMXV - Ivan NeumannPublikace nazvaná HICE MMXV je shrnutím již 22. Ročníku Mikulovského výtvarného sympozia dílna. Autor textu Ivan Neumann v ní formou rozhovorů s...,112,144,"['Kant, naučná', '', 'české']"
n391896257,Jiří Balcar. Filmové plakáty malbou a koláží / Film Posters with Brush and Scissors 1959 - 1967 - Zdenek Primus,100,1,2016,111,Kant,naučná,české</p>,,Jiří Balcar (1929-1968) bezpochyby patří k nejznámějším českým umělcům padesátých a šedesátých let. Ve své rozsáhlé malířské a grafické tvorbě jako jeden z mála kriticky...,267,361,"['Kant, naučná', '', 'české']"
n395021970,Jan Kubíček. Cesta do budoucnosti - Jiří Machalický,0,0,2016,88,Kant,naučná,české</p>,,Katalog Jana Kubíčka Cesta do budoucnosti vychází u příležitosti výstavy Jana Kubíčka v Galerii Miroslava Kubíka v Litomyšli.,197,280,"['Kant, naučná', '', 'české']"
n378754231,Igor Malijevský. Znamení Lvova - Znaky Lvova - The Signs of Lvov - Igor Malijevský,0,0,2016,96,Kant,naučná,české</p>,,"Originální autorská publikace nazvaná Znamení Lvova přináší nevšední propojení fotografií a psaného slova. Básník, prozaik a umělecký fotograf Igor Malijevský vykresluje...",255,450,"['Kant, naučná', '', 'české']"
n413056601,Erika Bornová,0,0,2016,160,Kant,naučná,české</p>,,"Výpravná publikace představuje dílo jedné z nejosobitějších současných umělkyň. Sochařka a malířka Erika Bornová vychází ve své tvorbě z autobiografických námětů, avšak nechává...",479,751,"['Kant, naučná', '', 'české']"
n472090815,Sympozium Litomyšl 5 - Richard Adam,0,0,2016,64,Kant,naučná,české</p>,,Sympozium Litomyšl 5 kniha od autora Marcello Farabegoli. Katalog rekapituluje letošní litomyšlské Sympozium a výstavu v tamní renomované Galerii Miroslava Kubíka.,86,108,"['Kant, naučná', '', 'české']"
n363530121,"Příhoda 25. Volná tvorba - Jiří Příhoda, Magdalena Juříková, Terezie Nekvindová, Karel Císař - KANT",0,0,2016,160,Kant,naučná,české</p>,,"Jiří Příhoda(*1966) studoval v letech 1990-1996 na AVU v Praze, kde působil později také jako vedoucí pedagog ateliéru Itermedia II(2005 - 2015). Pracuje střídavě v Čechách a v...",636,850,"['Kant, naučná', '', 'české']"
n424222264,"Kaladý, aneb: útočiště řeči - Milada Součková",0,0,2016,24,Kant,naučná,české</p>,,"Reprint původního vydání z podzimu 1938 v počtu 50 výtisků vychází z exempláře č. 24, podepsaného autorkou v roce 1957. Bibliofilský tisk doplněný ilustracemi Zdenka Rykra.",783,783,"['Kant, naučná', '', 'české']"
