db_id,name,rating,reviews_cnt,year,pages_cnt,publisher,genre,author,lang,description,price_from,price_to,unparsed
n584504204,Brněnské legendy - Martina Trchová,0,0,2017,112,Akropolis,beletrie,české</p>,,Brněnské legendy jsou určené studentům češtiny jako cizího jazyka. Tuto publikaci mohou využívat studující na úrovni A2. V deseti legendách se seznámí se slavnými příběhy města...,144,225,"['Akropolis, beletrie', '', 'české']"
n557678153,"Paci, paci, pacičky - Bauman Václav",0,0,2017,160,Akropolis,beletrie,české</p>,,"Autor : Václav Bauman, Popis : 
 Paci, paci, pacičky = báječně vyprávěná léta pod psa. Více či méně autobiografických próz, které se více či méně satiricky či nostalgicky...",119,249,"['Akropolis, beletrie', '', 'české']"
n469623995,Už se neshledáme v tomto životě - Jindra Tichá,0,0,2017,168,Akropolis,beletrie,české</p>,,"Už se neshledáme v tomto životě se odehrává v průběhu dvou měsíců, které následovaly po 17. listopadu 1989. Tak dlouhá totiž byla návštěva hlavní hrdinky Hany, která po...",124,189,"['Akropolis, beletrie', '', 'české']"
n475586671,Blízká setkání - Jarda Cervenka,0,0,2017,148,Akropolis,beletrie,české</p>,,"Výbor z povídkové tvorby známého amerického autora českého původu zavádí čtenáře do nejrůznějších koutů naší zeměkoule - od amerických velehor přes peruánskou Amazonii, džungli...",120,188,"['Akropolis, beletrie', '', 'české']"
n584504203,"Kamenná, divná věc... - Tereza Verecká",0,0,2017,144,Akropolis,beletrie,české</p>,,"Publikace přináší dva významné dramatické texty autorky nové generace Terezy Verecké. Spojuje je nejen podřadná manuální práce obou hlavních hrdinů, ale především důraz na...",131,199,"['Akropolis, beletrie', '', 'české']"
n486235498,Nový věk - Nepovídka - Egon Bondy,0,0,2017,152,Akropolis,beletrie,české</p>,,"Dvojice Bondyho původně samostatných prací, které však byly napsány v časové následnosti, v letech 1982 a 1983, vyšly samostatně několikrát v samizdatu a obě pak ještě v 80....",131,199,"['Akropolis, beletrie', '', 'české']"
n550812524,Veslovat proti proudu,0,0,2017,152,Akropolis,beletrie,české</p>,,"Kniha hlubokomyslných filozofických úvah osloví čtenáře, kteří se chtějí zamyslet nad současným světem a zároveň se ponořit do svého nitra. Všichni občas toužíme vyniknout,...",146,220,"['Akropolis, beletrie', '', 'české']"
n486235499,Nebožtík - Ondřej Horák,0,0,2017,136,Akropolis,beletrie,české</p>,,"Ze země fjordů, kde jsou děti odebírány rodičům podivným úřadem a kde ve vězení dlí masový vrah Breivik, přes Osvětim až do Budapešti – do města, kde za druhé světové války...",131,179,"['Akropolis, beletrie', '', 'české']"
n546558804,Hodiny francouzštiny - Rasputin Valentin Grigorjevič,0,0,2017,64,Akropolis,beletrie,české</p>,,"Mince, zaměřovaná, čára – znáte tyto dětské hry? A co se stane, když se z nevinného hráčského zápalu stane jediný způsob, jak přežít v cizím měste?

 Hodiny francouzštiny...",119,179,"['Akropolis, beletrie', '', 'české']"
n486212592,Nebožtík - Horák Ondřej,0,0,2017,136,Akropolis,beletrie,české</p>,,"Nebožtík kniha od autora Horák Ondřej. Ze země fjordů, kde jsou děti odebírány rodičům podivným úřadem a kde ve vězení dlí masový vrah Breivik, přes Osvětim až do Budapešti –...",141,199,"['Akropolis, beletrie', '', 'české']"
