db_id,name,rating,reviews_cnt,year,pages_cnt,publisher,genre,author,lang,description,price_from,price_to,unparsed
n496324459,BIBLE PRO BATOLATA - LEPORELO,0,0,2017,46,Karmelitánské nakladatelství,naučná,české</p>,,"Bible pro batolata obsahuje přes dvacet nejznámějších biblických příběhů ze Starého i Nového zákona. Jednoduché texty jsou doprovázeny bohatými ilustracemi.

Podtitul: Starý a...",168,259,"['Karmelitánské nakladatelství, naučná', '', 'české']"
n476928941,"Otče náš – Ferrero, Bruno",100,1,2017,32,Karmelitánské nakladatelství,naučná,české</p>,,"Knížka nabízí text modlitby Otče náš a několik krátkých příběhů se zamyšlením, které dětem pomohou této modlitbě lépe porozumět.

Podtitul: Modlitba, kterou nám daroval Ježíš...",117,169,"['Karmelitánské nakladatelství, naučná', '', 'české']"
n575092446,"Děti píší Bohu - Marshall Eric, Hample Stuart,",0,0,2017,104,Karmelitánské nakladatelství,naučná,české</p>,,"Dětská přímočarost je zábavná, ale i objevná. Pro nás dospělé má v sobě navíc něco nesmírně osvěžujícího a ozdravného. Probouzí v nás to lepší já, které se dívá na svět kolem...",96,149,"['Karmelitánské nakladatelství, naučná', '', 'české']"
n566647006,Svatý Mikuláš,100,1,2017,32,Karmelitánské nakladatelství,naučná,české</p>,,"Autor : Anselm Grün, Guiliano Ferrini, Popis : 
 Mikuláš je velký světec, jehož jméno zná každé dítě. Po staletí si jej připomínají křesťané od východu až na západ, i v naší...",158,229,"['Karmelitánské nakladatelství, naučná', '', 'české']"
n481813762,Dobrou noc s Biblí,0,0,2017,94,Karmelitánské nakladatelství,naučná,české</p>,,"Je to krásná chvíle, když večer děti ulehnou do postýlek a rodiče či prarodiče jim začnou číst. Bibli na dobrou noc si mohou číst a prohlížet spolu, možná se stane pravidelnou...",185,269,"['Karmelitánské nakladatelství, naučná', '', 'české']"
n544053839,Malá cesta Terezie z Lisieux 2. vydání - de Meester Conrad,0,0,2017,160,Karmelitánské nakladatelství,naučná,české</p>,,"Terezie prožila svůj dospělý život na několika metrech čtverečních, a přece se stala patronkou misií po celém světě. Její zrání k průzračné prostotě a důvěře nebylo jednoduché,...",142,219,"['Karmelitánské nakladatelství, naučná', '', 'české']"
n490721525,Malý král - Ivan Renč,0,0,2017,128,Karmelitánské nakladatelství,naučná,české</p>,,Jsou v mém království dobří a poctiví lidé? Jsou hodní na děti? Starají se o ně pečlivě a mají je rádi nade všechno bohatství? Odpovědi na takové otázky hledá mladičký král při...,200,299,"['Karmelitánské nakladatelství, naučná', '', 'české']"
n549504491,Moje milovaná Sýrie! - Laham Řehoř III.,0,0,2017,80,Karmelitánské nakladatelství,naučná,české</p>,,"Rozhovor nám umožňuje nahlédnout do obav i nadějí melchitského patriarchy, který miluje svou vlast a zná její historii i současnou problematiku jako málokdo. Řehoř III. Laham...",106,149,"['Karmelitánské nakladatelství, naučná', '', 'české']"
n476737477,Pravá sebeúcta,100,1,2017,166,Karmelitánské nakladatelství,naučná,české</p>,,"Autor zastává dnes už rozšířený názor, že zdravá sebeúcta má nejen psychologický, ale i duchovní rozměr. Jeho kniha otevírá nové obzory, nabízí povzbuzení z Božího slova i...",162,249,"['Karmelitánské nakladatelství, naučná', '', 'české']"
n574886021,Frenchová Felicity: Vymalovánky o narození Ježíše Kniha,0,0,2017,32,Karmelitánské nakladatelství,naučná,české</p>,,"V klidu se usaďte, popusťte uzdu své fantazii a vybarvěte si půvabné vánoční vymalovánky. Připomenete si tím biblický příběh o narození Ježíše Krista a krásně si odpočinete v...",76,119,"['Karmelitánské nakladatelství, naučná', '', 'české']"
n477020192,Papež František a jeho jezuitské kořeny - Stefan Kiechle,0,0,2017,70,Karmelitánské nakladatelství,naučná,české</p>,,Autor popisuje zakotvení papeže Františka v jezuitském řádu a ignaciánské spiritualitě. Jaký je Františkův duchovní styl? Jaký je jeho „způsob jednání“? Jaké jsou principy jeho...,108,134,"['Karmelitánské nakladatelství, naučná', '', 'české']"
n474788060,Pravá sebeúcta - Jim McManus,100,1,2017,166,Karmelitánské nakladatelství,naučná,české</p>,,"Autor zastává dnes už rozšířený názor, že zdravá sebeúcta má nejen psychologický, ale i duchovní rozměr. Jeho kniha otevírá nové obzory, nabízí povzbuzení z Božího slova i...",224,224,"['Karmelitánské nakladatelství, naučná', '', 'české']"
