db_id,name,rating,reviews_cnt,year,pages_cnt,publisher,genre,author,lang,description,price_from,price_to,unparsed
n581890193,Mouse Who Wasn´t Scared - Petr Horáček,100,1,2018,32,Walker books,dětské,anglické</p>,,"Poněkud bohatší vydání než jsme zvyklí v Čechách. Knihy v UK mají větší rozměr a rozhodně tak lépe vyniknou ilustrace. Navíc parciální lak dodá luxusnosti a touze po ""důkladném...",212,345,"['Walker books, dětské', '', 'anglické']"
n625036703,Who Is the Biggest?,0,0,2018,16,Walker books,dětské,anglické</p>,,"A colourful lift-the-flap book of opposites to share with your baby. Who is the biggest, who is the tallest and who is the noisiest? Lift the flaps and find out in this...",147,233,"['Walker books, dětské', '', 'anglické']"
n673237868,Who Is Sleeping - Petr Horáček,0,0,2018,16,Walker books,dětské,anglické</p>,,"A colourful lift-the-flap guessing game perfect for sharing at bedtime. Who is sleeping in the river, under the leaf and in the tree? Lift the flaps to find out and discover a...",147,246,"['Walker books, dětské', '', 'anglické']"
n686311180,Captain Rosalie - Timothee de Fombelle,0,0,2018,64,Walker books,dětské,anglické</p>,,"An evocative, beautifully imagined and heart-wrenching wartime story by celebrated author Timothée de Fombelle. In this astonishingly-drawn wartime story, a little girl called...",213,280,"['Walker books, dětské', '', 'anglické']"
n673198979,Ness Patrick - And the Ocean Was Our Sky,0,0,2018,160,Walker books,dětské,anglické</p>,,"From the multi-award-winning author of A Monster Calls comes a haunting tale of power and obsession that turns the story of Moby Dick upside down. 
""Call me Bathsheba."" The...",204,296,"['Walker books, dětské', '', 'anglické']"
n675086197,"Giraffe Problems - John, J.",0,0,2018,32,Walker books,dětské,anglické</p>,,"Penguins aren't the only animal out there with problems, oh no... Praise for Penguin Problems: ""A small philosophy manual for readers of all ages ... wonderfully original""...",283,363,"['Walker books, dětské', '', 'anglické']"
n647866740,When the Moon Smiled - Petr Horacek,0,0,2018,26,Walker books,dětské,anglické</p>,,"A charming farmyard counting book from the award-winning illustrator Petr Horacek, perfect for reading at bedtime. It’s night on the farm, but the animals are topsy-turvy. The...",162,235,"['Walker books, dětské', '', 'anglické']"
n620012794,Town Is by the Sea,0,0,2018,52,Walker books,dětské,anglické</p>,,"While a young boy enjoys a summer's day, his thoughts constantly return to his father, who is digging for coal deep under the sea.
""An atmospheric, haunting story"" - The...",190,284,"['Walker books, dětské', '', 'anglické']"
n664174997,And the Ocean Was Our Sky - Patrick Ness,0,0,2018,160,Walker books,dětské,anglické</p>,,"From the multi-award-winning author of A Monster Calls comes a haunting tale of power and obsession that turns the story of Moby Dick upside down. ""Call me Bathsheba."" The...",258,419,"['Walker books, dětské', '', 'anglické']"
n601616190,Whats Your Favourite Colour?,0,0,2018,40,Walker books,dětské,anglické</p>,,"From Eric Carle, the creator of The Very Hungry Caterpillar, comes a beautiful, bright book all about Colour. Everyone has a favourite colour! Some like the bright blue of a...",190,295,"['Walker books, dětské', '', 'anglické']"
n623001325,A -Z London: Panorama Pops,0,0,2018,12,Walker books,dětské,anglické</p>,,"The ultimate London souvenir, bursting with retro charm and featuring official A-Z map designs. The immediately recognizable London A-Z map is brought to life with bold colours...",163,246,"['Walker books, dětské', '', 'anglické']"
n637621650,Tropical Terry - Jarvis,0,0,2018,32,Walker books,dětské,anglické</p>,,"Terry wants to stand out. But, in Coral Reef City, it\'s sometimes better to blend in... Coral Reef City is home to the most dazzling shoals of tropical fish in ALL the ocean....",168,224,"['Walker books, dětské', '', 'anglické']"
n666056517,Maisys House,0,0,2018,16,Walker books,dětské,anglické</p>,,"You’re all invited to Maisy’s house! Join Maisy as she gets up, makes breakfast, paints a picture and has a yummy afternoon tea with Tallulah. This brilliant board book from...",190,257,"['Walker books, dětské', '', 'anglické']"
n612036475,Counting with Tiny Cat,0,0,2018,24,Walker books,dětské,anglické</p>,,Let's count with Tiny Cat – the completely adorable feline from Viviane Schwarz's Kate Greenaway shortlisted There Are Cats in This Book and There Are No Cats in this Book....,147,199,"['Walker books, dětské', '', 'anglické']"
n673189979,"The Dam - David Almond, Levi Pinfold ilustrácie",0,0,2018,32,Walker books,dětské,anglické</p>,,"A lyrical, captivating and beautiful picture book by Carnegie Medal-winner David Almond, illustrated by Kate Greenaway Medal-winner Levi Pinfold. When a great dam was built by...",301,443,"['Walker books, dětské', '', 'anglické']"
n605274423,Iron Man,0,0,2018,128,Walker books,dětské,anglické</p>,,"Part modern fairy tale, part science-fiction myth, The Iron Man describes the unexpected arrival in England of a mysterious giant ""metal man"" who wreaks havoc on the...",190,271,"['Walker books, dětské', '', 'anglické']"
n628200327,Stone for Sascha,0,0,2018,48,Walker books,dětské,anglické</p>,,"A beautiful wordless epic from the Caldecott Honor-winning creator of Journey, Quest and Return. This year’s summer holiday will be very different for a young girl and her...",283,384,"['Walker books, dětské', '', 'anglické']"
n649846535,How Does My Home Work?,0,0,2018,32,Walker books,dětské,anglické</p>,,"The third title in a series of process books, this stylishly illustrated book explains how our homes are supplied with electricity, water and gas. A sequel to Lunchbox: The...",168,235,"['Walker books, dětské', '', 'anglické']"
