db_id,name,rating,reviews_cnt,year,pages_cnt,publisher,genre,author,lang,description,price_from,price_to,unparsed
n593042529,Rozprávky o psíkovi a mačičke - Josef Čapek,0,0,2018,120,Ottovo nakladatelstvo,dětské,slovenské</p>,,"Rozprávky o psíkovi a mačičke patria medzi klasické diela detskej literatúry. Kto by nepoznal príbehy o tom, ako psík s mačičkou robili tortu, ako umývali dlážku alebo ako...",108,162,"['Ottovo nakladatelstvo, dětské', '', 'slovenské']"
n643490954,Veselí prváci - Jozef Pavlovič,0,0,2018,56,Ottovo nakladatelstvo,dětské,slovenské</p>,,"Jazyk: slovenský
Počet stran: 56
Rok vydání: 2018
Vazba / Podoba: Pevná bez přebalu lesklá
Sortiment: 
Nakladatelství: Ottovo nakladatelstvo, s.r.o.",78,147,"['Ottovo nakladatelstvo, dětské', '', 'slovenské']"
n673237394,Zemepis hrou,0,0,2018,160,Ottovo nakladatelstvo,dětské,slovenské</p>,,Kniha Zemepis hrou predstavuje mladým vedcom zemepis zábavnou formou. Zaujímavé a poučné pokusy a pracovné aktivity pomôžu čitateľom pochopiť svet prírody. Jednoduchý text ich...,131,270,"['Ottovo nakladatelstvo, dětské', '', 'slovenské']"
n673236727,"Myší bál - Josef Kožíšek, Vlasta Švejdová",0,0,2018,16,Ottovo nakladatelstvo,dětské,slovenské</p>,,Jednoduchá riekanka o bále myšiek pobaví a zaujme nejedného malého čitateľa. Praktická forma leporela je vhodná aj pre najmenšie deti. Príbeh svojimi krásnymi ilustráciami...,60,81,"['Ottovo nakladatelstvo, dětské', '', 'slovenské']"
n674078567,Deň na stavbe,0,0,2018,24,Ottovo nakladatelstvo,dětské,slovenské</p>,,"Vítame ťa na stavbe!

 Pripravili sme pre teba veľmi zaujímavý výlet. 

 Dieťa sa zábavnou, interaktívnou formou oboznámi s rozmanitými činnosťami na stavbe. Stranu za stranou...",118,162,"['Ottovo nakladatelstvo, dětské', '', 'slovenské']"
n673236723,"Rozprávka lesa - Josef Kožíšek, Antonín Šplíchal",0,0,2018,64,Ottovo nakladatelstvo,dětské,slovenské</p>,,"Nebojte sa, nadýchnite sa, ide sa na prechádzku do čarovného lesa. S knihou Rozprávka lesa, plnou nestarnúcich pôvabných príbehov a básničiek Josefa Kožíška, sa razom budete...",92,135,"['Ottovo nakladatelstvo, dětské', '', 'slovenské']"
n673236725,"Polámal sa mravček - Josef Kožíšek, Vlasta Švejdová",0,0,2018,16,Ottovo nakladatelstvo,dětské,slovenské</p>,,"Na niektoré choroby nepomôžu nijaké lieky. Aj nášmu mravčekovi pomohol predovšetkým láskavý prístup, opatera a starostlivosť jeho kamarátov. Leporelo s príbehom chorého...",60,81,"['Ottovo nakladatelstvo, dětské', '', 'slovenské']"
n685730170,Zvieratá na statku,0,0,2018,24,Ottovo nakladatelstvo,dětské,slovenské</p>,,"Vitaj na statku U Zeleného hrášku!

 Pripravili sme pre teba pútavú, ale aj poučnú návštevu. 

 Dieťa sa zábavnou, interaktívnou formou oboznámi so životom na statku. Stranu za...",119,162,"['Ottovo nakladatelstvo, dětské', '', 'slovenské']"
n680671710,Veľká kniha riekaniek,0,0,2018,112,Ottovo nakladatelstvo,dětské,slovenské</p>,,"Jazyk: slovenský
Počet stran: 112
Rok vydání: 2018
Vazba / Podoba: Pevná bez přebalu lesklá
Sortiment: 
Nakladatelství: Ottovo nakladatelstvo, s.r.o.",174,270,"['Ottovo nakladatelstvo, dětské', '', 'slovenské']"
n625604315,Edo a Ferdo,0,0,2018,104,Ottovo nakladatelstvo,dětské,slovenské</p>,,"Psí kamaráti Edo a Ferdo sa stretli, keď Edo konečne ušiel svojmu zlému pánovi. Zažívajú spolu mnoho dobrodružstiev, a to nielen vo dvojici. Neodmysliteľným spoločníkom psíka...",182,324,"['Ottovo nakladatelstvo, dětské', '', 'slovenské']"
n673232783,Obrazová encyklopédia: Zvieratá - Rupert Matthews,0,0,2018,78,Ottovo nakladatelstvo,dětské,slovenské</p>,,"Jazyk: slovenský
Počet stran: 78
Rok vydání: 2018
Vazba / Podoba: Pevná bez přebalu lesklá
Sortiment: 
Nakladatelství: Ottovo nakladatelstvo, s.r.o.",116,224,"['Ottovo nakladatelstvo, dětské', '', 'slovenské']"
n682497606,Milý Donalde Trumpe,0,0,2018,32,Ottovo nakladatelstvo,dětské,slovenské</p>,,"Sam má problém. Musí sdílet pokoj se svým starším bratrem a to není nic lehkého. Když Sam vidí, jak Donald Trump v televizi mluví o ""zdi"", napadne ho, že to by mohlo přinést...",119,183,"['Ottovo nakladatelstvo, dětské', '', 'slovenské']"
n459267710,Rozprávky o mašinkách,0,0,2018,104,Ottovo nakladatelstvo,dětské,slovenské</p>,,Rozprávky o mašinkách je kniha dvadsiatich rozprávok od autora detských kníh Jozefa Pavloviča. Autor v nich približuje detským čitateľom jednotlivé príbehy mašiniek veselou a...,182,284,"['Ottovo nakladatelstvo, dětské', '', 'slovenské']"
