db_id,name,rating,reviews_cnt,year,pages_cnt,publisher,genre,author,lang,description,price_from,price_to,unparsed
n652967326,Tady jsme doma - Jeffers Oliver,100,3,2018,48,Pikola,dětské,Oliver Jeffers</p>,,"Nádherná autorská knížka, kterou napsal autor během prvních dvou měsíců života svého syna, když „přemýšlel, co by tak měl do začátku vědět….“ – Kniha nenápadně, zato originálně...",197,252,"['Pikola, dětské', '', 'české, Oliver Jeffers']"
n662091136,Malenka - Leysenová An,100,4,2018,56,Pikola,dětské,An Leysen</p>,,"V kouzelné, nádherně ilustrované knížce dává An Leysonová klasické pohádce Hanse Christiana Andersena novou podobu. Byla jednou jedna žena, která si moc přála děťátko. Jednoho...",157,201,"['Pikola, dětské', '', 'české, An Leysen']"
n596281784,Zvířátka v ZOO,88,5,2018,10,Pikola,dětské,české</p>,,"Magnety lze opakovaně používat a situace se tak dají donekonečna libovolně obměňovat. Kratičké texty u obrázků slouží jako nápověda, kam mohou být magnety umístěny. 
Vkládání...",181,232,"['Pikola, dětské', '', 'české']"
n663026957,ZÁHADY - Zapoj mozkové závity a vyřeš 25 záhad historie - Escandell Víctor,95,2,2018,64,Pikola,dětské,Víctor Escandell</p>,,"Vítej v knize záhad! Přijdeš na kloub 25 tajuplným záhadám z oblasti historie? Některé mají logické řešení, u jiných využiješ své představivosti. A hlavně – hledej v zábavných...",276,353,"['Pikola, dětské', '', 'české, Víctor Escandell']"
n673821615,Ema a kouzelná kniha - Braunová Petra,100,1,2018,136,Pikola,dětské,Petra Braunová</p>,,"Ema si nepamatuje, že by někdy žila jinde než s ostatními dětmi bez rodičů v Sirotčinci. Moc mezi ně nezapadá. Dokáže totiž slyšet a vidět věci, které jiné děti nevidí a...",221,282,"['Pikola, dětské', '', 'české, Petra Braunová']"
n663530549,Dobrou s kobrou aneb Třicet šťouchanců před usnutím - Terry Jones,100,1,2018,128,Pikola,dětské,Terry Jones</p>,,V třiceti příbězích před usnutím pošťuchuje známý britský komik Terry Jones říši ovládanou bratry Grimmy či panem Andersenem. Zloduši a ježibaby sice u Jonese konají neméně...,205,262,"['Pikola, dětské', '', 'české, Terry Jones']"
n585621796,Tuhle knihu znič ve jménu vědy: Verze Einstein - Barfield Mike,100,2,2018,56,Pikola,dětské,Mike Barfield</p>,,"Tuhle knihu můžeš opravdu zničit – ale pozor - ve jménu vědy! Čeká tě v ní totiž spousta fascinujících vědeckých pokusů, které se dají hned vyzkoušet. V knize jsou vystřihovací...",126,161,"['Pikola, dětské', '', 'české, Mike Barfield']"
n619876851,Už nechodím na nočník - Genechten Guido Van,30,1,2018,32,Pikola,dětské,Guido van Genechten</p>,,"Pejskovi se strašně moc chce, ale na nočníku sedí jeho sestřička.
Na jejím nočníku totiž sedí myška… Pejsek oběhne všechny nočníky v
domě, ale všude někdo sedí! A Pejskovi už...",142,181,"['Pikola, dětské', '', 'české, Guido van Genechten']"
n666929403,Básničky o zvířátkách - Ďuričová Ivona,100,1,2018,64,Pikola,dětské,Ivona Ďuričová</p>,,"Dvacet sedm zvířátek a dvacet sedm rozpustilých básniček doprovázených krásnými barevnými ilustracemi udělá radost každému dítěti. Seznámí se s liškou, divočákem, datlem,...",157,201,"['Pikola, dětské', '', 'české, Ivona Ďuričová']"
n621269206,Encyklopedie Larousse - dinosauři - Sylvie Bézuelová,0,0,2018,96,Pikola,dětské,Bézuelová Sylvie</p>,,"Encyklopedie seznamuje mladší školáky hravou a zábavnou formou s podivuhodným světem dinosaurů. Tematicky rozčleněné kapitoly se věnují zrodu těchto obrů, éře druhohor, v níž...",300,383,"['Pikola, dětské', '', 'české, Bézuelová Sylvie']"
