db_id,name,rating,reviews_cnt,year,pages_cnt,publisher,genre,author,lang,description,price_from,price_to,unparsed
n704409260,"Loveček Tomáš, Mariš Ladislav, Šiser Anton - Bezpečnostné systémy - Plánovanie a projektovanie systémov ochrany objektov",0,0,2018,0,EDIS,naučná,slovenské</p>,,Vysokoškolská učebnica vychádza z teoreticko-metodologických východísk ochrany osôb a majetku publikovaných vo vedeckej monografii Projektovanie a hodnotenie systémov ochrany...,721,739,"['EDIS, naučná', '', 'slovenské']"
n644144581,Diagnostika a údržba lodných zariadení,0,0,2018,0,EDIS,naučná,slovenské</p>,,"Lode ako dopravné prostriedky majú od iných dopravných prostriedkov niektoré zásadné odlišnosti, ktoré vyplývajú z charakteru prostredia, v ktorom sa pohybujú. Stúpajúce nároky...",413,501,"['EDIS, naučná', '', 'slovenské']"
n673238420,"Stavebná chémia - Miroslav Brodňan, Katarína Šlopková",0,0,2018,136,EDIS,naučná,slovenské</p>,,Vysokoškolská učebnica zo Stavebnej chémie je určená hlavne študentom prvého ročníka denného a externého bakalárskeho štúdia na Stavebnej fakulte Žilinskej univerzity v Žiline....,421,548,"['EDIS, naučná', '', 'slovenské']"
n659903941,Oce ľové mosty 1 - Príklady,0,0,2018,0,EDIS,naučná,slovenské</p>,,"Tieto skriptá sú určené prwedovšetkým študentom inžinierskeho štúdia na Stavebnej fakulte Žilinskej univerzity v Žiline, avšak svojím zameraním aj obsahom majú určite potenciál...",503,516,"['EDIS, naučná', '', 'slovenské']"
n660176245,"Statika stavebných konštrukcií 3, časť 1 - Zjednodušená deformačná metóda - Valašková, Veronika",0,0,2018,0,EDIS,naučná,slovenské</p>,,"Mechanika pri riešení svojich úloh môže uplatniť tzv. duálny princíp.
To znamená, že každú úlohu môže riešiť dvoma diametrálne odlišnými postupmi, silovou alebo deformačnou...",225,231,"['EDIS, naučná', '', 'slovenské']"
n664637783,Faktorov á Dagmar - Pasívne mikrovlnné prvky,0,0,2018,0,EDIS,naučná,slovenské</p>,,"Učebnica Pasívne mikrovlnné prvky rozoberá problematiku základných vlastností mikrovlnných pasívnych prvkov, a to predovšetkým z hľadiska ich špecifických vlastností, ako aj...",401,410,"['EDIS, naučná', '', 'slovenské']"
n669964527,Vybrané kapitoly z dejín staršej slovenskej a svetovej literatúry 1 - Marián Grupač,0,0,2018,0,EDIS,naučná,slovenské</p>,,Vysokoškolská učebnica pod názvom Vybrané kapitoly z dejín staršej slovenskej a svetovej literatúry I je prehľadným sumárom najvýznamnejších a najurčujúcejších historických...,411,421,"['EDIS, naučná', '', 'slovenské']"
n670655740,"Bartošová Viera, Jaroš Jaroslav, Valášková Katarína - Manažment podnikových pasív",0,0,2018,0,EDIS,naučná,slovenské</p>,,"Manažment pasív ako súčasť finančného manažmentu podniku má za úlohu zabezpečovať potrebný kapitál na krytie podnikových potrieb a riadiť finančnú štruktúru podniku tak, aby...",386,395,"['EDIS, naučná', '', 'slovenské']"
n680781043,Manažment bezpečnosti informačného systému,0,0,2018,0,EDIS,naučná,slovenské</p>,,"Autor si dal za cieľ zhrnúť v predloženej publikácii základné znalosti potrebné pre riadenie bezpečnosti. Nie je zameraná len na bezpečnosť informačného systému, ale sú v nej...",751,770,"['EDIS, naučná', '', 'slovenské']"
n681092961,Cena v stavebníctve - Trojanowicz-Kasprzak Maria,0,0,2018,0,EDIS,naučná,slovenské</p>,,Úspešnosť stavebného podnikania a možnosť ďalšieho rozvoja závisí od výšky nákladov a cien ním realizovaných výkonov. Stavebný podnikateľ si tvorí svoju vlastnú cenovú...,170,175,"['EDIS, naučná', '', 'slovenské']"
n681605817,Chlebíková Darina - Praktikum z podnikového plánovania,0,0,2018,0,EDIS,naučná,slovenské</p>,,"Skriptá sú rozdelené do tematických celkov, pričom každý celok obsahuje krátky úvodný text, riešené príklady, ako aj príklady na riešenie. Na konci každého celku sú uvedené...",165,169,"['EDIS, naučná', '', 'slovenské']"
n704409261,"Jandačka Jozef, Holubčík Michal, Nemec Patrik - Energetické stroje - Objemové kompresory",0,0,2018,0,EDIS,naučná,slovenské</p>,,"Predložené vysokoškolské skriptá Energetické stroje - objemové kompresory majú za cieľ čitateľa oboznámiť s teoretickými základmi, konštrukciami a využitím energetických...",393,403,"['EDIS, naučná', '', 'slovenské']"
n660329788,Škorvagová Eva - Od strachu k bezpečiu a istote Psychodiagnostika a kognitívno-behaviorálna psychoterapia dieťaťa so strachom zo školy,0,0,2018,0,EDIS,naučná,slovenské</p>,,"Vedecká monografia vymedzuje základné teoretické východiská strachu a úzkosti v kontexte výskumu, psychodiagnostiky a praktických intervencií v zmysle kognitívno-behaviorálnej...",619,751,"['EDIS, naučná', '', 'slovenské']"
