db_id,name,rating,reviews_cnt,year,pages_cnt,publisher,genre,author,lang,description,price_from,price_to,unparsed
n709183226,"Jaro, Léto, Podzim a Zima v kostce – Bernerová Rotraut Susanne",98,10,2019,56,Paseka,dětské,Rotraut Susanne Bernerová</p>,,"Oblíbená série ročních období, které se jen v Česku prodalo přes sto tisíc výtisků, je tu konečně v praktickém formátu 15 na 19 centimetrů. Na cesty, k pískovišti, na chatu, do...",276,379,"['Paseka, dětské', '', 'české, Rotraut Susanne Bernerová']"
n707954445,"O myšce, která se nebála",0,0,2019,32,Portál,dětské,Petr Horáček</p>,,"Jednoho rána se myška rozhodla, že půjde do lesa na průzkum. „Ničeho se neleknu, řekla ostatním zvířátkům. A opravdu, ani vlk, ani medvěd, a dokonce ani los ji nevystrašili....",159,199,"['Portál, dětské', '', 'české, Petr Horáček']"
n709859911,"Kreslené vtipy pro děti - Zuzana Neubauerová, Mirek Vostrý ilustrácie",100,1,2019,64,české,dětské,Mirek Vostrý</p>,,"Smích léčí, to je známá věc. A jak řekl jeden moudrý muž: Je ztracený každý den našeho života, kdy jsme se nezasmáli. Ale věděli jste, že při smíchu se otřásá a vibruje celé...",111,169,"['Computer Press, dětské', '', 'české, Mirek Vostrý']"
n708881651,LEGO® Harry Potter™ Zpátky do Bradavic | kolektiv,100,1,2019,32,české,dětské,Kolektiv autorů</p>,,"Obsahuje minifigurku LEGO Harry Potter. Harry Potter byl přijat do Bradavické školy čar a kouzel – kouzelnické školy, která nemá v celém čarodějnickém světě obdoby. Přidej se k...",131,199,"['Computer Press, dětské', '', 'české, Kolektiv autorů']"
n707954431,Rozumí koza petrželi?,0,0,2019,112,Portál,dětské,Renata Škaloudová</p>,,"Co se může tahat z chlupaté deky? Cucky. Dá se najít jehla v kupce sena? Ano, ale píchne to. Jak kouká tele na nová vrata? Nijak, nezajímají ho. Proč se nemá házet flinta do...",199,249,"['Portál, dětské', '', 'české, Renata Škaloudová']"
n697235703,Bylinkové pohádky - Jana Burešová,100,4,2019,88,české,dětské,Burešová Jana</p>,,"Bylinkové pohádky

Osmnáct bylinek provází voňavé pohádkové postavy, od víl, čarodějnic, princů až po krále. Dětem můžete přečíst pohádku o princi, kterému pomohla kopřivová...",176,249,"['Computer Press, dětské', '', 'české, Burešová Jana']"
n713347600,"Zvířecí cestovatelé - Quim Tomàs, Julio Antonio Blasco ilustrácie",100,1,2019,32,české,dětské,Tomás Quim</p>,,"Objevte fascinující cestovatelské výkony ze zvířecí říše! 

Rybák dlouhoocasý, který létá mezi póly, pouť lososů proti proudu řek nebo neuvěřitelné putování monarchy...",177,256,"['Computer Press, dětské', '', 'české, Tomás Quim']"
n730077029,Propast - Lenka Juráčková,0,0,2019,80,Paseka,dětské,Tomáš Kučerov</p>,,"O Vracanských aragonitových jeskyních se toho moc neví. Ani dna nedaleké propasti se nikdo ještě nedopátral. Ten, kdo se o to pokusil, nalezl buď smrt, nebo přišel o rozum....",141,199,"['Paseka, dětské', '', 'české, Lenka Juráčková, Tomáš Kučerov']"
n722020727,Únikovka - Minecraft,0,0,2019,32,české,dětské,Computer Press</p>,,"Dokážete zjistit, kdo se vám naboural do serveru? Máte 45 minut na vyřešení záhad! Když se s kamarády připojíte ke svému oblíbenému serveru, zjistíte, že hrajete Nemilosrdnou...",263,396,"['Computer Press, dětské', '', 'české, Computer Press']"
n707954444,Kluci netančej!,0,0,2019,136,Portál,dětské,Fibrich Lukáš</p>,,"Děj příběhu je situovaný do současné Prahy, vystupují v něm obyčejní školáci s láskou k baletu – tanci a hudbě, kteří jsou pro svou vášeň ochotni leccos obětovat. Malí...",199,249,"['Portál, dětské', '', 'české, Fibrich Lukáš']"
