db_id,name,rating,reviews_cnt,year,pages_cnt,publisher,genre,author,lang,description,price_from,price_to,unparsed
n41170479,Úzkost a obavy,92,7,2012,232,Portál,naučná,české</p>,,"Úzkost a obavy jsou normálními reakcemi na nebezpečí nebo na stres. 

Problémem se stávají tehdy, pokud se tyto emoční reakce objevují příliš často, jsou příliš silné, trvají...",213,267,"['Portál, naučná', '', 'české']"
n52593878,Cvičení paměti pro každý věk,91,6,2012,176,Portál,naučná,české</p>,,"Asi každý má někdy pocit, že čím dál víc zapomíná a paměť už není, co bývala.

Kniha nabízí možnost, jak si ji stále udržovat v kondici. Zahrnuje testy na různá témata, které...",173,217,"['Portál, naučná', '', 'české']"
n51157915,Aspergerův syndrom,95,5,2012,208,Portál,naučná,české</p>,,Aspergerův syndrom patří do skupiny poruch autistického spektra. Je charakteristický disharmonickým vývojem osobnosti s převažující poruchou v oblasti sociální interakce a...,231,289,"['Portál, naučná', '', 'české']"
n56070780,Knížka pro tatínky,90,2,2012,200,Portál,naučná,české</p>,,"Těhotenství, porod a první tři roky života dítěte.  
V dnešní době prožívají nastávající otcové těhotenství své partnerky více než před lety a přítomnost otce u porodu se...",260,325,"['Portál, naučná', '', 'české']"
n39463623,"Chybějící otec, chybující syn",97,5,2012,192,Portál,naučná,české</p>,,"Jak absence otce ovlivňuje utváření mužské identity

Autor úspěšné knihy Anatomie lásky Guy Corneau pojednává v tomto titulu o morálním zranění, jímž trpí někteří muži, kterým...",239,299,"['Portál, naučná', '', 'české']"
n62177500,Úvod do současné politologie,0,0,2012,208,Portál,naučná,české</p>,,"Publikace přehledně shrnuje základní aspekty charakterizující současné demokratické politické systémy zemí západní Evropy.

Publikace je koncipována jako obecně komparativní...",275,297,"['Portál, naučná', '', 'české']"
n39463631,Facilitativní mediace,83,1,2012,208,Portál,naučná,české</p>,,"Řešení konfliktu prostřednictvím mediátora
V knize jsou nejdříve uvedeny stručné informace z historie mediace ve světě a v ČR z pohledu školitele a realizátora rodinné,...",276,345,"['Portál, naučná', '', 'české']"
n51154974,Dyslexie v předškolním věku ?,0,0,2012,200,Portál,naučná,české</p>,,"Kniha je určena učitelkám mateřských škol a rodičům dětí v předškolním věku. Na základě kazuistik seznamuje s obtížemi, které mohou provázet dyslexii u malých dětí....",189,259,"['Portál, naučná', '', 'české']"
n54372919,Autoevaluace v MŠ,0,0,2012,184,Portál,naučná,české</p>,,"Cesta ke kvalitě vzdělávání
Autoevaluace má škole pomoci pochopit procesy změn, které v ní probíhají a které vycházejí z požadavků RVP PV. Odhaluje, jaké podmínky MŠ vytváří...",223,279,"['Portál, naučná', '', 'české']"
n53840099,Svět dětské mozkové obrny,97,1,2012,200,Portál,naučná,české</p>,,"Nahlížení vlastního postižení v průběhu socializace. Nahlížení vlastního postižení v průběhu socializace
Život s postižením dětskou mozkovou obrnou má mnohá úskalí. Od formy...",228,285,"['Portál, naučná', '', 'české']"
n44675586,Jak se žije dětem s postižením,100,1,2012,184,Portál,naučná,české</p>,,"Jak se žije dětem s postižením. Čtrnáct rozhovorů s rodiči dětí s postižením nechává nahlédnout do problematiky pěti typů postižení.
Děti s Downovým syndromem, děti se...",199,249,"['Portál, naučná', '', 'české']"
n60937092,Psychologie rodiny,87,1,2012,224,Portál,naučná,české</p>,,"Porozumět situaci rodiny a dokázat diagnostikovat její problém je předpokladem veškeré pomoci rodinám v rámci sociální práce, psychoterapeutické intervence apod. 

Kniha...",277,297,"['Portál, naučná', '', 'české']"
n38791469,Bezdomovectví,98,2,2012,176,Portál,naučná,české</p>,,"Publikace zkoumá bezdomovectví jednotlivců v České republice, definuje ho a uvádí jeho příčiny a specifika. Bezdomovectví pojímá jako souhrn patologických jevů, tj....",161,199,"['Portál, naučná', '', 'české']"
n38114886,Spiritualita v pomáhajících profesích,0,0,2012,232,Portál,naučná,české</p>,,"Spiritualita v pomáhajících profesích. O spiritualitě se sice v posledních letech hodně hovoří, ale to bohužel neznamená, že se v otázkách spirituality více vyznáme.

 Kniha...",284,359,"['Portál, naučná', '', 'české']"
n38791467,Pěstounská péče a adopce,95,1,2012,196,Portál,naučná,české</p>,,"Každé dítě potřebuje, aby ho někdo miloval a aby někam patřilo.
To se snadno řekne, ale někdy je těžké to uskutečnit. Děti, které z různých důvodů nemohou žít ve své...",212,265,"['Portál, naučná', '', 'české']"
n55767264,Až do krajnosti,0,0,2012,216,Portál,naučná,české</p>,,"Co odpovědět znásilněné dívce, která požaduje potrat? 

Jak se postarat o mladé provinilce bez domova? Jak je vracet po návratu z vězení k normálnímu životu? Jak jim...",80,99,"['Portál, naučná', '', 'české']"
n54247881,Proměna intimity,0,0,2012,216,Portál,naučná,české</p>,,"Sexualita, láska a erotika v moderních společnostech.  
Kniha dává čtenáři nahlédnout do vztahu mezi intimissimem, kterým láska vždy byla, a převratně se měnícím světem kolem...",252,353,"['Portál, naučná', '', 'české']"
n37666342,Rodiče potřebují hranice,0,0,2012,172,Portál,naučná,české</p>,,"Děti nejsou podle autora ani „tyrany“, ani „případy“, ani „projekty“, natož náhražkami partnera. Kniha je polemikou s dnes oblíbenými přístupy k dětem a dětství: Děti se...",212,265,"['Portál, naučná', '', 'české']"
n54372917,Kouzlo sebeuskutečnění,86,3,2012,192,Portál,naučná,české</p>,,"Harry Potter v nás. Harry Potter v nás 
Miliony dětí, mládeže i dospělých jsou po celém světě fascinovány dobrodružstvími Harryho Pottera ve světě mudlů a čarodějů. Propadají...",265,265,"['Portál, naučná', '', 'české']"
n37666345,Environmentální výchova v mateřské škole,93,2,2012,174,Portál,naučná,české</p>,,"- V přírodě děti mohou zakusit spoustu smyslových vjemů – vidět odstíny barev, tvary, slyšet zvuky, cítit vůně, osahat si, ochutnat.

- Uvědomí si, že když je zima, musí se...",213,255,"['Portál, naučná', '', 'české']"
n72571826,Ranní meditace - opravna duší - Ivena Noble,100,1,2012,184,Portál,naučná,české</p>,,Signály naděje v odcizeném světě. Docentka Ivana Noble je trochu exotickým učitelem na Evangelické teologické fakultě Univerzity Karlovy. Jako farářka Československé církve...,236,265,"['Portál, naučná', '', 'české']"
n67118231,Táňa Fischerová - Nežít jen pro sebe,100,1,2012,232,Portál,naučná,české</p>,,"Knižní rozhovor s kandidátkou na prezidentku ČR představuje známou herečku, jejíž tvář je spojena s charitativní činností i s televizními adventními koncerty.
 

Táňa...",175,349,"['Portál, naučná', '', 'české']"
n61756821,Cílená zpětná vazba,0,0,2012,176,Portál,naučná,české</p>,,"Metody pro vedoucí skupin a učitele. Metody pro vedoucí skupin a učitele
Cílená zpětná vazba se využívá vědomě či nevědomě prakticky ve všech oblastech vzdělávání, při...",245,328,"['Portál, naučná', '', 'české']"
n39941921,Umění konverzace,100,1,2012,176,Portál,naučná,české</p>,,"Kniha Umění konverzace nepřináší hlubokomyslné pravdy, ale zcela praktické podněty a nápady pro rozšíření a prohloubení komunikačních dovedností pro každodenní použití. Na...",204,219,"['Portál, naučná', '', 'české']"
