db_id,name,rating,reviews_cnt,year,pages_cnt,publisher,genre,author,lang,description,price_from,price_to,unparsed
n259846333,"kolektiv autorů: Vůně života - Soubor povídek - Javořická, Pittnerová, Jahoda, Dostál, Lužická, Kopal, Husová, Baar Kniha",0,0,2013,208,Akcent,beletrie,Kolektiv autorů</p>,,"V povídkách oblíbených autorů první poloviny minulého století se opět setkáme s láskou ve všech jejích podobách - s láskou opětovanou i zrazenou, obětavou i zištnou,...",153,239,"['Akcent, beletrie', '', 'české, Kolektiv autorů']"
n112458307,Jitřenka Javořická Vlasta,100,1,2013,200,Akcent,beletrie,Vlasta Javořická</p>,,"Milostný román s originální zápletkou a překvapivým rozuzlením. Příběh opuštěné dívky, bez rodičů a příbuzných, vyrůstající za první republiky v internátě. Jeden z...",146,235,"['Akcent, beletrie', '', 'české, Vlasta Javořická']"
n142945394,Zuřící lev Bureš Roman,100,1,2013,216,Akcent,beletrie,Bureš Roman</p>,,První století před Kristem. Ekonomika Říma stojí na potu a utrpení stovek tisíců otroků. Malá vzpoura gladiátorů v Capue se rozroste do netušených rozměrů. Jedním ze vzbouřenců...,146,229,"['Akcent, beletrie', '', 'české, Bureš Roman']"
n259845907,Lovecké zápisky,0,0,2013,172,Akcent,beletrie,Žídkovi Eva a Petr</p>,,"Vydejte se spolu s autory do nefalšované kanadské divočiny! Především láska k přírodě způsobila, že se manželé Žídkovi v osmdesátých letech rozhodli odejít z Československa,...",146,229,"['Akcent, beletrie', '', 'české, Žídkovi Eva a Petr']"
n118708438,Co létem dozrálo,0,0,2013,200,Akcent,beletrie,Kolektiv autorů</p>,,"Jazyk: český
Počet stran: 200
Rok vydání: 2013
Vazba / Podoba: Pevná bez přebalu lesklá
Sortiment: 
Nakladatelství: Drahomír Rybníček - vyd.Akcent",163,235,"['Akcent, beletrie', '', 'české, Kolektiv autorů']"
n92410736,Ze života občanské společnosti Štancel Vlado,100,1,2013,202,Akcent,beletrie,Vlado Štancel</p>,,"Příběhy ze života občanské společnosti jsou líčeny vtipně a s velkou satirickou nadsázkou, místy dosahující až do polohy absurdního a černého humoru.

Autor: Štancel Vlado
Rok...",110,229,"['Akcent, beletrie', '', 'české, Vlado Štancel']"
n87718889,Synové úsvitu,0,0,2013,206,Akcent,beletrie,Mayerová Šárka Kéry</p>,,"Synové úsvitu kniha od autora Mayerová Šárka Kéry. V malé příhraniční obci se nejistá dívka setkává nejen s bolestnými vzpomínkami, vlastními strachy a obavami, ale i sama se...",146,229,"['Akcent, beletrie', '', 'české, Mayerová Šárka Kéry']"
n142945395,Na této straně pekla Uher František,0,0,2013,208,Akcent,beletrie,Uher František</p>,,"Pod názvem Na této straně pekla se skrývají povídky s tajemstvím. V nich se autor snaží čtenáře upoutat drobnými záhadami, které se v životě stávají, a líčením způsobu, jak je...",146,229,"['Akcent, beletrie', '', 'české, Uher František']"
n146999634,"Sbohem, Havano!",0,0,2013,224,Akcent,beletrie,Eduardo Diaz Mauris</p>,,"V0233601
Chtěl bych jen poukázat na ostrov, jehož obyvatelé již více než padesát let nepoznali svobodu, a zároveň přispět k tomu, abychom si vzpomněli na věci, ke kterým bychom...",159,249,"['Akcent, beletrie', '', 'české, Eduardo Diaz Mauris']"
n136187382,Vánoční tajemství - Soubor povídek,0,0,2013,200,Akcent,beletrie,Kolektiv autorů</p>,,"Vánoční tajemství - Soubor povídek kniha od autora kolektiv autorů. Na zemi leží sníh… Sníh ticha, sníh vzpomínek, sníh překrásného období Vánoc, kdy s knížkou láskyplných...",159,249,"['Akcent, beletrie', '', 'české, Kolektiv autorů']"
n86721978,Kletba lásky Javořická V.,90,1,2013,200,Akcent,beletrie,Kolektiv autorů</p>,,"Kletba lásky v podání oblíbených autorů první poloviny minulého století je osudová. 
Neptá se, koho zahřeje, koho zraní. Je nevyzpytatelná, bolavá i krásná a povznášející....",159,249,"['Akcent, beletrie', '', 'české, Kolektiv autorů']"
n118708439,Hříšné myšlenky,0,0,2013,200,Akcent,beletrie,Kolektiv autorů</p>,,"Hříšné myšlenky člověka napadají, když se nedovede, nebo nechce vyrovnat s realitou, kdy pociťuje bezradnost, samotu, nepochopení. Jsou pak hříšné myšlenky opravdu hříšné? Tato...",146,235,"['Akcent, beletrie', '', 'české, Kolektiv autorů']"
n41866645,Vůně jehličí,100,1,2013,192,Akcent,beletrie,Jindřiška Gurková</p>,,"Vůně jehličí kniha od autora Iva Hoňková. Knihu mysliveckých povídek nazvanou Vůně jehličí napsaly Jindřiška Gurková a Iva Hoňková jednak na vlastní náměty, jednak na náměty...",218,218,"['Akcent, beletrie', '', 'české, Jindřiška Gurková']"
