db_id,name,rating,reviews_cnt,year,pages_cnt,publisher,genre,author,lang,description,price_from,price_to,unparsed
n268930813,Americký upír,88,2,2013,200,BB ART,beletrie,české</p>,,"Krvavá noční můra

Skinner Sweet je nemilosrdný a lstivý psanec. A taky upír… ale ne jen tak ledajaký. Jako první upír, který se zrodil na americké půdě, je silnější,...",346,499,"['BB ART, beletrie', '', 'české']"
n351605672,Roztomilé malé lhářky Bezcitné - Sara Shepardová,0,0,2013,224,BB ART,beletrie,české</p>,,"Autor : Sara Shepardová, Popis : 
 Nejprve Emily, Aria, Hanna a Spencer svorně tvrdily, že za domem v lese objevily mrtvé tělo. Jenže tělo zmizelo beze stopy. Později se stejný...",146,229,"['BB ART, beletrie', '', 'české']"
n467906282,Superman - Utajený počátek,0,0,2013,224,BB ART,beletrie,české</p>,,"Mladý Clark Kent odjakživa věděl, že je jiný. V dětství užíval svých neuvěřitelných schopností k záchraně lidských životů a konání podivuhodných skutků - nyní však dospívá a...",401,531,"['BB ART, beletrie', '', 'české']"
n454368557,Vražda před kamerou - Robert B. Parker,0,0,2013,232,BB ART,beletrie,české</p>,,"Autor : Michael Brandman, Robert B. Parker, Popis : 
 V massachusettském městečku Paradise bývá podzim zpravidla idylický – jenže letos je všechno jinak. Ve městě se rozhodli...",129,249,"['BB ART, beletrie', '', 'české']"
n459936760,Zemřít s přílivem,0,0,2013,232,BB ART,beletrie,české</p>,,"Detektivní příběh z alžbětinské Anglie
Alžběta se vrátila z venkovského vyhnanství do Londýna. Dnes je den její korunovace, ale i ve chvíli, kdy se průvod přibližuje k paláci...",129,249,"['BB ART, beletrie', '', 'české']"
n268930997,100 nábojů 8,0,0,2013,224,BB ART,beletrie,české</p>,,"Wylie Times přicestuje do New Orleansu s hlavou plnou vzpomínek na Rose a s kufříkem od agenta Gravese. Wylie Rose miloval, a teď je mrtvá, a právě Gravesův kufřík mu dopomůže...",339,499,"['BB ART, beletrie', '', 'české']"
n71295495,Podvod - Carol Higgins Clarková,100,2,2013,184,BB ART,beletrie,české</p>,,"Regan Reillyovou by nenapadlo, že její návštěvu na západním pobřeží, kde začínala jako soukromý detektiv, tak ovlivní náhodně setkání s kamarádkou, s níž se před lety seznámila...",129,249,"['BB ART, beletrie', '', 'české']"
n107504393,Víkend s přáteli,80,1,2013,216,BB ART,beletrie,české</p>,,"Je léto, sobotní dopoledne, nádherné slunečné počasí a čtyři dvojice přátel se sejdou k tenisovému turnaji.
Seznamte se s hostiteli: selfmademan Patrick a jeho suverénní až...",159,249,"['BB ART, beletrie', '', 'české']"
n257812666,"Batman R.I.P. (Morrison Grant, Daniel Tony,)",0,0,2013,224,BB ART,beletrie,české</p>,,"Odpočívej v pokoji  „Tak dobrý, jak jen superhrdinský komiks může být.“ - IGN  V Gothamu vládne klid a zdá se, že by Bruce Wayne mohl svého boje se zločinem v masce Batmana...",407,599,"['BB ART, beletrie', '', 'české']"
n415595891,"Utajený počátek. Superman - Jonathan Sibal, Geoff Johns, Gary Frank",0,0,2013,224,BB ART,beletrie,české</p>,,"CO UTVÁŘELO MUŽE Z OCELI?

Mladý Clark Kent odjakživa věděl, že je jiný. V dětství užíval svých neuvěřitelných schopností k záchraně lidských životů a konání podivuhodných...",410,590,"['BB ART, beletrie', '', 'české']"
