db_id,name,rating,reviews_cnt,year,pages_cnt,publisher,genre,author,lang,description,price_from,price_to,unparsed
n220977946,Loutka a jiné povídky - Daphne du Maurier,95,1,2014,216,Motto,beletrie,Daphne du Maurier</p>,,"Všechny povídky zařazené do této sbírky se představují českým čtenářům poprvé. Daphne du Maurier je napsala před svými třiadvacátými narozeninami, některé v pouhých devatenácti...",212,249,"['Motto, beletrie', '', 'české, Daphne du Maurier']"
n191698244,"Mango, láska a kari",90,1,2014,176,Motto,beletrie,Valijah Klásová</p>,,"Všechny chutě Indie, okořeněné špetkou lásky! Co vás čeká, když se rozhodnete, i přes pochybnosti svého okolí, otevřít si v Čechách obchod s indickým kořením a proniknout do...",159,229,"['Motto, beletrie', '', 'české, Valijah Klásová']"
n185832216,Sex a jiné city - Eva Urbaníková,63,3,2014,216,Motto,beletrie,Eva Urbaníková</p>,,"Pikantní povídky o vztazích mezi mužem a ženou. Hlavní hrdinka Alice prožívá mnoho vztahů se spoustou mužů, aby našla toho pravého. Jde ve vztahu o sex, nebo o city? Jsou city...",73,99,"['Motto, beletrie', '', 'české, Eva Urbaníková']"
n204853881,"Jak blbá, tak široká - Halina Pawlowská",98,6,2014,232,Motto,beletrie,Halina Pawlowská</p>,,"Autor : Halina Pawlowská, Popis : 
 Za každou cenu jsem chtěla svého muže. Po tajné svatbě jsem ho představila rodičům a on pak odešel domů, protože jsme spolu ještě nebydleli....",156,229,"['Motto, beletrie', '', 'české, Halina Pawlowská']"
n221102055,Pralinky - Barbara Nesvadbová,83,2,2014,192,Motto,beletrie,Barbara Nesvadbová</p>,,"Existuje v našich životech ještě místo pro „opravdové muže“, a nebo jsme jim ho nechtěně sebraly? Fejetony a povídky Barbary Nesvadbové o vášni, lásce, zklamání, nevěře,...",137,229,"['Motto, beletrie', '', 'české, Barbara Nesvadbová']"
n166526711,Dobře mi tak - Radka Třeštíková,92,5,2014,224,Motto,beletrie,Radka Třeštíková</p>,,"Příběh o tom, že náprava chyb je k ničemu, když v životě děláme další Sebestředný a bezohledný malíř Boris se rozvádí se svou ženou Vanesou a stěhuje se ze společného bytu ke...",179,179,"['Motto, beletrie', '', 'české, Radka Třeštíková']"
n214264256,Pohádkář - 2. vyd. - Barbara Nesvadbová,90,2,2014,208,Motto,beletrie,Barbara Nesvadbová</p>,,"Spisovatelka vrací na scénu svoji hrdinku Karlu. Avšak mnohem dospělejší, matku dvou dětí. Karla propadá duší, tělem i láskou jedinému muži, Márovi. Miluje ho tak silně, že...",173,249,"['Motto, beletrie', '', 'české, Barbara Nesvadbová']"
n214263234,První věci - Irena Obermannová,0,0,2014,200,Motto,beletrie,Irena Obermannová</p>,,"První věci kniha od autora Irena Obermannová. Sedm příběhů o důležitých změnách v ženském životě i těle. Sedm různých hrdinek postupně zažívá zmatky dospívání, první lásku,...",44,214,"['Motto, beletrie', '', 'české, Irena Obermannová']"
n362866700,Příručka pro neposlušné ženy - Irena Obermannová,0,0,2014,208,Motto,beletrie,Irena Obermannová</p>,,"Lehce odvázané čtení o mužích, vztazích, lásce a hlavně hledání toho pravého. Hrdinka se vyrovnává s vlastností, kterou podle jejích zkušeností muži na ženách snášejí ze všeho...",137,249,"['Motto, beletrie', '', 'české, Irena Obermannová']"
n156214965,Vrahova žena - Jacques Expert,0,0,2014,216,Motto,beletrie,Jacques Expert</p>,,"Vrahova žena kniha od autora Jacques Expert. Byla nenápadná a nepříliš hezká. Bylo jí dvaadvacet let, když se provdala za okouzlujícího Simona. Prožila s ním šestnáct let a...",99,249,"['Motto, beletrie', '', 'české, Jacques Expert']"
