db_id,name,rating,reviews_cnt,year,pages_cnt,publisher,genre,author,lang,description,price_from,price_to,unparsed
n455311583,Vědomé milování - Richardson Diana,99,5,2014,232,Synergie,naučná,české</p>,,"Kniha Vědomé milování představuje první knihu Diany Richardson, která se dostává do rukou českému čtenáři, o zcela novém pohledu na sexualitu, totiž knihu o vědomém milování....",197,299,"['Synergie, naučná', '', 'české']"
n219523553,Adyshanti: Pád do milosti Kniha,98,3,2014,198,Synergie,naučná,české</p>,,"Milost - rozporuplné slovo, alespoň v češtině. A přece jde o stav bytí, kterého je nám tolik zapotřebí. Adyshanti, mladý u nás ještě neznámý autor, se zabývá příčinami utrpení,...",154,234,"['Synergie, naučná', '', 'české']"
n259847107,Rádce pravého muže,97,2,2014,224,Synergie,naučná,české</p>,,"Tato kniha je pro každého muže, který chce žít naplněný život a nebojí se být sám sebou. Jak být opravdu svůj bez falešného já. Účelem není změnit se z ""hodného hocha"" ve...",207,299,"['Synergie, naučná', '', 'české']"
n259847034,Probuzení do duchovního světa,0,0,2014,216,Synergie,naučná,české</p>,,"Šamanismus je starodávná a účinná duchovní praxe, která nám může pomoct proplout náročnými dobami plnými změn. V našem moderním světě, kterému vládnou technologie, jsme se...",197,299,"['Synergie, naučná', '', 'české']"
n232513543,Kouzlo osobnosti jako mocná zbraň,83,1,2014,184,Synergie,naučná,české</p>,,"V této knize se naučíte, jak objevit své vlastní kouzlo osobnosti a použít jej tak, aby vám pomohlo budovat osobní a obchodní vztahy, efektivněji vyjednávat a skvěle působit i...",64,257,"['Synergie, naučná', '', 'české']"
n455312010,"Prostá pravda - Duchovní průvodce po životě, smrti, lásce a milování - Deida David",0,0,2014,208,Synergie,naučná,české</p>,,"Ve své nové knize David Deida předkládá celou řadu dovedností a postřehů jak objevit vaše skutečné poslání, jak v sobě probudit vášeň a lásku a také jak se je naučit rozdávat....",197,299,"['Synergie, naučná', '', 'české']"
n215479006,Digitální dieta. 4 kroky k překonání závislosti na moderních technologiích a znovunalezení rovnováhy v životě Daniel Sieberg Synergie,95,2,2014,216,Synergie,naučná,české</p>,,"Kniha Digitální dieta vás povede krok za krokem - pomůže vám lépe se propojit se světem kolem sebe a lidmi, jež milujete. Jde o to být přítomen v daném okamžiku - v okamžiku,...",6,49,"['Synergie, naučná', '', 'české']"
n259846652,Vytvořte si vlastní značku Kniha - Purkiss John,0,0,2014,198,Synergie,naučná,české</p>,,"Abyste uměli dobře „prodat“ své dovednosti je potřeba, abyste věděli, co vám jde nejlépe a v čem jste jedineční. Nejde jen o to vydělávat velké peníze, ale především o to, jak...",55,299,"['Synergie, naučná', '', 'české']"
n685265748,Pospěš si a medituj - David Michie,0,0,2014,214,Synergie,naučná,české</p>,,"Kniha Pospěš si a medituj je praktická a zábavná četba, která motivuje a uvádí do meditace ty, kdo s ní nemají žádné zkušenosti. Říká jasně to, co buddhisté vědí již celá...",79,79,"['Synergie, naučná', '', 'české']"
n685310236,Pospěš si a medituj: David Michie,0,0,2014,214,Synergie,naučná,české</p>,,"Od autora bestseleru Dalajlamova kočka Kniha Pospěš si a medituj je praktická a zábavná četba, která motivuje a uvádí do meditace ty, kdo s ní nemají žádné zkušenosti. Říká...",343,343,"['Synergie, naučná', '', 'české']"
