db_id,name,rating,reviews_cnt,year,pages_cnt,publisher,genre,author,lang,description,price_from,price_to,unparsed
n267379233,Kateřina Lucemburská - Hana Whitton,95,1,2015,202,Alpress,beletrie,české</p>,,"Kateřina Lucemburská, dcera Karla IV. a Blanky z Valois, odmítá uvěřit, že její otec se chce znovu oženit. On jí marně vysvětluje, že jde o výhodné a politicky nutné spojení. V...",119,249,"['Alpress, beletrie', '', 'české']"
n247870793,Očarovaná - Hana Hindráková - Kniha,100,3,2015,224,Alpress,beletrie,české</p>,,"Max Westin. Byl ztělesněním sexu, cítila to z něj. Doslova to z něj vyzařovalo. Celkově působil poněkud drsně a hrubě. Byl primitivní bytostí. Stejně jako ona. 
Max Westin...",119,249,"['Alpress, beletrie', '', 'české']"
n265643652,Kněžna Ida. Past na českého knížete Spytihněva - Oldřiška Ciprová - Alpress,0,0,2015,176,Alpress,beletrie,české</p>,,"Kniha Kněžna Ida - Oldřiška Ciprová
Idu otec přesvědčí, aby se vdala za Spytihněva, syna českého knížete. Když dojde k náhodnému setkání příštích snoubenců, Ida Spytihněvovi...",202,206,"['Alpress, beletrie', '', 'české']"
n288984372,Perchta z Rožmberka,0,0,2015,214,Alpress,beletrie,české</p>,,"Pro její otevřené srdce ji všichni milovali. Perchta z Rožmberka vynikala krásou, laskavostí a dobrotou. S milovaným Petrem ze Šternberka si plánovali budoucnost, avšak otec ji...",166,249,"['Alpress, beletrie', '', 'české']"
n355451875,"Štěstí - neštěstí, láska - manželství",0,0,2015,208,Alpress,beletrie,české</p>,,"Životní výzvy - jak milý název pro pubertální děti, nevěru partera nebo vážné zdravotní problémy - je třeba bárt s humorem, jinak by se z toho ženská taky mohla zbláznit. Hanka...",119,210,"['Alpress, beletrie', '', 'české']"
n289166903,Potulný kovboj,67,1,2015,176,Alpress,beletrie,české</p>,,Zachmuřený běloch jménem Shalako umí být lstivý jako indián. Nedůvěřuje ničemu tak jako své zbrani a svému koni. Teď se potulný kovboj Shalako chystá úplně sám přejet...,173,197,"['Alpress, beletrie', '', 'české']"
n289166907,Psáno ve hvězdách,100,1,2015,236,Alpress,beletrie,české</p>,,"Rodiče v duchu islámské tradice trvají na domluveném sňatku, proto před nimi Naila tají, že se zamilovala. Pod záminkou návštěvy příbuzných odjedou všichni do Pákistánu a tam...",119,229,"['Alpress, beletrie', '', 'české']"
n352517861,Kacířka,100,3,2015,216,Alpress,beletrie,české</p>,,"Alžběta má zemřít jako kdysi její děda i matka v plamenech hranice, a to jen z pomsty rychtáře Hynka, protože Alžbětinu matku mu kdysi odmítli dát za manželku. Nebyla to však...",89,249,"['Alpress, beletrie', '', 'české']"
n308325783,Poslední láska Václava II.,60,1,2015,232,Alpress,beletrie,české</p>,,"Kniha Poslední láska Václava II. - Melita Denková
Král Václav chystá sňatek s princeznou Rejčkou, jímž získá polskou korunu. Nenapadlo by ho, že když na hradě potká dívku...",119,234,"['Alpress, beletrie', '', 'české']"
n605505030,Modrý deník L,0,0,2015,192,Alpress,beletrie,české</p>,,Otec se neštítil prodat devítiletou Batuk do sexuálního otroctví. Svůj život dětské prostitutky z vykřičené bombajské ulice si dívenka zaznamenává do deníku. Zážitky viděné...,85,224,"['Alpress, beletrie', '', 'české']"
n358623989,Třikrát Richard Kubík - Roman Cílek,0,0,2015,224,Alpress,beletrie,české</p>,,"Kriminální reportér Richard Kubík je neúnavným hledačem pravdy. Ve třech příbězích se pokouší objasnit případy nenávisti i neopětované lásky, vydírání a únosu bohatého cizince...",224,224,"['Alpress, beletrie', '', 'české']"
