db_id,name,rating,reviews_cnt,year,pages_cnt,publisher,genre,author,lang,description,price_from,price_to,unparsed
n437649841,Dáma s prošlou zárukou - Marcela Mlynářová,95,2,2016,200,Nakladatelství BRÁNA,beletrie,české</p>,,"Další kniha oblíbené autorky, v níž s osobitým humorem a nadhledem líčí své názory, zážitky s rodinou a na milované chalupě. Optimismus a dobrou náladu neztrácí ani při jednání...",202,263,"['Nakladatelství BRÁNA, beletrie', '', 'české']"
n438583029,"My, Ludvík XIV. král francouzský - Eve de Castro",0,0,2016,184,Nakladatelství BRÁNA,beletrie,české</p>,,"Historický román z posledních dnů života Krále Slunce. Nemocný panovník, s jehož chorobou si lékaři nevědí rady, se ve vzpomínkách vrací k významným postavám své vlády i svého...",104,257,"['Nakladatelství BRÁNA, beletrie', '', 'české']"
n354987720,Osvícení zoufalého muže,100,1,2016,184,Nakladatelství BRÁNA,beletrie,české</p>,,"Volné pokračování čtenářsky úspěšné a humorně napsané knihy Zkrocení mlsného muže. Doktor Barták si z lékařské mise v Africe přiváží nevšední suvenýr, malého černouška. Aby...",69,223,"['Nakladatelství BRÁNA, beletrie', '', 'české']"
n434154155,"Švihák v porcelánu - Čím jsem byl, tím jsem byl rád",60,1,2016,218,Nakladatelství BRÁNA,beletrie,české</p>,,"?vihák je zpět a je prostě skvělý! Budete se bavit, budete plakat smíchy ale hlavně – budete ho milovat! 
Postava ?viháka (lázeňského) se vrací na scénu po téměř třech letech....",64,223,"['Nakladatelství BRÁNA, beletrie', '', 'české']"
n360688721,Objížďka - Erotické povídky z autobusu,90,2,2016,208,Nakladatelství BRÁNA,beletrie,české</p>,,"Spisovatelka, nucená kvůli objížďce na silnici jezdit měsíc autobusem, sleduje ze zadní řady své spolucestující a každý den si jednoho vybírá pro svoji erotickou povídku. Jejím...",64,214,"['Nakladatelství BRÁNA, beletrie', '', 'české']"
n355583552,Život jako hobby,85,7,2016,200,Nakladatelství BRÁNA,beletrie,české</p>,,"Život je barvitý a nevypočitatelný. Deset lidí zažije jednu událost, dva v ní budou vidět tragédii, čtyři věc běžného života, jednoho dokonce pohorší a zbývající k popukání...",104,249,"['Nakladatelství BRÁNA, beletrie', '', 'české']"
n399530590,Mrtvola v brnění - Případy královského soudce Melichara - Jan Bauer,0,0,2016,224,Nakladatelství BRÁNA,beletrie,české</p>,,Je říjen roku 1306. Na oslavu zvolení nového českého krále Rudolfa Habsburského se na rynku Většího Města pražského koná rytířský turnaj. Jako první se mají utkat přítel a...,159,224,"['Nakladatelství BRÁNA, beletrie', '', 'české']"
n417455487,Zrada - Macháčová Adriana,0,0,2016,224,Nakladatelství BRÁNA,beletrie,české</p>,,"Když vás zasáhne zrada na nejcitlivějším místě a ještě od nejbližší osoby, přetrhne se i to nejpevnější – pokrevní – pouto. Emu a Lýdii rozdělila láska k jednomu muži. Jaký je...",71,99,"['Nakladatelství BRÁNA, beletrie', '', 'české']"
n391470306,Šarlotin anděl,68,4,2016,200,Nakladatelství BRÁNA,beletrie,české</p>,,"Šarlota se dožívá vysokého věku, jak jí to předpověděla slepá kartářka Magara. Magarino srdce si získala už jako malá, když ji otec prodal do kočovného cirkusu. Magara jí také...",69,223,"['Nakladatelství BRÁNA, beletrie', '', 'české']"
n409061244,Proč mají ženy vždycky pravdu,100,2,2016,208,Nakladatelství BRÁNA,beletrie,české</p>,,"U televize a filmu odjakživa platí, že rejža a maminka mají vždycky pravdu. Já k tomu po několikaletém manželství dodávám, že moje žena je nad oba jmenované, ale ani jednomu to...",69,99,"['Nakladatelství BRÁNA, beletrie', '', 'české']"
n409061246,Prvňák a jeho smečka aneb devět let natvrdo,70,1,2016,200,Nakladatelství BRÁNA,beletrie,české</p>,,"Jsme klasická rodina. Já, manžílek a dvě děti. Starší dcera Laura začala chodit do první třídy a můj život je rázem vzhůru nohama!
Až dosud jsem si myslela, že školní docházka...",69,223,"['Nakladatelství BRÁNA, beletrie', '', 'české']"
n360688723,Hříšná Alžběta - Rodina D´Arsac,0,0,2016,208,Nakladatelství BRÁNA,beletrie,české</p>,,"Okouzlující Alžběta d´Arsac odmítá všechny nápadníky, protože si chce za každou cenu zachovat nezávislost a svobodu. Na maškarním plese se však náhle setkává s mužem, který...",179,299,"['Nakladatelství BRÁNA, beletrie', '', 'české']"
n369240664,Kurýr,0,0,2016,216,Nakladatelství BRÁNA,beletrie,české</p>,,"Děj knihy, která je kombinací thrilleru a cestopisu, se odehrává v Malajsii, Střední Asii, Singapuru, Gruzii a na Floridě. Tam všude zavede hlavního hrdinu hledání ztraceného...",69,232,"['Nakladatelství BRÁNA, beletrie', '', 'české']"
n378997927,Nakladatelství Brána a.s. Třetí noha a další úrazy lásky,0,0,2016,224,Nakladatelství BRÁNA,beletrie,české</p>,,"Kniha známého spisovatele, scenáristy a výtvarníka Oldřicha Dudka uzavírá trilogii jeho publikací na věčně přitažlivé téma, jakým jsou láska, manželství a nejrůznější eskapády...",69,223,"['Nakladatelství BRÁNA, beletrie', '', 'české']"
n424220221,Nakladatelství Brána a.s. Manipulátor,0,0,2016,224,Nakladatelství BRÁNA,beletrie,české</p>,,"Je noc a ony se k vám blíží, vytáhnou drápy, vycení zuby, slaďoučce mňouknou a pak se na vás vrhnou. A trhají, drásají, škrábou. Je jich spousta a vy nemáte sebemenší šanci......",69,214,"['Nakladatelství BRÁNA, beletrie', '', 'české']"
n447292180,Nakladatelství Brána a.s. Nezvěstná,0,0,2016,224,Nakladatelství BRÁNA,beletrie,české</p>,,"Ve vesničce Beynac-et-Cazenac, která se nachází v jihozápadní Francii a je opředená magickou atmosférou, žije Estelle, která se rozhodne pro rozvod s manželem a nový život....",72,240,"['Nakladatelství BRÁNA, beletrie', '', 'české']"
n437888720,Dáma s prošlou zárukou,95,3,2016,200,Nakladatelství BRÁNA,beletrie,české</p>,,"Další kniha oblíbené autorky, v níž s osobitým humorem a nadhledem líčí své názory, zážitky s rodinou a na milované chalupě. Optimismus a dobrou náladu neztrácí ani při jednání...",220,260,"['Nakladatelství BRÁNA, beletrie', '', 'české']"
n423404542,"Nakladatelství Brána a.s. Švihák v porcelánu - Čím jsem byl, tím jsem byl rád",0,0,2016,218,Nakladatelství BRÁNA,beletrie,české</p>,,"?vihák je zpět a je prostě skvělý! Budete se bavit, budete plakat smíchy ale hlavně – budete ho milovat! 
Postava ?viháka (lázeňského) se vrací na scénu po téměř třech letech....",67,214,"['Nakladatelství BRÁNA, beletrie', '', 'české']"
n417397416,Zrada - Adriana Macháčová,0,0,2016,224,Nakladatelství BRÁNA,beletrie,české</p>,,"Čtvrtá autorova detektivka z oblíbené série se superintendentem Royem Gracem. Odehrává se tentokrát nejen v anglickém Brightonu a jeho okolí, ale i v New Yorku v okamžiku...",113,249,"['Nakladatelství BRÁNA, beletrie', '', 'české']"
