db_id,name,rating,reviews_cnt,year,pages_cnt,publisher,genre,author,lang,description,price_from,price_to,unparsed
n584412950,Informační válka,0,0,2017,224,Academia,naučná,české</p>,,"Jak jsou využívány nové informační technologie v novodobých válkách a lokálních konfliktech? Jak byla vedena válka v Perském zálivu, na Balkáně nebo na Krymu? A jakým směrem se...",173,265,"['Academia, naučná', '', 'české']"
n571956345,Lidské zdroje a personální management,0,0,2017,190,Academia,naučná,české</p>,,"Jak řídit, nabírat a vést lidi ve své firmě nebo svěřeném podniku? Jak nejlépe využít lidský kapitál a jaký má vliv personální řízení na chod podniku?
Podniku je...",167,343,"['Academia, naučná', '', 'české']"
n584412924,"Anthropoid, 2. vydání",0,0,2017,220,Academia,naučná,české</p>,,"Průvodce, druhé doplněné vydání. Kniha provede zájemce po místech spojených s aktivitou výsadku Anthropoid, jehož příslušníci uskutečnili útok na zastupujícího říšského...",207,295,"['Academia, naučná', '', 'české']"
n547868391,Atlas hnízd pěvců ČR - Jiří Formánek,86,6,2017,208,Academia,naučná,české</p>,,"V posledních letech došlo ke značným změnám v naší krajině. Krajina, která dříve oplývala krásou a bohatou přírodou, se stala jen výrobním prostředkem. Je třeba si uvědomit, že...",188,285,"['Academia, naučná', '', 'české']"
n561857320,Ve službách módy a stylu - Nový Petr,100,4,2017,222,Academia,naučná,české</p>,,"Jablonecká bižuterie je světoznámý pojem stejně jako české sklo nebo pivo. V období první republiky, kdy její obchodní podíl na globálním trhu činil ohromující jednu polovinu,...",192,295,"['Academia, naučná', '', 'české']"
n520212215,Budoucnost státu?,0,0,2017,214,Academia,naučná,české</p>,,"Autor : Martin Škopek, Jiří Přibáň, Radek Buben, Jan Kysela, Kateřina Šimáčková, Michal Trčka, Ondřej Lánský, Michal Šejvl, Zdeněk Kühn, Václav Bělohradský, Karel B. Müller,...",170,265,"['Academia, naučná', '', 'české']"
n492955540,Krajina a lidé,100,1,2017,176,Academia,naučná,české</p>,,"Současné změny klimatu si žádají změny v přístupu k naší krajině. Té krajině, ve které žijeme a která nám poskytuje obživu. Publikace, na níž se podílelo přes 70 pracovníků...",209,325,"['Academia, naučná', '', 'české']"
n532955043,"Ty jo, to seš dobrá! Jak se skládají komplimenty v češtině",70,1,2017,178,Academia,naučná,české</p>,,Monografie je věnována problematice skládání komplimentů v češtině. Vychází z podrobného rozboru nahrávek soukromé neformální komunikace mezi rodinnými příslušníky a přáteli....,173,265,"['Academia, naučná', '', 'české']"
n581673728,"Inventura předsudků - Michaela Šmídová, Tomáš Čížek, Martin Vávra",0,0,2017,193,Academia,naučná,české</p>,,"Kniha je hlavním shrnujícím výsledkem projektu, jenž zkoumá předsudky v české společnosti. Soustřeďuje se zejména na postoje vůči třem vybraným marginalizovaným skupinám: lidem...",172,265,"['Academia, naučná', '', 'české']"
n541689271,"""Světový názor"". Od Humboldta k Eagletonovi",0,0,2017,224,Academia,naučná,české</p>,,"Pojem „světový názor“ je v současných českých humanitních vědách spojován především s pojmem „ideologie“, ba dokonce je s ním ztotožňován – přičemž „ideologií“ se zpravidla...",185,285,"['Academia, naučná', '', 'české']"
n548691913,"Biografický slovník českých zemí, 20.sešit Go-Gz",100,1,2017,192,Academia,naučná,české</p>,,"Biografický slovník českých zemí Go-Gz kniha od autora Makariusová Marie. Dvacátý sešit Biografického slovníku českých zemí předkládá čtenářům životopisy osobností, jejichž...",210,350,"['Academia, naučná', '', 'české']"
n705515530,"Fyzika za první republiky - Doc. Ing. Štefan Zajac CSc., Prof. RNDr. Ivo Kraus DrSc.",0,0,2017,212,Academia,naučná,české</p>,,"Ještě v druhé polovině 19. století byl vývoj naší fyziky vázán na pražskou univerzitu a polytechniku. Po vzniku Československa byly v Brně a Bratislavě založeny univerzity,...",186,265,"['Academia, naučná', '', 'české']"
n733556890,"Fyzika v příkladech II. Molekulová fyzika a termodynamika, elektrostatika, elektrický proud, magnetické a elektromagnetické pole - Ladislav Samek, Petr Vlčák",0,0,2017,220,Academia,naučná,české</p>,,"Kniha navazuje na předchozí díl Fyzika v příkladech: Mechanika a má sloužit jako učební pomůcka studentům a pedagogům vysokých škol i čtenářům, kteří si chtějí do plnit své...",316,316,"['Academia, naučná', '', 'české']"
