db_id,name,rating,reviews_cnt,year,pages_cnt,publisher,genre,author,lang,description,price_from,price_to,unparsed
n553214988,Jak běhat - Radcliffová Paula,95,2,2017,176,Esence,naučná,české</p>,,"Každý ví, že běhání má blahodárné účinky. Ať už jde o občasné vyběhnutí okolo domu, přípravu na 10kilometrový charitativní závod, nebo dokonce několikaměsíční trénink na...",237,299,"['Esence, naučná', '', 'české']"
n481697151,Hygge - Fenomén útulna - Signe Johansen,88,3,2017,208,Esence,naučná,české</p>,,"Kniha Hygge: Fenomén útulna - Signe Johansenová, šedá barva, papír. Ptáte se, proč jsou zrovna severské země považovány za nejšťastnější na světě? Není to jen kvalitou a úrovní...",125,299,"['Esence, naučná', '', 'české']"
n546914426,Hygge - Dánská cesta ke štěstí - Tourell Soderbergová Marie,90,2,2017,224,Esence,naučná,české</p>,,"Skandinávský koncept hygge přispívá k tomu, že Dánové jsou nejšťastnějším národem světa. V češtině přesný slovní ekvivalent nemáme, ale nejvíc se mu blíží pojem pohoda. Pocit,...",237,299,"['Esence, naučná', '', 'české']"
n537980397,Léčebné umění Hildegardy z Bingenu,97,0,2017,208,Esence,naučná,české</p>,,Hildegarda z Bingenu patří mezi největší postavy středověké medicíny. Nadčasovost a účinnost jejích bylinných léků nás neustále překvapuje. V této knize najdete stručnou...,197,249,"['Esence, naučná', '', 'české']"
n478238865,"Vím, co mi chceš říct - Jak porozumět řeči psů - Stephanie Lang von Langen",0,0,2017,216,Esence,naučná,české</p>,,"Tato kniha není klasická kynologická příručka, je to průvodce problematikou komunikace mezi člověkem a psem a soustředí se na psychologii a intuitivní přístup k výchově psa....",197,249,"['Esence, naučná', '', 'české']"
n461438329,Babiččiny bylinky - Renata Herber,100,3,2017,184,Esence,naučná,české</p>,,Babiččiny bylinky kniha od autora Herber Renata. Blahodárné působení léčivých rostlin dokládají mnohé příklady z praxe a staré bylinné recepty slouží již staletí nejen jako...,237,299,"['Esence, naučná', '', 'české']"
n707610049,Hygge - Tajemství spokojeného života - Thomsen Britsová Louisa,0,0,2017,192,Esence,naučná,české</p>,,"Dánové jsou považováni za nejšťastnější národ na světě. Za jejich spokojeností stojí hygge, což je pocit sounáležitosti a tepla, moment pohody a radosti. Tato malá knížka vám...",197,237,"['Esence, naučná', '', 'české']"
n480924647,Léčení včelími produkty - Štefan Demeter,100,1,2017,176,Esence,naučná,české</p>,,"Chcete být celý rok ve skvělé kondici, čekají vás náročné fyzické úkony? Má vaše dítě zažívací problémy, nespí, je nervózní a neumí se soustředit? Chcete přírodní cestou...",221,279,"['Esence, naučná', '', 'české']"
n452520515,"Euromedia Group, a.s. Rakovina prsu",0,0,2017,224,Esence,naučná,české</p>,,"Stejně jako je každá pacientka jiná, je i léčba rakoviny prsu individuální záležitostí. Tato kniha podrobně informuje o diagnostice a léčbě za použití klasické medicíny a...",197,249,"['Esence, naučná', '', 'české']"
n495379847,"Kreativní nápady pro každý víkend - Pesterová Sophie, Brunsová Catharina",0,0,2017,176,Esence,naučná,české</p>,,"Kreativní nápady pro každého kniha od autora Pesterová Sophie, Brunsová Catharina. Pusťte se do tvoření a prožijte rok kreativních víkendů! Objevte materiály a techniky, které...",125,299,"['Esence, naučná', '', 'české']"
