db_id,name,rating,reviews_cnt,year,pages_cnt,publisher,genre,author,lang,description,price_from,price_to,unparsed
n644700500,Čtvero ročních období v Římě - Anthony Doerr,82,5,2018,216,Moba,beletrie,Anthony Doerr</p>,,"Výjimečná kniha – je plná mimořádných postřehů a popisuje Doerrova dobrodružství v jednom znejúchvatnějších měst na světě. Anthony čte Plinia, Danta a Keatse ? staré kronikáře...",236,299,"['Moba, beletrie', '', 'české, Anthony Doerr']"
n612853226,Román o růži - Vlastimil Vondruška,100,3,2018,224,Moba,beletrie,Vondruška Vlastimil</p>,,"Již devátý díl historických detektivních románů, které se odehrávají v časech panování krále Přemysla II. Otakara. Příběh se vrací do doby, kdy královský prokurátor a správce...",90,299,"['Moba, beletrie', '', 'české, Vondruška Vlastimil']"
n593568617,Jičínské pole mrtvých - Letopisy královské komory. 12. díl - Vlastimil Vondruška,96,24,2018,224,Moba,beletrie,Vlastimil Vondruška</p>,,"Za městem Jičínem na cestě k Zebínu je ohrazená louka, na níž se od pradávna pohřbívaly oběti morových epidemií, ale také popravení zločinci, sebevrazi a kacíři. Jednoho dne se...",204,285,"['Moba, beletrie', '', 'české, Vlastimil Vondruška']"
n674810436,Smrt podle hvězd - Jan Bauer,100,3,2018,232,Moba,beletrie,Jan Bauer</p>,,"Když v zapadlém koutě Menšího Města pražského najdou zavražděnou nevěstku Rosálii, nikdo netuší, že stejně skončí další mladé dívky. Neznámý vrah si nevybírá. Zabíjí nevěstky,...",183,242,"['Moba, beletrie', '', 'české, Jan Bauer']"
n644700495,Přichází čas pomsty - Veronika Černucká,0,0,2018,232,Moba,beletrie,Veronika Černucká</p>,,"Několik zavražděných a záhadný vzkaz na místě činu. Pilařov je ospalé městečko ve středních Čechách a jeho obyvatelé působí na první pohled mírumilovně. Kdo z nich je vrah,...",183,269,"['Moba, beletrie', '', 'české, Veronika Černucká']"
n619222433,Ulička hanby - Letopisy královské komory - Vondruška Vlastimil,90,1,2018,224,Moba,beletrie,Vondruška Vlastimil</p>,,"Královský písař Jiří Adam z Dobronína se v době mládí znal s ženou, která se později vypracovala na majitelku jednoho z nejluxusnějších nevěstinců na Starém Městě pražském....",204,299,"['Moba, beletrie', '', 'české, Vondruška Vlastimil']"
n605230231,"Moravská Bastei MOBA, s. r. o. Krev na kapradí",100,4,2018,224,Moba,beletrie,Vlastimil Vondruška</p>,,"Kniha navazuje na úspěšnou sbírku povídek Krev na lopuchu a skládá se ze dvou částí. V té první je osm příběhů, v nichž jako hlavní vyšetřovatel vystupuje Oldřich z Chlumu a...",217,265,"['Moba, beletrie', '', 'české, Vlastimil Vondruška']"
n638891421,"Josef I., můj přítel - Sirotková Soňa",0,0,2018,224,Moba,beletrie,Sirotková Soňa</p>,,"Malý Josef, následník habsburského trůnu, je těžce nemocný. Vážnou chorobu nedokážou odvrátit ani modlitby, ani lékaři. Tajně je tedy povolán šestiletý Fabian, nemanželský syn...",183,269,"['Moba, beletrie', '', 'české, Sirotková Soňa']"
n637267876,Omyl kronikáře Kosmy - Dobrylovský Jiří,0,0,2018,216,Moba,beletrie,Dobrylovský Jiří</p>,,"Kronikář Kosmas je spjat s počátky našich dějin díky své kronice, první písemné památce, která mapuje osudy zakladatelů českého národa. Staré pověsti české tak, jak je Kosmas...",165,259,"['Moba, beletrie', '', 'české, Dobrylovský Jiří']"
n588857701,Mluvit o EX není dobré pro SEX - Alena Jakoubková,100,1,2018,224,Moba,beletrie,Jakoubková Alena</p>,,"Ella je vynikající kuchařka, vaří v obyčejné hospůdce, ale její tradiční česká jídla jsou vyhlášená široko daleko. Robert, její přiženěný bratranec, je též skvělý kuchař, má...",170,249,"['Moba, beletrie', '', 'české, Jakoubková Alena']"
n584637878,Smrt malé blondýnky - Češka Stanislav,100,1,2018,232,Moba,beletrie,Češka Stanislav</p>,,"Další příběh soukromého detektiva Berky je inspirovaný skutečným případem sexuální vraždy malého děvčátka v 80. letech minulého století. Je to jeden z případů, který Berka...",163,239,"['Moba, beletrie', '', 'české, Češka Stanislav']"
n707610655,Vražda Kafkova vnuka,0,0,2018,216,Moba,beletrie,Jaroslav Kuťák</p>,,"Připravujeme na listopad 2017 Když obyčejný sběratel drobností objeví tajemství minulosti, které může mít celosvětový dosah, neví, zda sebere odvahu, aby se ujal temných...",170,249,"['Moba, beletrie', '', 'české, Jaroslav Kuťák']"
