db_id,name,rating,reviews_cnt,year,pages_cnt,publisher,genre,author,lang,description,price_from,price_to,unparsed
n670041420,Pošťákova snoubenka - Thériault Denis,100,2,2018,200,Plus,beletrie,české</p>,,"V montrealském bistru U Madlenky pracuje půvabná dívka Tania. Víří mezi stoly jako tanečnice a hosté ji mají rádi. Jen ten, do něhož je potají zamilovaná, jako by ji neviděl....",179,299,"['Plus, beletrie', '', 'české']"
n674078541,Nad propastí byla tma,0,0,2018,216,Plus,beletrie,české</p>,,"Kafkovsky laděný příběh o proměně a znovuzrození jednoho muže 

„Mámě děkuju za to, že mě porodila, a holkám, že se mnou spaly. Jsem muž, který za sebe děkuje. Zapsal si...",192,256,"['Plus, beletrie', '', 'české']"
n674078509,Surinam - kolektiv Surinam,90,2,2018,232,Plus,beletrie,české</p>,,"Někdy 280 twitterovských znaků zkrátka nestačí 

Dvanáct autorů, známých především z prostředí českého Twitteru, vedle svých každodenních tweetů píše i delší texty do online...",166,229,"['Plus, beletrie', '', 'české']"
n616449071,Dnes v noci jsem ji viděl - Drago Jančar,0,0,2018,216,Plus,beletrie,české</p>,,"Válečná Lublaň i slovinské podhůří, smetánka, nacisté i partyzáni… a mladá okouzlující žena z vysoké společnosti Veronika Zarniková, která jednoho dne záhadně zmizí.
Veroničin...",183,269,"['Plus, beletrie', '', 'české']"
n604965253,Putování jednoho slona - José Saramago,0,0,2018,184,Plus,beletrie,české</p>,,Saramago se pro svůj román o sloním putování inspiroval skutečnou událostí. Zhruba v polovině 16. století se totiž portugalský král Jan III. rozhodl vyslat přes celou Evropu...,173,249,"['Plus, beletrie', '', 'české']"
n652765244,Továrna na vafle - Helinski Roman,0,0,2018,208,Plus,beletrie,české</p>,,"V továrně na vafle vládne čilý ruch, vše běží v zajetých kolejích, vafle přijíždějí na páse a ženské je balí do krabic... Pak ale přichází narušitel! Arka Narovski – vysoký,...",187,269,"['Plus, beletrie', '', 'české']"
n593090023,Ptačí tribunál - Agnes Ravatnová,0,0,2018,216,Plus,beletrie,české</p>,,"Dva lidé v izolovaném fjordu, dvě tajemství a minulost, které nelze uniknout ani na kraji světa. 

Po veřejném skandálu opustí televizní moderátorka Allis Hagtornová svého...",173,249,"['Plus, beletrie', '', 'české']"
n682439091,"Pokřtěni křížem - Eduard Kočergin, Veronika Hlavatá ilustrácie",0,0,2018,232,Plus,beletrie,české</p>,,"V roce 1939 jsou Eduardovi polští rodiče neoprávněně zatčeni pro špionáž a jejich dvouletý syn končí v sirotčinci na Sibiři, kde tamější dozorci vládnou tvrdou rukou. Odtud se...",191,269,"['Plus, beletrie', '', 'české']"
n621145179,Raubířské zpěvy a morytáty - Milan Valenta,0,0,2018,224,Plus,beletrie,české</p>,,"Raubířské zpěvy a morytáty jsou souborem temných, vzrušujících i lyricky podmanivých příběhů inspirovaných skutečnými událostmi či legendami, které se váží k Olomouckému kraji...",173,249,"['Plus, beletrie', '', 'české']"
n616449028,Mimo provoz - Adam Chromý,0,0,2018,224,Plus,beletrie,české</p>,,"Všechno má své datum spotřeby – o tom se přesvědčila zasloužilá televizní hlasatelka Silvie Ostrčilová, když se vedení televize usneslo uvaděčské vstupy z obrazovky zcela...",138,249,"['Plus, beletrie', '', 'české']"
n647926373,Nenávratně ztracené leváctví - Jerzy Pilch,0,0,2018,192,Plus,beletrie,české</p>,,"Nikdy nevíte, co se může nenávratně ztratit, dokud to máte.
Nenávratně ztracené leváctví je soubor humoristických a vzpomínkových fejetonů, které kombinují časovost tohoto...",187,269,"['Plus, beletrie', '', 'české']"
n582632041,"Nazdar, vitamíne - Khongová Rachel",0,0,2018,184,Plus,beletrie,české</p>,,"Skvělý mix humoru, lásky a vzpomínek, které stojí za záchranu. Život třicetileté Ruth se neubírá zrovna šťastným směrem. Těsně před Vánoci se rozejde se svým snoubencem a k...",137,249,"['Plus, beletrie', '', 'české']"
