db_id,name,rating,reviews_cnt,year,pages_cnt,publisher,genre,author,lang,description,price_from,price_to,unparsed
n270303725,Síla pozitivního žití,100,2,1996,256,,naučná,Pragma,české,"Dva miliony Američanů s díky vzhlíží k pastoru N. Pealovi, jehož rady a doporučení jim pomohly změnit jejich dosavadní životy. Čtivým a nenásilným způsobem přibližuje autor...",129,228,"['naučná', '', 'Pragma, české']"
n2155127,Nevyšlapanou cestou - Peck M. Scott,94,15,1996,280,,esoterika,Argo,české,"Nevyšlapanou cestou kniha od autora M. Scott Peck. Kniha uznávaného amerického psychoterapeuta, ve které se autor zabývá novou psychologií lásky, tradičních hodnot a duchovního...",209,298,"['esoterika', '', 'Argo, české']"
n459664670,"Herbář léčivých rostlin 4. P - Š - Jiří Janča,Josef A. Zentrich,Magdalena Martínková",0,0,1996,290,,naučná,Eminent,české,"Čtvrtý díl nejucelenějšího herbářového díla v historii českých zemí přináší byliny zařazené pod písmeny P až Š. Barevné ilustrace Magdalena Martínková.

Autor: Josef A....",154,229,"['naučná', '', 'Eminent, české']"
n458955371,"Herbář léčivých rostlin (7) - Josef A. Zentrich, Jiří Janča",96,3,1996,272,,naučná,Eminent,české,"Nejucelenější herbářové dílo v historii českých zemí korunoval poslední společný díl obou autorů, který nese výstižný podtitul RECEPTÁŘ. Stovky rad a receptů na léčbu a...",157,229,"['naučná', '', 'Eminent, české']"
n455957409,Herbář léčivých rostlin (6) - Josef A. Zentrich; Jiří Janča,0,0,1996,278,,naučná,Eminent,české,"Nejucelenější herbářové dílo v historii českých zemí, jehož 6. díl je věnován bylinám, které jsou méně známé nebo se na našem trhu objevily teprve nedávno. Tento díl vyšel na...",154,229,"['naučná', '', 'Eminent, české']"
n459936048,Jmenuji se Ašer Lev - Chaim Potok,100,1,1996,290,,beletrie,Argo,české,Román o snaze prosadit svou identitu a individualitu navzdory pevnému sevření židovské komunity.Kniha Jmenuji se Ašer Lev od autora Chaim Potok byla vydána 07.05.1999 má 290...,209,298,"['beletrie', '', 'Argo, české']"
n430825,"Kabala VOLVOX Papus,",87,1,1996,262,,esoterika,Volvox Globator,české,"Pod pojmem Kabala obyčejně rozumíme soubor vnitřních mystických nauk, vztahujících se k židovské náboženské tradici. Již z tohoto důvodu představuje Kabala rozsáhlý souhrn...",199,199,"['esoterika', '', 'Volvox Globator, české']"
n45148693,Tajemství Tibetu 2 - Květoslav Minařík,0,0,1996,298,,naučná,české</p>,,"TIBETSKÁ KNIHA MRTVÝCH komentovaná Květoslavem Minaříkem je dokladem, že nalezl pravdu překonávající každé poznání získané jen teoreticky. Poznal a ukazuje cestu k řešení...",270,339,"['naučná', '', 'české']"
n675431489,Atlas topografické anatomie,60,1,1996,290,,naučná,Grada,české,"Z originálu „Atlas der topografischen Anatomie vydaného nakladatelstvím Georg Thieme Verlag, přeložil Josef Stingl. „Chirurg bez anatomie je roven krtkovi: pracuje ve tmě a...",451,569,"['naučná', '', 'Grada, české']"
n285109574,"Hemeroid, křečové žíly,infarkt Janča Jiří",0,0,1996,240,,naučná,Fontána,české,"Ona „sprostá nemoc“ z půvabné povídky Jaroslava Haška je pouze jedním z projevů chorobného onemocnění, na něž v současné době umírá nejvíce lidí: poruch srdce, cév a krevního...",223,348,"['naučná', '', 'Fontána, české']"
