db_id,name,rating,reviews_cnt,year,pages_cnt,publisher,genre,author,lang,description,price_from,price_to,unparsed
n43799726,Peníze od Hitlera,97,3,2006,248,Host,beletrie,Denemarková Radka,české,"Druhá autorčina prozaická kniha je opět groteskně potemnělým příběhem, panoptikem, v němž se ve dvou časových rovinách léta 1945 a léta 2005 odvíjí osud Gity Lauschmanové,...",140,219,"['beletrie', '', 'Host, Denemarková Radka, české']"
n459925704,Hesse Hermann - Stepní vlk,0,0,2006,252,Argo,beletrie,Hermann Hesse,české,Samostatné vydání světově proslulého románu z roku 1927. Hesse v něm bilancuje krize uplynulého desetiletí a pokouší se formulovat východiska z nich. Poučen psychoanalýzou...,165,228,"['beletrie', '', 'Argo, Hermann Hesse, české']"
n565031,"Prosím stručně -- Rozhovor s Karlem Hvížďalou, poznámky, dokumenty - Václav Havel",79,2,2006,256,Gallery s. r. o.,beletrie,Vaclav Havel,české,"Prosím stručně. Jak podtitul napovídá, jde o literární koláž, ve které se střídají tři žánry: rozhovor, původní výňatky z instrukcí nejbližším spolupracovníkům na Hradě a...",48,147,"['beletrie', '', 'Gallery s. r. o., Vaclav Havel, české']"
n436416,"Hobit aneb Cesta tam a zase zpátky (ilustrované vyd., nakl. Argo",94,28,2006,274,Argo,sci-fi a fantasy,J. R. R. Tolkien,české,"Téměř uprostřed bouřlivého a nebezpečného světa se nachází celkem poklidný a umírněný Kraj, který ve svých malebných vesničkách obývá nenápadná rasa - hobiti. Jsou vesměs milí,...",280,398,"['sci-fi a fantasy', '', 'Argo, J. R. R. Tolkien, české']"
n11648572,Návrat vyhnance - Raymond E. Feist,0,0,2006,280,,sci-fi a fantasy,Feist Raymond E.,české,"Vévoda Kašpar mířil velmi vysoko - o to hlubší byl jeho pád. Nyní byl z rozhodnutí Konkláve odvržen do vzdálené země, kde jeho moc, postavení, styky či bohatství nic...",385,403,"['sci-fi a fantasy', '', 'Feist Raymond E., české']"
n565313,"Meče a čertoviny - Leiber Fritz, Milan Fibiger",100,1,2006,264,Triton,sci-fi a fantasy,Fritz Leiber,české,"První kniha sebraných povídek zakladatele žánru Meče a magie, první setkání dvojice tolikrát neúspěšně kopírované, až originál připomíná vlastní parodii. Seveřan Fafhrd,...",127,199,"['sci-fi a fantasy', '', 'Triton, Fritz Leiber, české']"
n459926642,Bukowski Charles - Příběhy obyčejného šílenství,0,0,2006,252,Argo,beletrie,Charles Bukowski,české,"Čtyřiatřicet povídek z neobyčejně plodného období v životě Charlese Bukowského, konce šedesátých a začátku sedmdesátých let. Tehdy svými provokativními texty pravidelně...",182,259,"['beletrie', '', 'Argo, Charles Bukowski, české']"
n332996037,"Star Trek - Nová generace 12: Svět zkázy - Peter Allen David, Ro",0,0,2006,256,Laser,sci-fi a fantasy,Carter Carmen,české,"Planeta Kirlos - umělý svět zbudovaný záhadným, dávno vyhynulým druhem jménem Ariantu. Nyní na něm žije mnoho druhů jak z Federace, tak z K'vinské hegemonie, a užívají si léta...",118,169,"['sci-fi a fantasy', '', 'Laser, Carter Carmen, české']"
n378593,Mraky nad Barrandovem - Sláva i zatracení českých filmových hvězd v době protektorátu a v časech poválečných ortelů,91,5,2006,312,Rybka Publishers,životopisy,Motl Stanislav,české,Mraky nad Barrandovem - Sláva i zatracení českých filmových hvězd v době pr kniha od autora Motl Stanislav. Sláva i zatracení českých filmových hvězd v době protektorátu a v...,191,299,"['životopisy', '', 'Rybka Publishers, Motl Stanislav, české']"
n414372916,Zabíječ upírů,83,2,2006,296,Polaris,beletrie,King William,české,"Šestý díl fantasy série o Gotrekovi a Felixovi ze světa Warhammeru. V nikdy nekončící válce proti chaosu musí Gotrek, trolobijce hledající slavnou smrt, a jeho lidský společník...",184,259,"['beletrie', '', 'Polaris, King William, české']"
