db_id,name,rating,reviews_cnt,year,pages_cnt,publisher,genre,author,lang,description,price_from,price_to,unparsed
n4316411,"Matrix Božský zdroj, Most mezi časem, prostorem, zázraky a vírou",92,10,2009,288,Metafora,esoterika,Gregg Braden,české," 

Autor: Gregg Braden
Počet stran: 288
Rozměry: 205 x 130mm

 
Průkopník kvantové teorie, Max Planck, kdysi šokoval celý svět tvrzením, že existuje jakýsi zdroj, v němž se...",184,279,"['esoterika', '', 'Metafora, Gregg Braden, české']"
n455349914,"Lidové tradice - Původ lidových tradic, zvyky, pověry, pranostiky, říkadla - 240 různých her - Šottnerová Dagmar",60,0,2009,256,,dětské,Šottnerová Dagmar,české,"Tato krásná kniha Lidové tradice přinese Vám i Vašim dětem podrobné informace o českých tradicích, které souvisejí s křesťanskými svátky, světci a koloběhem v přírodě. Jsou zde...",211,319,"['dětské', '', 'Šottnerová Dagmar, české']"
n459929024,Jóga a ájurvéda,100,2,2009,296,Fontána,esoterika,David Frawley,české,"Jóga a ájurvéda
Nauky jógy a ájurvédské medicíny tvoří dohromady ucelený přístup k výtečné tělesné kondici, vitalitě a vyšším formám vědomí. Dr. David Frawley, jeden z předních...",210,328,"['esoterika', '', 'Fontána, David Frawley, české']"
n45149429,Cesta pokojného bojovníka Dan Millman,88,2,2009,240,Eugenika,esoterika,Dan Millman,slovenské,"Táto kniha patrí ku klasike duchovnej a motivačnej literatúry na celom svete. Je písaná formou pútavého príbehu, čiastočne autobiografického, čiastočne fiktívneho. V prvej...",195,250,"['esoterika', '', 'Eugenika, Dan Millman, slovenské']"
n459934069,"Peníze a zákon přitažlivosti - Esther Hick, Jerry Hick",88,4,2009,272,Pragma,esoterika,Hicks Esther a Jerry,české,"Ústředním tématem této knihy autorů Abraham-Hicks je mocný Zákon přitažlivosti jako jeden z obecně platných, všudypřítomných a ve svém působení neomylně důsledných a...",172,248,"['esoterika', '', 'Pragma, Hicks Esther a Jerry, české']"
n21960854,Život mezi životy Naše nesmrtelné bytí,97,4,2009,304,Eugenika,esoterika,Michael Newton,české,"Michael Newton, PhD./ Eugenika, brožovaná, 303 stran.
Tato kniha přináší tak detailní a systematický popis duchovního světa, posmrtných stavů a existence duší v období mezi...",215,348,"['esoterika', '', 'Eugenika, Michael Newton, české']"
n533610616,Tajuplný ostrov,0,0,2009,248,Albatros,dětské,Ondřej Neff,české,"Lincolnův ostrov nikdo nikdy na mapě nenašel, a přece ho znají lidé na celém světě. Už déle než sto třicet let na něm prožívají dobrodružství s pěticí trosečníků, kteří na něm...",200,252,"['dětské', '', 'Albatros, Ondřej Neff, české']"
n456622284,"Byron Katie, Mitchell Stephen - Měj rád skutečnost -- Čtyři otázky, které vám změní život",93,2,2009,280,,esoterika,,české,"Zčistajasna, jako čerstvý vánek, se na knižním trhu zahlceném radami, co si myslet a čemu věřit, objevuje Byron Katie a její Práce. Uprostřed obyčejného života začala Katie...",168,249,"['esoterika', '', 'Eminent, Mitchell, Stephen, české']"
n4422490,Vábivé ticho -- Štít smrti a snů - Joe Simpson,94,5,2009,312,Jota,cestopisy,Joe Simpson,české,"V0147921
Život a smrt na Eigeru

Po heroickém zápase o přežití v Andách, o němž podal svědectví ve svém bestselleru Setkání se smrtí, žil Joe Simpson život plný dobrodružství,...",191,269,"['cestopisy', '', 'Jota, Joe Simpson, české']"
n460961497,Tattvické karty,0,0,2009,250,Fontána,esoterika,Jonn Mumford,české,"Dr. Jonn Mumford/ Fontána, kniha a 26 karet.
Magie tattev
přináší efektní nauku, v níž se spojuje duchovní moudrost Východu s magickou praxí Západu. Toto fascinující,...",375,578,"['esoterika', '', 'Fontána, Jonn Mumford, české']"
