db_id,name,rating,reviews_cnt,year,pages_cnt,publisher,genre,author,lang,description,price_from,price_to,unparsed
n153363390,Právo cenných papírů,0,0,2013,242,C.H.Beck,naučná,české</p>,,Učebnice práva cenných papírů navazuje na tradici beckovských „kursů obchodního práva“ a je první ucelenou českou učebnicí věnovanou cenným papírům po schválení nového...,550,690,"['C.H.Beck, naučná', '', 'české']"
n141421237,Evropské mezinárodní právo soukromé,0,0,2013,304,C.H.Beck,naučná,české</p>,,"Již druhé vydání úspěšné publikace přináší především reakci na legislativní vývoj v nejdynamičtěji se rozvíjející oblasti evropského soukromého práva.

Druhé vydání:
* Podává...",671,790,"['C.H.Beck, naučná', '', 'české']"
n91112494,Sociální práva cizinců,0,0,2013,286,C.H.Beck,naučná,české</p>,,"Moderní systém sociální ochrany je budován k pokrytí většiny sociálních událostí, se kterými může být občan daného státu, od narození do smrti, konfrontován. Mezinárodní...",399,450,"['C.H.Beck, naučná', '', 'české']"
n98233465,Trestání delikventní mládeže,0,0,2013,256,C.H.Beck,naučná,české</p>,,"Předkládaná monografie přináší ucelené, aktuální zpracování problematiky sankcí, ukládaných delikventní mládeži, včetně sankcí neformálních – odklonů v trestním řízení. 

 Tato...",479,540,"['C.H.Beck, naučná', '', 'české']"
n101351087,Koupě a prodej. Nový občanský zákoník. Společná evropská právní úprava prodeje,0,0,2013,268,C.H.Beck,naučná,české</p>,,Nabytí účinnosti nového občanského zákoníku bude znamenat v mnoha ohledech fundamentální změnu pro celé české soukromé právo. Nová právní úprava zasáhne i problematiku koupě a...,435,490,"['C.H.Beck, naučná', '', 'české']"
n124948712,Nadnárodní společnosti v České republice. Vývojové trendy - Organizace a řízení - Kultura a odpovědn,0,0,2013,240,C.H.Beck,naučná,české</p>,,"Jsou velké, silné, vysoce produktivní. Vytváří hodnotu pro zákazníky, dávají lidem práci, jsou společensky odpovědné. Působí v globálním měřítku, vymykají se kontrole trhů i...",417,490,"['C.H.Beck, naučná', '', 'české']"
n105484498,"Politika a politický marketing - Štědroň, Potůček, Prorok a kol.",0,0,2013,256,C.H.Beck,naučná,české</p>,,"V klasickém pojetí je politický marketing součástí politického managementu. Politický marketing obvykle používá klasický marketingový mode 4P, který zahrnuje tržní segmentaci,...",502,590,"['C.H.Beck, naučná', '', 'české']"
n132977242,Právo sociálního zabezpečení,0,0,2013,290,C.H.Beck,naučná,české</p>,,"Šesté vydání vysokoškolské učebnice přináší oproti předcházejícímu vydání z roku 2010 zejména reakci na legislativní vývoj ve zkoumané oblasti.

 Tato publikace:
 • V...",541,1,"['C.H.Beck, naučná', '', 'české']"
n85584713,Místní poplatky,0,0,2013,240,C.H.Beck,naučná,české</p>,,"Kniha je úplným průvodcem po tématu místních poplatků. Cílem autora bylo vytvořit praktickou příručku, z níž se zájemci dozvědí všechny potřebné informace. Co v knize najdete?...",430,490,"['C.H.Beck, naučná', '', 'české']"
n91112496,Dvacet let Evropské úmluvy v České republice a na Slovensku,0,0,2013,296,C.H.Beck,naučná,české</p>,,"Kdokoliv zabývající se Úmluvou o ochraně lidských práv a základních svobod a judikaturou Evropského soudu pro lidská práva vždy naráží, u dynamického dokumentu, jakým Úmluva...",435,490,"['C.H.Beck, naučná', '', 'české']"
