db_id,name,rating,reviews_cnt,year,pages_cnt,publisher,genre,author,lang,description,price_from,price_to,unparsed
n189372931,Šachové figurky - Peter May,91,2,2014,270,Host,beletrie,české</p>,,"Nový začátek vlije Finu Macleodovi nový optimismus do žil. Znovu se usadil na ostrově Lewis v souostroví Hebridy, kde kdysi žil jako dítě. Jakožto bývalý policejní detektiv je...",148,296,"['Host, beletrie', '', 'české']"
n271994678,"Dívka, která si hrála s ohněm Denise Mina, Andrea Mutti, Leonardo Manco",0,0,2014,272,Host,beletrie,české</p>,,Druhý román mezinárodní bestsellerové trilogie Milénium v komiksové podobě. Novinář spolupracující s časopisem Milénium a jeho partnerka jsou zavražděni krátce před...,322,424,"['Host, beletrie', '', 'české']"
n109644996,Příspěvek k dějinám radosti - Radka Denemarková,100,1,2014,300,Host,beletrie,české</p>,,"Sex, Edvard Beneš a nezávislost vlaštovek v novém groteskním románu jedné z nejvýraznějších autorek současné české literatury. Život čtyř hlavních postav v průběhu staletí...",211,329,"['Host, beletrie', '', 'české']"
n188384308,Dohlížej na mě,0,0,2014,270,Host,beletrie,české</p>,,"Život Eilidh Lawsonové se právě obrátil vzhůru nohama. Její manželství je v koncích a přišla o dlouho vytoužené dítě. Je duševně i fyzicky vyčerpaná a neví, co dělat. Jako by...",185,289,"['Host, beletrie', '', 'české']"
n157578652,Kdo miluje jinak,10,1,2014,250,Host,beletrie,české</p>,,"Osmá kniha série Konrad Sejer.
Další pokračování případů vyšetřovatele Konrada Sejera a jeho spolupracovníka Jacoba Skarreho. Empatický a strhující portrét společnosti, viděný...",167,269,"['Host, beletrie', '', 'české']"
n274417543,Norský dandy - Jan Guillou,100,1,2014,312,Host,beletrie,české</p>,,"Druhá kniha série Velké století.

Román Norský dandy, je příběh o mladém inženýrovi a vynikajícím malíři Sverrem Lauritzenovi a jeho první lásce, Britovi lordu Albertu...",211,329,"['Host, beletrie', '', 'české']"
n188384303,Úterní ženy mezi bylinami a řepou,93,3,2014,303,Host,beletrie,české</p>,,"Kiki, vynervovaná ze špatného vzduchu, nekonečných problémů s parkováním a ruchu ze staveniště vedle jejich bytu v Kolíně, se rozhodne odstěhovat s mužem a dvouletou dcerkou na...",185,289,"['Host, beletrie', '', 'české']"
n188384139,Procitnutí slečny Primové,0,0,2014,287,Host,beletrie,české</p>,,"Kouzelný příběh o lásce a přátelství mezi knihami
Slečna Prudencia Primová, nezávislá, distingovaná a „intenzivně otitulovaná“ žena, se nechá zlákat
sugestivním inzerátem v...",178,279,"['Host, beletrie', '', 'české']"
n188316848,Malá noční žranice - Jiří Šimáček,0,0,2014,272,Host,beletrie,české</p>,,"Malá noční žranice se jako předchozí knihy odehrává v současném Brně a je s nimi volně propojena i některými postavami. Líčí osudy stárnoucího vdovce, který se nedokáže smířit...",185,289,"['Host, beletrie', '', 'české']"
n274416688,Dvanáct kmenů Hattiiných Ayana Mathisová,0,0,2014,304,Host,beletrie,české</p>,,V roce 1923 odchází patnáctiletá Hattie Shepherdová se svou matkou a sestrami z Georgie a s vidinou lepšího života se usazuje ve Filadelfi i. Její naděje se však nenaplní a...,186,299,"['Host, beletrie', '', 'české']"
n163116846,Morantologie,0,0,2014,312,Host,beletrie,české</p>,,"Morantologie — to nejlepší z Caitlin Moranové v historicky první sbírce jejích sloupků. V knize Jak být ženou jsem se omezila na jediné téma: ženy. Jejich vlasy, jejich boty a...",191,269,"['Host, beletrie', '', 'české']"
n188384142,Smluvní podmínky,0,0,2014,296,Host,beletrie,české</p>,,"V0239339
Úžasně vtipná kniha o tom, že malým písmem mohou být napsané věci, které mají velký význam.

Frank měl autonehodu.* Doktor mu řekl, že přišel o slezinu, ale Frank...",225,269,"['Host, beletrie', '', 'české']"
n158243463,Zlá žena,0,0,2014,248,Host,beletrie,české</p>,,"Barcelona, rok 1911. Chudinskou čtvrtí se šíří podivné zvěsti o příšeře, která v poslední době unesla a zavraždila několik dětí. Policie je bezmocná a navíc ji tento případ ani...",249,260,"['Host, beletrie', '', 'české']"
