db_id,name,rating,reviews_cnt,year,pages_cnt,publisher,genre,author,lang,description,price_from,price_to,unparsed
n304494853,Proces Franz Kafka,0,0,2014,272,Omega,beletrie,české</p>,,Život se může někdy změnit doslovně z minuty na minutu. Tento pocit musel asi mít i velmi slušný a spořádaný bankovní úředník Josef K. Místo kuchařky se snídaní do jeho pokoje...,170,249,"['Omega, beletrie', '', 'české']"
n212270021,Proměna a jiné povídky - Franz Kafka,90,2,2014,240,Omega,beletrie,české</p>,,"Mladý a pracovitý obchodní cestující Řehoř Samsa, na jehož platu závisí fungování celé rodiny, se jednoho dne probudí a zjistí, že se změnil v jakýsi odporný hmyz a místo...",190,265,"['Omega, beletrie', '', 'české']"
n188295404,Divá Bára a jiné prózy,97,2,2014,240,Omega,beletrie,české</p>,,"Anotace:
Na samém konci malé dědiny Vestec byla malá chalupa, ve které žil obecní pastýř Josef se svou dcerou Bárou. Ženu již neměl, zemřela pár let po porodu. Tato tragická...",136,199,"['Omega, beletrie', '', 'české']"
n180705116,Zámek - Kafka Franz,73,2,2014,272,Omega,beletrie,české</p>,,"Zámek

Hlavním hrdinou románu Zámek je mladý zeměměřič K. Přijíždí neznámo odkud do neznámé vesnice, aby zde provedl geodetické měření.
Brzy si všimne, že mu místní obyvatelé...",170,249,"['Omega, beletrie', '', 'české']"
n259848034,Bílý tesák Jack London,88,3,2014,248,Omega,beletrie,české</p>,,"Bílý tesák

Příběh Bílého tesáka se odehrává během zlaté horečky na sklonku devatenáctého století v Kanadě a západní části Spojených států. V tomto dobrodružném a romantickém...",149,199,"['Omega, beletrie', '', 'české']"
n149102557,Moravskoslezské pověsti,0,0,2014,304,Omega,beletrie,české</p>,,"Moravsko-slezské pověsti kniha od autora Wenig Adolf. Adolf Wenig, autor dětské literatury a operních libret, byl také plodným sběratelem pověstí. Další jeho sbírka pověstí,...",170,249,"['Omega, beletrie', '', 'české']"
n259847903,Don Quijote de La Mancha Cervantes de Miguel,100,1,2014,248,Omega,beletrie,české</p>,,"V malé španělské vesnici na náhorní plošině La Mancha žil chudý šlechtic, který se nazýval Quijana. Měl dvě velké vášně - lov a četbu rytířských eposů. To druhé mu dokonce...",190,229,"['Omega, beletrie', '', 'české']"
n188295421,Z archívu Sherlocka Holmese,98,2,2014,288,Omega,beletrie,české</p>,,Po letech strávených detektivní prací v pochmurném Londýně zatoužil Sherlock Holmes po klidu a rozhodl se aktivní činnost ukončit. Osud ale rozhodl jinak. Z přání nejlepšího...,156,229,"['Omega, beletrie', '', 'české']"
n191101918,Miláček,0,0,2014,304,Omega,beletrie,české</p>,,"Mladý a přitažlivý Jiří Duroy získá po návratu z armády mizerně placené úřednické místo, které díky starému příteli vymění za pozici novináře v nepříliš významném francouzském...",170,249,"['Omega, beletrie', '', 'české']"
n202555889,Robin Hood,92,2,2014,248,Omega,beletrie,české</p>,,"O Robinu Hoodovi slyšel asi každý. Slavný zbojník ze Sherwoodského lesa, který bohatým bral a chudým dával, patří již několik staletí mezi jednoho z nejoblíbenějších hrdinů...",156,229,"['Omega, beletrie', '', 'české']"
n188295414,Psohlavci,0,0,2014,256,Omega,beletrie,české</p>,,"Psohlavci (kniha)

Bezpečnost českých hranic na Šumavě zajišťovali již od čtrnáctého století Chodové. Byli to drsní hraničáři, kteří se nebáli obětovat život pro dobro státu....",156,229,"['Omega, beletrie', '', 'české']"
n188296210,Povídky z jedné a druhé kapsy - Čapek Karel,100,2,2014,256,Omega,beletrie,české</p>,,Kdo zabil slavného herce? Proč zloděj píše básně? Vede mírumilovné sbírání kaktusů ke zločinu? Co s člověkem udělá dvanáct let žaláře? Může Bůh vůbec soudit hříšníky? Odpověď...,136,199,"['Omega, beletrie', '', 'české']"
