db_id,name,rating,reviews_cnt,year,pages_cnt,publisher,genre,author,lang,description,price_from,price_to,unparsed
n317156002,Noora - JK Johansson,0,0,2015,240,XYZ,beletrie,české</p>,,"Noora, hlavní hrdinka druhé části trilogie Prokletí Městečka Palokaski, je zoufale osamělá dívka bez přátel. Když policisté objeví na pláži v Palokaski mrtvé tělo její...",54,268,"['XYZ, beletrie', '', 'české']"
n362957345,Šťastně až navěky - Elizabeth Maxwell,100,1,2015,256,XYZ,beletrie,české</p>,,Příběh o setkání autorky erotických románů s fiktivním hrdinou své nejnovější knihy v reálném životě. Příběh o setkání autorky erotických románů s fiktivním hrdinou své...,54,231,"['XYZ, beletrie', '', 'české']"
n278228853,Rosemary má děťátko - Ira Levin,100,2,2015,256,XYZ,beletrie,české</p>,,Kultovní bestseller. Kultovní román Rosemary má děťátko balancuje na pomezí psychologického příběhu a hororu. Rosemary a její manžel Guy se nastěhují do vysněného apartmánu v...,201,289,"['XYZ, beletrie', '', 'české']"
n260446125,"Frajer - Michaela Zindelová, Jiří Ježek [CZ]",98,4,2015,264,XYZ,beletrie,české</p>,,Jaký je život nejúspěšnějšího hendikepovaného sportovce Jiřího Ježka? Cyklista Jiří Ježek (1974) je nejúspěšnější hendikepovaný sportovec paralympijské historie a také jeden z...,197,289,"['XYZ, beletrie', '', 'české']"
n362926070,Rudá Sibiř - Sam Eastland,0,0,2015,304,XYZ,beletrie,české</p>,,Vraždy podle Stalina I přes běsnění války v Polsku je Stalin stále posedlý hledáním zlata posledního ruského cara Mikuláše II. a jeho rodiny. Jeden z informátorů ho dovede na...,229,299,"['XYZ, beletrie', '', 'české']"
n301678846,Čtvrtý jezdec Apokalypsy - Hana Whitton,90,3,2015,240,XYZ,beletrie,české</p>,,"Napínavá detektivka ze současnosti, která vás zavede do hluboké minulosti. První úmrtí vypadá jako nešťastná náhoda. Jen do té doby, než Kateřina Králová dostane tajemný vzkaz,...",47,223,"['XYZ, beletrie', '', 'české']"
n287403622,Call Girl v utajení - Rebecca Kade,60,2,2015,288,XYZ,beletrie,české</p>,,"Možná jste slyšeli o Anně Gristině, která údajně řídila multimilionový podnik s placenými společnicemi. Mezi její klienty patřili miliardáři z časopisu Forbes nebo vysoce...",54,257,"['XYZ, beletrie', '', 'české']"
n237164251,Bujná fantazie Olivie Joulesové Helen Fieldingová,85,3,2015,304,XYZ,beletrie,české</p>,,"Další skvělý román Helen Fieldingové!
 
 Jmenuje se Olivia. Olivia Joulesová. Je to novinářka a píše do rubriky Styl v časopise Elan a do Sunday Times, cestuje po celém světě a...",204,299,"['XYZ, beletrie', '', 'české']"
n307673435,The Juliette Society,60,1,2015,296,XYZ,beletrie,české</p>,,"Ve své románové prvotině zavede Sasha Grey čtenáře do Juliette Society, tajné erotické společnosti, kde se může stát cokoliv…

Studentka filmové vědy Catherine má tajemství:...",204,299,"['XYZ, beletrie', '', 'české']"
n308628740,Babičky: Mrtvý kuchař. Brilantní finská variace na slečnu Marplovou - Minna Lindgren - XYZ,87,1,2015,304,XYZ,beletrie,české</p>,,"První díl ďábelsky zábavné a napínavé detektivní trilogie z prostředí domova důchodců. Neumíte si představit, že by mohlo v domově důchodců dojít k něčemu nezákonnému - ať už k...",204,299,"['XYZ, beletrie', '', 'české']"
n237164248,Milostné pletky Nathaniela P. - Adelle Waldman,0,0,2015,312,XYZ,beletrie,české</p>,,"Nathaniel Piven je vycházející hvězdou brooklynské literární scény. Jeho svět je plný duchaplných večírků a inteligentní konverzace, která nepostrádá vtip a lehkost....",149,299,"['XYZ, beletrie', '', 'české']"
