db_id,name,rating,reviews_cnt,year,pages_cnt,publisher,genre,author,lang,description,price_from,price_to,unparsed
n452607174,Praktikum z trestního práva - Jiří Jelínek,0,0,2016,304,Leges,naučná,české</p>,,Příručka přináší aktualizovaný výběr klauzurních prací z trestního práva hmotného a trestního práva procesního zpracovaných na Právnické fakultě UK v Praze a Právnické fakultě...,271,446,"['Leges, naučná', '', 'české']"
n375574520,Nájemní a družstevní bydlení podle občanského zákoníku a obchodních korporacích,0,0,2016,288,Leges,naučná,české</p>,,"Aktualizované vydání praktické příručky reflektuje změny v oblasti bytového práva, především novou úpravu placení oprav a připravovaný zákon o sociálním bydlení.

 Příručka se...",321,440,"['Leges, naučná', '', 'české']"
n359048679,"Praktikum civilního procesu - 1. část - Klára Hamuľáková, Jana Petrov Křiváčková, Renáta Šínová",0,0,2016,240,Leges,naučná,české</p>,,"První část Praktika civilního procesu obsahuje jak praktické příklady, tak i vzorová zadání klauzurních prací a žalob. Je zpracována podle právního stavu ke dni 1. 12. 2015 a...",265,434,"['Leges, naučná', '', 'české']"
n438723267,Zbrojní průkaz - Jiří Záruba,100,2,2016,280,Leges,naučná,české</p>,,"Páté vydání oblíbené příručky přináší žadatelům o zbrojní průkaz ucelený souhrn všech právních norem, jejichž znalost je nutná k úspěšnému vykonání teoretické části zkoušky...",314,370,"['Leges, naučná', '', 'české']"
n434764589,Praktikum práva Evropské unie,0,0,2016,288,Leges,naučná,české</p>,,Praktikum pokrývá klíčové otázky a nejnovější trendy v právu Evropské unie. Jeho koncepce odpovídá náplni výuky předmětů zaměřených na ústavní a institucionální právo Evropské...,315,378,"['Leges, naučná', '', 'české']"
n369456683,Vzory podání a úkonů v řízení o přestupcích s vysvětlivkami - kolektív,0,0,2016,288,Leges,naučná,české</p>,,"Kniha obsahuje vzory pro řízení o přestupcích od jeho zahájení po soudní přezkum. Vzory vychází ze zákona o přestupcích, správního řádu a soudního řádu správního.

Jedná se jak...",330,450,"['Leges, naučná', '', 'české']"
n378907066,Limity autorskoprávní ochrany,0,0,2016,272,Leges,naučná,české</p>,,Monografie se zabývá analýzou a srovnáním problematiky limitů autorskoprávní ochrany v České republice a v zahraničí. Středem pozornosti jsou obecné (definiční) limity a...,278,390,"['Leges, naučná', '', 'české']"
n446953541,Ochrana osobnosti v common law a českém právu,0,0,2016,256,Leges,naučná,české</p>,,"Kniha představuje komplexní úvod do problematiky ochrany osobnosti v systému common law, zejména v právu anglickém, zemí Commonwealthu, USA a Kanady, která dosud nebyla...",359,563,"['Leges, naučná', '', 'české']"
n386056082,Vnitřní trh v judikatuře Evropského soudního dvora - David Petrlík,0,0,2016,256,Leges,naučná,české</p>,,"Rok 2004 byl pro Evropskou unii bezprecedentním, protože došlo k navýšení počtu jejích členských států o deset nových zemí ze střední a východní Evropy. To mělo dopad jak na...",284,457,"['Leges, naučná', '', 'české']"
n358174332,"Kontroverzní názory v právu - Hefnerová ,Vičarová Hana; Madleňáková, Lucia",0,0,2016,280,Leges,naučná,české</p>,,"Obsah
Sborník prezentuje příspěvky z devátého ročníku konference Olomoucké debaty mladých právníků 2015. Letošním tématem debaty byly kontroverzní názory v právu. Jak se...",284,457,"['Leges, naučná', '', 'české']"
