db_id,name,rating,reviews_cnt,year,pages_cnt,publisher,genre,author,lang,description,price_from,price_to,unparsed
n454084568,"Znamení Jednorožce - Körnerová, Hana Marie",98,3,2017,272,Baronet,beletrie,Hana Marie Körnerová</p>,,"Historie, dobrodružství, romantika, napětí. To všechno nabízí nový román Hany Marie Körnerové odehrávající se v polovině osmnáctého století ve Francii. Zavede nás na dvůr...",198,251,"['Baronet, beletrie', '', 'české, Hana Marie Körnerová']"
n454084562,"Eclipse Bay - Léto - Quick, Amanda",97,6,2017,296,Baronet,beletrie,Quick Amanda</p>,,"Do Eclipse Bay přichází léto, a mezi Harteovými a Madisonovými opět přituhuje. Zdá se, že záhadná majitelka galerie, Octavia Brightwellová, uvažuje před odjezdem z města o...",187,299,"['Baronet, beletrie', '', 'české, Quick Amanda']"
n714886093,Stine Robert Lawrence - Nebuď dlouho vzhůru,0,0,2017,248,Baronet,beletrie,Stine Robert L.</p>,,"V malém městě Shadyside raději nezůstávejte moc dlouho vzhůru, protože uprostřed noci se může stát něco děsivého…

 Lisu Brooksovou pronásledují dnem i nocí noční můry a...",57,248,"['Baronet, beletrie', '', 'české, Stine Robert L.']"
n585590511,Poslední tanec - Ed McBain,0,0,2017,248,Baronet,beletrie,McBAIN Ed</p>,,"Proč má starý kardiak, jenž údajně zemřel pokojně ve spánku, na krku stopy po oprátce? Maskuje dcera otcovu sebevraždu jen proto, aby zúročila životní pojistku? Potřebuje tak...",194,299,"['Baronet, beletrie', '', 'české, McBAIN Ed']"
n495586602,"Uloupená hvězda - McBain, Ed",0,0,2017,288,Baronet,beletrie,Ed McBain</p>,,"Uloupená hvězda kniha od autora McBain Ed. Říká se, že spisovatel, matematik a fotograf, jehož svět zná pod jménem Lewis Caroll, byl milý, zábavný člověk, který měl rád děti. A...",195,299,"['Baronet, beletrie', '', 'české, Ed McBain']"
n489919738,"Prachy, prachy, prachy - McBain, Ed",0,0,2017,272,Baronet,beletrie,McBAIN Ed</p>,,"""
Zločinu se ve Velikém zlém městě daří opravdu velmi dobře, to pro pány detektivy z 87. revíru není nic nového. Novinkou pro ně není ani skutečnost, že velká část všech...",194,299,"['Baronet, beletrie', '', 'české, McBAIN Ed']"
n495736407,"Romance - McBain, Ed",0,0,2017,304,Baronet,beletrie,McBAIN Ed</p>,,"Nenechte se mýlit, další z řady příběhů o mládencích z 87. revíru rozhodně není jen sladkobolným vyprávěním o něžných citech. Romance je název divadelní hry, jejíž hlavní...",194,299,"['Baronet, beletrie', '', 'české, McBAIN Ed']"
n495704005,"Kamarádi - Cimický, Jan",100,2,2017,272,Baronet,beletrie,Cimický Jan</p>,,"Dramatický příběh o síle a touze člověka i o potřebě a pevnosti přátelství. Příběh, který čtenáře udrží v napětí a odmění ho příjemnýmpocitem uvolnění.

 Dlouho jen tak proti...",171,259,"['Baronet, beletrie', '', 'české, Cimický Jan']"
n457443684,Baronet a. s. Blanický rytíř,0,0,2017,248,Baronet,beletrie,Cimický Jan</p>,,"Doktor Kvokanda je klinický psycholog na sklonku odborné kariéry, krátce před penzí. Začíná na sobě pozorovat příznaky, s nimiž často přicházejí lidé za ním. Přestává vnímat...",119,259,"['Baronet, beletrie', '', 'české, Cimický Jan']"
n732385888,Stine Robert L. - Ostrov strachu,0,0,2017,240,Baronet,beletrie,Stine Robert L.</p>,,"Rachel Martinovou přátelé varovali, ať na narozeninovou párty Brendana Feara, která se koná v letním sídle jeho rodiny na tajemném ostrově, nechodí. Jenže Rachel je do Brendana...",64,250,"['Baronet, beletrie', '', 'české, Stine Robert L.']"
