db_id,name,rating,reviews_cnt,year,pages_cnt,publisher,genre,author,lang,description,price_from,price_to,unparsed
n554809580,Svatba z Vysočiny - Howell Hannah,96,2,2017,280,Oldag,beletrie,české</p>,,"Tvář sira Iaina MacLagana je poznamenána jizvou, která mu denně připomíná ženu, o niž přišel, a nepřítele, jenž ho stále pronásleduje.

 Skotský král Iainovi nařizuje, aby se...",179,279,"['Oldag, beletrie', '', 'české']"
n707610162,Výkupné z Vysočiny - Hannah Howell,100,1,2017,296,Oldag,beletrie,české</p>,,"Milostný, romantický příběh z prostředí skotské Vysočiny.

Aimil Mengueová a její bratr jsou zajati nepřátelským klanem a obávají se o život. Vůdce klanu, proslavený válečník...",179,279,"['Oldag, beletrie', '', 'české']"
n496166396,Cosi o tobě - Julie James,90,1,2017,264,Oldag,beletrie,české</p>,,"Osud spojil dva zapřisáhlé nepřátele...

Ze všech hotelových pokojů v Chicagu si asistentka státního zástupce Spojených států amerických Cameron Lyndeová musela vybrat právě...",179,279,"['Oldag, beletrie', '', 'české']"
n707609844,Na ostří nože,80,1,2017,264,Oldag,beletrie,české</p>,,"Po osmi letech vyčerpávajícího, ale přátelského soutěžení očekávají Payton Kendallová a J. D. Jameson, že se stanou ve své prestižní chicagské právnické firmě partnery. Když...",119,279,"['Oldag, beletrie', '', 'české']"
n486235502,Napravený prostopášník - Gayle Callen,100,1,2017,280,Oldag,beletrie,české</p>,,"Milostný historický román z poloviny 19. století z prostředí anglické smetánky. 

Nechvalně proslulý prostopášník Leo Wade tráví čas raději v londýnských hernách a dámských...",181,279,"['Oldag, beletrie', '', 'české']"
n532897053,Omyl statného Skota,100,1,2017,248,Oldag,beletrie,české</p>,,"Když v noci probudí Rionu ze spánku statný Skot a unese ji, je nejprve zděšena a potom vzteky bez sebe. Hugh McCallum tvrdí, že když byli dětmi, rodiče domluvili jejich sňatek,...",179,279,"['Oldag, beletrie', '', 'české']"
n575930838,O té noci - Julie James,0,0,2017,280,Oldag,beletrie,české</p>,,"Současný román z právnického prostředí.

Rylann Pierceová se snažila zaplašit jiskření, které vzniklo mezi ní a miliardářským dědicem a počítačovým expertem v jedné osobě Kylem...",179,279,"['Oldag, beletrie', '', 'české']"
n579365374,Ženich v kiltu - Callen Gayle,0,0,2017,264,Oldag,beletrie,české</p>,,"Děj dalšího historického příběhu oblíbené autorky se odehrává na skotské Vysočině.

Sny Maggie McCallumové o jejím snoubenci nepatří mezi romantické. A nejde jen o to, že byla...",179,279,"['Oldag, beletrie', '', 'české']"
n464043029,Zkrocení vévody,0,0,2017,280,Oldag,beletrie,české</p>,,"Úžasný příběh o vykoupení z hříchů, o lásce a vášni se odehrává ve viktoriánské Anglii první poloviny devatenáctého století.

Vévoda, jenž potřebuje zkrotit…, dáma, jež odmítá...",179,279,"['Oldag, beletrie', '', 'české']"
n567747673,Hašteřivá kráska - Jackie Ivie,100,1,2017,304,Oldag,beletrie,české</p>,,"Skotská romance ze 17. století.

 Jeho lehkomyslný opilecký bratr ruinuje klan a dívka, kterou miluje celý život, se dostává do spárů agresivního manžela. Poslední věc, kterou...",185,260,"['Oldag, beletrie', '', 'české']"
