db_id,name,rating,reviews_cnt,year,pages_cnt,publisher,genre,author,lang,description,price_from,price_to,unparsed
n557054615,"Dědečku, vyprávěj - Etiketa a etika pro děti komplet 3 knihy + 3 CD - Špaček Ladislav",96,23,2017,304,Mladá fronta,dětské,Ladislav Špaček,české,"Dárkový box, který obsahuje 3 úspěšné knihy a audioknihy Ladislava Špačka o etiketě pro děti.. Dědečku, vyprávěj Dědečku, ještě vyprávěj Dědečku, už chodím do školy Naučit je...",479,584,"['dětské', '', 'Mladá fronta, Ladislav Špaček, české']"
n443562615,"Euromedia Group, a.s. Neználek ve Slunečním městě",100,2,2017,296,Knižní klub,dětské,Nikolaj Nosov,české,"Nová dobrodružství Neználka a jeho kamarádů. Neználek, Knoflenka a Strakáček se s pomocí kouzelné hůlky vydají do Slunečního města. Jak už název napovídá, ve Slunečním městě je...",293,341,"['dětské', '', 'Knižní klub, Nikolaj Nosov, české']"
n649455785,Navždy s láskou Lara Jean - Jenny Hanová,100,1,2017,296,COOBOO,dětské,Hanová Jenny,české,"Půvabný román o dospívání z úspěšné série Všem klukům, které jsem milovala.Tento titul je dostupný také v kolekci za výhodnou cenu. Lara Jean zažívá ten nejlepší maturitní...",208,299,"['dětské', '', 'COOBOO, Hanová Jenny, české']"
n478726014,Ztřeštěný dům na stromě - 13 pater - Griffiths Andy,88,6,2017,256,Sun,dětské,Andy Griffiths,české,"Vítejte u Andyho a Terryho v domě na stromě, nejzábavnějším a nejskvělejším domě na světě! A ještě k tomu v domě s 13 patry, kde najdete vše, co si snad ani nedokážete...",155,239,"['dětské', '', 'Sun, Andy Griffiths, české']"
n475322947,Kočičí válečníci 3 - Les plný tajemství - Erin Hunter,97,6,2017,296,Albatros,dětské,Erin Hunter,české,"Kočičí válečníci (3) - Les plný tajemství kniha od autora Erin Hunterová. Klany divokých kočičích válečníků se mísí. V lese je cítit napětí, přátelé se mohou doslova přes noc...",136,199,"['dětské', '', 'Albatros, Erin Hunter, české']"
n563428079,Už nikdy pěšky po Arménii a Gruzii - Ladislav Zibura,93,23,2017,312,BizBooks,cestopisy,Ladislav Zibura,české,"Po dvojici bestsellerů přichází Ladislav Zibura s novým dobrodružstvím – tentokrát se vydává do Arménie, Gruzie a Náhorního Karabachu. Princ Ládík putuje po těch...",229,329,"['cestopisy', '', 'BizBooks, Ladislav Zibura, české']"
n496115981,Walliams David: Nejhorší děti na světě Kniha,96,9,2017,268,Argo,dětské,David Walliams,české,Perfektní zábavné čtení pro děti nejen na prázdniny. Sbírka deseti báječně zlomyslných historek o nejhorších dětech na světě. Seznamte se s pěti příšernými kluky a pěti...,209,298,"['dětské', '', 'Argo, David Walliams, české']"
n522141713,Jakubův cestovní deník - Jakub Čech,97,5,2017,296,XYZ,cestopisy,Jakub Čech,české,"Do svých čtyřiceti let byl Jakub gaučový povaleč. O dva roky později, v dubnu 2016, se postavil na hranice Mexika a USA a se šest a půl kilovým batohem na zádech vyrazil na...",197,289,"['cestopisy', '', 'XYZ, Jakub Čech, české']"
n673193860,Josef Lada Dětem,0,0,2017,304,Albatros,dětské,Josef Lada,české,"Albatros Josef Lada Dětem

Kocour Mikeš je nejznámějším zvířátkem z Ladových pohádek. S kocourem jsou v pohádkách ale i všechny další zvířátka, pomocí kterých pan Lada předával...",251,369,"['dětské', '', 'Albatros, Josef Lada, české']"
n423610263,Velká kniha kocoura Vavřince,100,2,2017,280,BB ART,dětské,Věra Faltová,české,"Kocour Vavřinec spolu s kamarády – rozmazlenou psí holčičkou Otylkou, nerudným kozlíkem Spytihněvem a prasátkem-snílkem Mojmírem – prožívají celou řadu napínavých i veselých...",485,699,"['dětské', '', 'BB ART, Věra Faltová, české']"
n551752740,Kočičí válečníci 4 - Bouře přichází - Erin Hunter,95,8,2017,304,Albatros,dětské,Hunterová Erin,české,"Ohnivousův největší nepřítel Dráp byl vyhnán z Bouřkového klanu, ale Ohnivous se nemůže zbavit pocitu, že se ukryl nedaleko a v nestřeženém okamžiku zaútočí. V lese panuje...",136,199,"['dětské', '', 'Albatros, Hunterová Erin, české']"
n672973850,Tisíc kousků tebe,0,0,2017,280,COOBOO,dětské,Claudia Grayová,české,Rodiče Marguerity Cainové jsou fyzikové. Díky nim vyrostla v prostředí odvážných vědeckých teorií. Nejpozoruhodnější z nich je poslední vynález její matky – jmenuje se Ohnivák...,208,285,"['dětské', '', 'COOBOO, Claudia Grayová, české']"
n532529803,Deník malého Minecrafťáka 3 - Cube Kid,94,7,2017,256,Computer Press,dětské,Cube Kid,české,"Třetí pokračování dobrodružství malého vesničana na cestě za kariérou bojovníka ve světě Minecraftu!
Dnes bylo všechno jinak. Dnes jsme si konečně uvědomili, čemu musíme čelit....",204,270,"['dětské', '', 'Computer Press, Cube Kid, české']"
n673190034,Růže pro Charlotte - Elizabeth Craft,100,1,2017,264,,dětské,Shea Olsen,české,"Osmnáctiletá Charlotte Reedová si život dokonale naplánovala. Výborně se učí, po škole pracuje v květinářství a chodí na praxi do univerzitní vědecké laboratoře, po maturitě...",39,214,"['dětské', '', 'EUROMEDIA GROUP, a.s., Elizabeth Craft, Shea Olsen, české']"
n474847726,Chlapec na vrcholu hory - John Boyne,0,0,2017,240,Slovart / BRIO,dětské,John Boyne,české,"Když osud malému Pařížanovi Pierrotovi určí, že bude žít u tety na vrcholu hory, nemá chlapec ještě ponětí, kam se svět řítí. Jenže píše se rok 1935 a tajuplný dům, kde teta...",181,242,"['dětské', '', 'Slovart / BRIO, John Boyne, české']"
n500003590,Transport za věčnost - František Tichý,0,0,2017,244,,dětské,František Tichý,české,"Autor : František Tichý, Popis : 
 Jendova otce právě zatklo gestapo a dvanáctiletý kluk nemůže tušit, co přijde dál: vyloučení jeho židovských přátel ze studia na gymnáziu,...",162,279,"['dětské', '', 'František Tichý, české']"
n443466463,"Euromedia Group, a.s. Hádanky a hlavolamy ze světa Středozemě",98,3,2017,256,Universum,dětské,Tim Dedopulos,české,"Kniha má drobné škrábance. Pozoruhodná sbírka hádanek a hlavolamů pro všechny milovníky Tolkienových příběhů, kteří rádi luští rébusy. Svět J.R.R. Tolkiena je neuvěřitelně...",285,332,"['dětské', '', 'Universum, Tim Dedopulos, české']"
n489356814,Labyrint prequel 2 – Horečka - Dashner James,100,2,2017,312,,dětské,James Dashner,české,"Druhý prequel celosvětově populární scifi série o Labyrintu. – Nastal konec světa. Lesy hořely, jezera a řeky vyschly, hladiny oceánů se zvýšily. Pak přišla epidemie, horečka,...",221,265,"['dětské', '', 'EUROMEDIA GROUP, a.s., James Dashner, české']"
n673230174,Auta: Nejkrásnější kolekce,93,2,2017,264,Egmont,dětské,Kolektiv autorů,české,"Skvělé příběhy kamarádů na kolech ve velké obrázkové knížce!

Chtěli byste si změřit rychlost se slavným závoďákem Bleskem McQueenem nebo se vypravit s jeho nejlepším...",272,379,"['dětské', '', 'Egmont, Kolektiv autorů, české']"
n576696780,Moravský kras v ponorné řece času - Zajíček Petr,98,4,2017,280,Academia,cestopisy,Petr Zajíček,české,Moravský kras je naše nejlépe vyvinuté krasové území s největším počtem povrchových a podzemních krasových jevů. Nepatrný díl České republiky severně od Brna byl popisován a...,359,555,"['cestopisy', '', 'Academia, Petr Zajíček, české']"
n460138470,Matylda,98,4,2017,248,Knižní klub,dětské,Roald Dahl,české,"Matylda Kazisvětová je geniální. Uměla plynně mluvit, když jí ještě nebyly ani dva roky, a ve čtyřech už četla Nadějné vyhlídky od Charlese Dickense. Jela do Afriky s Ernestem...",197,592,"['dětské', '', 'Knižní klub, Roald Dahl, české']"
