db_id,name,rating,reviews_cnt,year,pages_cnt,publisher,genre,author,lang,description,price_from,price_to,unparsed
n558308525,Zvířata a rostliny v lese,91,8,2017,256,Universum,naučná,Peter Wohlleben</p>,,"Průvodce přírodou od známého autora, jehož tituly figurují na žebříčku bestsellerů. Tato výpravná barevná kniha obsahuje výběr nejčastějších druhů ze světa zvířat, rostlin a...",237,299,"['Universum, naučná', '', 'české, Peter Wohlleben']"
n533582168,Techniky malby,100,2,2017,304,Universum,naučná,Dorling Kindersley</p>,,"Tato kniha vás provede od základů malby až po práci s vodovými, akrylovými a olejovými barvami. Naučíte se vše, co potřebujete znát o tónech, barvách, texturách a práci se...",399,474,"['Universum, naučná', '', 'české, Dorling Kindersley']"
n476075604,Zabití krále - Vražda Jicchaka Rabina - Ephron Dan,100,2,2017,304,Universum,naučná,Dan Ephron</p>,,"Strhující, a přitom věcné a podrobné vylíčení událostí, které vedly k vraždě Jicchaka Rabina, dodnes nejzávažnější události v nedávných dějinách Izraele, a následně k...",79,300,"['Universum, naučná', '', 'české, Dan Ephron']"
n547043179,Zvířata v kostce - Tom Jackson,100,1,2017,288,Universum,naučná,Tim Harris</p>,,"Lze získat odborné informace o živočišné říši, aniž bychom intenzivním studiem strávili několik vysokoškolských semestrů? Kniha z populární ediční řady „v kostce“ to nejen...",396,475,"['Universum, naučná', '', 'české, Tom Jackson, Tim Harris']"
n521384637,Traktory : Ilustrované dějiny techniky - Milada Burianová,96,4,2017,304,Universum,naučná,Milada Burianová</p>,,"Od prvních strojů pro polní práce, které ještě neměly vlastní pohon, prodělaly traktory obdivuhodný vývoj. Nejrůznější převratné vynálezy umožnily vznik legendárních traktorů,...",316,369,"['Universum, naučná', '', 'české, Milada Burianová']"
n555376160,Utopie pro realisty - Bregman Rutger,0,0,2017,256,Universum,naučná,Rutger Bregman</p>,,"Žijeme ve společnosti, která je bohatší než kdy dříve, a přitom máme paradoxně stále méně času pro sebe a své koníčky, pracujeme mnohdy na bezesmyslných pozicích, a sociální...",221,279,"['Universum, naučná', '', 'české, Rutger Bregman']"
n521384638,Lokomotivy: Ilustrované dějiny techniky - Milada Burianová,100,4,2017,304,Universum,naučná,Milada Burianová</p>,,"Lokomotivy jsou symbolem síly a mobility už od počátku 19. století. První parní lokomotivy se používaly hlavně v těžebním průmyslu, ale inženýři jako Georgie Stephenson byli...",316,379,"['Universum, naučná', '', 'české, Milada Burianová']"
n533398360,Hvězdy: Úplný obrazový průvodce vesmírem - kolektiv autorů,100,1,2017,256,Universum,naučná,Kolektiv autorů</p>,,Hvězdy: Úplný obrazový průvodce vesmírem kniha od autora kolektiv autorů. Kniha je strhujícím průvodcem po nejpůsobivějších a nejzajímavějších místech ve vesmíru od třpytivých...,476,554,"['Universum, naučná', '', 'české, Kolektiv autorů']"
n552801252,"Mapy měst - Historická výprava za mapami, plány a obrazy měst - Jaroslav Hofmann",97,5,2017,256,Universum,naučná,Jaroslav Hofmann</p>,,Tato knížka vás prostřednictvím více než 70 nádherně ilustrovaných městských plánů a map seznámí s hlavními centry lidské civilizace – od starověké metropole Říma po současný...,476,599,"['Universum, naučná', '', 'české, Jaroslav Hofmann']"
n467331185,Neznámý vesmír v 10 kapitolách - Stuart Clark,95,2,2017,288,Universum,naučná,Stuart Clark</p>,,"Aktuální příručka o vesmíru a o tom, jak nás naše poslední objevy o hlubokém kosmu nutí přehodnocovat, co o něm vlastně víme a co ne. Dne 21. března 2013 zveřejnila Evropská...",221,258,"['Universum, naučná', '', 'české, Stuart Clark']"
n555127162,Menší knížka o německých spisovatelích z Čech a Moravy - Kosatík Pavel,20,1,2017,288,Universum,naučná,Pavel Kosatík</p>,,"Přehledné dějiny německy psané literatury vzniklé v českých zemích v 10.-20. století s důrazem na přelom 19. a 20. století.

 Kniha postupně seznamuje čtenáře s německou...",194,299,"['Universum, naučná', '', 'české, Pavel Kosatík']"
n567496576,JÍZDNÍ KOLA: velký obrazový průvodce,50,1,2017,256,Universum,naučná,Dorling Kindersley</p>,,"Výpravná encyklopedie zachycuje slovem i obrazem historii jízdních kol, od prvních kostitřasů po špičková horská a treková kola. Najdete v ní nejslavnější cyklistické závody,...",476,599,"['Universum, naučná', '', 'české, Dorling Kindersley']"
