db_id,name,rating,reviews_cnt,year,pages_cnt,publisher,genre,author,lang,description,price_from,price_to,unparsed
n588857698,Dračí náhrdelník - Hříšní lidé Království českého - Vlastimil Vondruška,97,27,2018,304,Moba,beletrie,Vlastimil Vondruška</p>,,"Oldřich z Chlumu se zúčastní okázalé slavnosti na hradě Jaroslava ze Šternberka, kde se sejde výkvět české šlechty. V průběhu večera zmizí Elška, manželka veverského purkrabího...",246,304,"['Moba, beletrie', '', 'české, Vlastimil Vondruška']"
n663026944,He řmánkové údolí - Körnerová Hana Marie,100,6,2018,256,Moba,beletrie,Hana Marie Körnerová</p>,,"Strhující příběh ženy, které osud původně rozdal horší kartu než jiným. Byla silná, ačkoli si svou sílu neuvědomovala, a statečná, ačkoli o statečnosti nikdy nepřemýšlela....",223,289,"['Moba, beletrie', '', 'české, Hana Marie Körnerová']"
n656176969,Epi štoly o elitách a lidu - Vlastimil Vondruška,97,18,2018,240,Moba,beletrie,Vlastimil Vondruška</p>,,"Volné pokračování úspěšné knihy Breviář pozitivní anarchie, která podrobně rozebírala nejrůznější problémy současnosti. Jim se věnuje i nový titul, ale tentokrát z pohledu dvou...",204,299,"['Moba, beletrie', '', 'české, Vlastimil Vondruška']"
n644700497,Mrtví promlouvají - Linda Castillo,100,1,2018,256,Moba,beletrie,Linda Castillo</p>,,"O staré farmě Hochstetlerových se v Painters Millu šušká, že je prokletá. Policejní náčelnice Kate Burkholderová je přivolána na místo, kde se zdánlivě vlastní rukou sprovodil...",248,349,"['Moba, beletrie', '', 'české, Linda Castillo']"
n625905642,Kavárna malých zázraků - Nicolas Barreau,80,1,2018,288,Moba,beletrie,Nicolas Barreau</p>,,"Někdy člověk nejprve musí ztratit půdu pod nohama, aby se dostal do sedmého nebe.

 Nelly zbožňuje čtení, věří na znamení a – je nešťastně zamilovaná. Jednoho dne v knize své...",230,269,"['Moba, beletrie', '', 'české, Nicolas Barreau']"
n643253818,Na porážku,0,0,2018,272,Moba,beletrie,Tony Parsons</p>,,Na Nový rok je v bohaté londýnské čtvrti jedna z rodin nalezena mrtvá. Někdo je odpravil jateční pistolí jako dobytek na porážce. A jejich nejmladší dítě se pohřešuje. Při...,241,339,"['Moba, beletrie', '', 'české, Tony Parsons']"
n630096038,Inspektor Prevít - František Niedl,0,0,2018,240,Moba,beletrie,František Niedl</p>,,"Timothy Prévit není někým, kdo by oslňoval své okolí. Není oblíben doma ani v zaměstnání. Jeho nadřízení ze 17. newyorského policejního okrsku by se ho rádi zbavili, ale to...",212,269,"['Moba, beletrie', '', 'české, František Niedl']"
n584637885,Zabitý před klášterem - Koubková Zuzana,100,1,2018,256,Moba,beletrie,Zuzana Koubková</p>,,"Pražská města už dávno nejsou tou metropolí jako za časů posledních Přemyslovců, nějaký život v nich ale přece jen pulzuje. A tam, kde se žije, vyrábí, obchoduje a miluje, se...",204,247,"['Moba, beletrie', '', 'české, Zuzana Koubková']"
n588857700,Případ pro kriminálku - Ladislav Beran,0,0,2018,312,Moba,beletrie,Beran Ladislav</p>,,"I ostřílený pachatel je okolnostmi donucen nakonec říct pravdu – o tom vypráví nové krimi případy píseckého emeritního komisaře kriminální služby Ladislava Berana, který už...",177,259,"['Moba, beletrie', '', 'české, Beran Ladislav']"
n643253817,Mrtvá ve vodě,100,1,2018,272,Moba,beletrie,Ann Granger</p>,,"Neobvykle deštivá zima rozvodnila řeky a na pozemku místního spisovatele se objevilo vyplavené tělo mladé dívky Courtney Higsonové, zavražděné bodnou ránou do srdce. Spisovatel...",252,319,"['Moba, beletrie', '', 'české, Ann Granger']"
