db_id,name,rating,reviews_cnt,year,pages_cnt,publisher,genre,author,lang,description,price_from,price_to,unparsed
n582632051,Za zavřenými dveřmi - Paris B.A.,96,8,2018,264,Motto,beletrie,české</p>,,"Knihám označeným zlatou pečetí Edice TOP věnujte zvýšenou pozornost! Předchází je pověst největších světových bestsellerů, které se dočkaly vřelého přijetí kritiky i čtenářů...",157,229,"['Motto, beletrie', '', 'české']"
n673189916,Díky za fíky - Halina Pawlowská,91,23,2018,256,Motto,beletrie,české</p>,,"Volné pokračování úspěšné knihy Díky za každé nové ráno. Vždycky je lepší milovat než nechat se milovat. O tom je tenhle příběh. Taky o tom, že se láska nedá naplánovat, že...",208,299,"['Motto, beletrie', '', 'české']"
n665646456,Proti proudu řeky - Šachová Miloslava,0,0,2018,256,Motto,beletrie,české</p>,,"Historický román z doby vlády Karla IV. 

Purkrabí tajemného Karlova hrádku marně vyhlíží císaře Karla IV. Čas neúprosně běží a hrad zasáhne série podivných úmrtí. Obětí stále...",183,242,"['Motto, beletrie', '', 'české']"
n594482150,Deník japonské manželky - Veronika Ageiwa,60,2,2018,304,Motto,beletrie,české</p>,,"Je možné, aby se Češka stala dokonalou japonskou manželkou?

Když se Veronika poprvé seznámila se spolužákem z Japonska, neměla ani tušení, že se do něj zamiluje a za několik...",170,237,"['Motto, beletrie', '', 'české']"
n616449060,Musím to vědět - Karen Cleveland,0,0,2018,272,Motto,beletrie,české</p>,,Vivian Millerová pracuje jako analytička CIA. Již několik let se snaží s týmem svých kolegů odhalit členy ruské spící buňky na území Spojených států. Poté co se jí podaří...,250,332,"['Motto, beletrie', '', 'české']"
n629490266,Štěstí mi uniká mezi prsty - Agnes Martin-Lugand,90,2,2018,312,Motto,beletrie,české</p>,,"Agnes Martin-Lugand je autorkou bestselleru Šťastní lidé čtou a pijou kávu. Její další kniha Štěstí mi uniká mezi prsty je opět příběh ženy, která se ocitla v životní krizi....",190,266,"['Motto, beletrie', '', 'české']"
n593356304,Bez duše - Martin Stručovský,0,0,2018,280,Motto,beletrie,české</p>,,"Skvělá detektivka z pera talentovaného českého autora. 

Přes den pracuje Matěj Mlynář jako knihkupec. V noci je tu ale pro ty, kteří se ocitli v nesnázích a nemají se na koho...",170,237,"['Motto, beletrie', '', 'české']"
n671454455,Pokoj zázraků - Sandrel Julien,100,1,2018,256,Motto,beletrie,české</p>,,"Co všechno udělá matka, aby zachránila život svého syna? Dojemný a zároveň úsměvný příběh mateřské lásky. Život Thelmy naplňuje její práce a péče o dvanáctiletého syna Louise....",195,256,"['Motto, beletrie', '', 'české']"
n673189918,Kroky v dešti - Katarína Gillerová,100,2,2018,288,Motto,beletrie,české</p>,,"Minulost se nedá utajit. Spletitý příběh jedné rodiny od populární slovenské autorky.. Píše se rok 1979 a zamilovaná středoškolačka Jolana prožívá dny plné lásky s Júliem, o...",220,285,"['Motto, beletrie', '', 'české']"
n592489993,Bílá tma - Zdenka Hamerová,100,1,2018,248,Motto,beletrie,české</p>,,"Kolem Domova pro seniory se děje něco podivného

Rita se dostala do velkých nesnází. Po rozvodu se musela vrátit do rodného městečka, kde začala pracovat v Domově pro seniory....",183,256,"['Motto, beletrie', '', 'české']"
