db_id,name,rating,reviews_cnt,year,pages_cnt,publisher,genre,author,lang,description,price_from,price_to,unparsed
n593626758,Příběhy pilota Pirxe - Stanislaw Lem,80,1,2018,264,Plus,beletrie,české</p>,,"Vesmírné dobrodružství jednoho z nejslavnějších klasiků sci-fi. „I po padesáti šesti letech, které uplynuly od doby, kdy Stanisław Lem napsal první povídku s Pirxem, je pro nás...",204,284,"['Plus, beletrie', '', 'české']"
n604965265,Měsíc mého života - Ondřej Neff,100,1,2018,248,Plus,beletrie,české</p>,,"Přes den pracuje Matěj Mlynář jako knihkupec. V noci je tu ale pro ty, kteří se ocitli v nesnázích a nemají se na koho jiného obrátit. Během podzimního večera vyhledá Matěje i...",170,237,"['Plus, beletrie', '', 'české']"
n657410055,Trosečník sibiřský - Glaserová Světlana,0,0,2018,240,Plus,beletrie,české</p>,,Třetí kniha spisovatelky a ilustrátorky Světlany Glaserové vznikla podle autentických vzpomínek jejího vlastního otce. Na jedné straně bolševické impérium třicátých let 20....,204,284,"['Plus, beletrie', '', 'české']"
n610581521,Žaloba - Bandi,0,0,2018,264,Plus,beletrie,české</p>,,"Kim Ir-sen a po něm Kim Čong-il vládli lidu Severní Koreje pevnou rukou a ani na chvíli nenechávali nikoho na pochybách, že komunistická diktatura chce pro všechny jen to...",205,285,"['Plus, beletrie', '', 'české']"
n625878260,Úřad pro zahrady a rybníky - Didier Decoin,0,0,2018,312,Plus,beletrie,české</p>,,"Na březích japonské řeky Kusagawa leží chudá vesnice. Je domovem muže s výjimečným talentem. Rybář Kacuró ovládá umění lovu nesmírně vzácných kaprů, které dodává do dalekého...",239,314,"['Plus, beletrie', '', 'české']"
n607474359,Zlověstné vlny - Douglas-Home Mark,0,0,2018,304,Plus,beletrie,české</p>,,"Detektivka, která vás stáhne do hlubin.Cal McGill přijíždí na žádost zámožného Davida Wheelera na ostrov Eilean Dubh, aby vyšetřil pět let staré zmizení Wheelerova syna Maxe....",239,314,"['Plus, beletrie', '', 'české']"
n606997745,Merde! Rok v Paříži - Clarke Stephen,0,0,2018,272,Plus,beletrie,české</p>,,"Pravdivý záznam o životě mezi Francouzi...

Stephen Clarke je britský novinář a spisovatel píšící pro francouzskou mediální skupinu v Paříži. Merde. Rok v Paříži je témiř...",136,179,"['Plus, beletrie', '', 'české']"
n629490271,Dračí zuby - Michael Crichton,100,1,2018,264,Plus,beletrie,české</p>,,"Dobrodružný román z Divokého západu od autora Jurského parku. Píše se rok 1876 a vysokoškolák William musí strávit léto na západě Ameriky, a proto se přidá k paleontologovi...",174,285,"['Plus, beletrie', '', 'české']"
n638608240,Na ostří jazyka - Lina Wolffová,0,0,2018,272,Plus,beletrie,české</p>,,"Kolik jazyků umíš, tolikrát se v nich ztratíš.

Je mi třicet šest let a hledám muže. Něžného, ale zase ne moc. Tak zní inzerát Ellinor, která se rozhodne učinit přítrž svým...",204,284,"['Plus, beletrie', '', 'české']"
n682439092,"Muž, který se nechtěl vrátit domů - Roger Pihl, Jindřich Janíček ilustrácie",0,0,2018,280,Plus,beletrie,české</p>,,"Úspěšného manažera Valdemara Vagena provází podivné nehody a náhody. Jednoho dne ho při cestě do práce na kole srazí elektromobil. Aby se po nehodě zotavil, dostane naordinován...",208,269,"['Plus, beletrie', '', 'české']"
n616449064,Už zase skáču přes Merde brož. - Stephen Clarke,0,0,2018,292,Plus,beletrie,české</p>,,Angličan v Paříži – po prvním roce malérů a několika kulturních šocích se Paul West stále ještě snaží naučit Francouze pít čaj o páté a hledá dál svou osudovou lásku. Obojí se...,145,179,"['Plus, beletrie', '', 'české']"
n621145157,Celkem jde o Merde brož. - Stephen Clarke,0,0,2018,296,Plus,beletrie,české</p>,,"Třetí pokračování populární série!
Paul West je až po uši ve finančním merde. Jediná cesta, jak z toho ven, je přijmout pochybné místo, projet napříč Amerikou v Mini Cooperu,...",136,179,"['Plus, beletrie', '', 'české']"
n625439817,Merde Impossible brož. - Stephen Clarke,0,0,2018,272,Plus,beletrie,české</p>,,"Čtvrté pokračování úspěšné řady Merde od Stephena Clarka nás zavede na jih Francie, kde Paul West tráví dovolenou s krásnou blondýnou. Ta touží zjistit, jak se to má s...",136,179,"['Plus, beletrie', '', 'české']"
n632385633,Faktor Merde brož. - Stephen Clarke,0,0,2018,288,Plus,beletrie,české</p>,,"Paul West v dalším střetu s pařížskou byrokracií

Angličan Paul West touží žít svůj pařížský sen a opravdu se přitom snaží zbytečně nedráždit Francouze. Jenže ne zrovna...",122,179,"['Plus, beletrie', '', 'české']"
n588863215,Dívka na sněhu - Kukafka Danya,0,0,2018,296,Plus,beletrie,české</p>,,Úspěšný debut mladé Newyorčanky poodkrývá děsivá tajemství jednoho maloměsta. V coloradském městečku je nalezena zavražděná středoškolačka. Tamní obyvatelé jsou otřeseni a...,168,285,"['Plus, beletrie', '', 'české']"
n657409970,Balada o Barnabáši Pierkielovi,0,0,2018,304,Plus,beletrie,české</p>,,"Balada o Barnabáši Pierkielovi vypráví o (ne tak docela) hrdinských činech mladého pasáčka vepřů, který je mylně přesvědčen o své kráse a moudrosti. Jak se Barnabáš zoufale...",204,284,"['Plus, beletrie', '', 'české']"
