db_id,name,rating,reviews_cnt,year,pages_cnt,publisher,genre,author,lang,description,price_from,price_to,unparsed
n123172211,Silver Bay,0,0,2013,416,Hodder,beletrie,anglické</p>,,"Shortlisted for the 2007 RNA Novel of the Year award, the author of the bestselling SHIP OF BRIDES returns with a stunning and emotionally fulfilling novel.
Coming soon: a...",199,289,"['Hodder, beletrie', '', 'anglické']"
n104634500,"Racketeer - Grisham, John",0,0,2013,386,Hodder,beletrie,anglické</p>,,"Worldwide bestseller John Grisham will keep you on the edge of your seat with his most suspenseful thriller yet.
Given the importance of what they do, and the controversies...",152,222,"['Hodder, beletrie', '', 'anglické']"
n109821133,"Between the Lines Jodi Picoult, Samantha Van Leer",0,0,2013,368,Hodder,beletrie,anglické</p>,,"From the Number One bestselling author Jodi Picoult comes an enchanting fairy tale, written with her teenage daughter. Delilah knows it's weird, but she can't stop reading her...",191,328,"['Hodder, beletrie', '', 'anglické']"
n165933036,October List,0,0,2013,384,Hodder,beletrie,anglické</p>,,"You wait, desperately, for news of your daughter.
At last, the door opens.
But it is not the negotiators, or the FBI.
It is her kidnapper.
And he has a gun . . .
Two days ago,...",197,248,"['Hodder, beletrie', '', 'anglické']"
n225325951,The Wrath of Angels - J. Connolly,0,0,2013,432,Hodder,beletrie,anglické</p>,,"In the depths of the Maine woods, the wreckage of an aeroplane is discovered. There are no bodies. No such plane has ever been reported missing, but men both good and evil have...",213,280,"['Hodder, beletrie', '', 'anglické']"
n84719434,Promises After Dark - Sadie Matthews,0,0,2013,368,Hodder,beletrie,anglické</p>,,"Intensity, sensuality, and seduction awaits in the final part of the provocative romantic After Dark trilogy that has left readers longing for more. Can a fractured love be...",204,287,"['Hodder, beletrie', '', 'anglické']"
n99979010,The Last Victim - Karen Robards,0,0,2013,336,Hodder,beletrie,anglické</p>,,"Dr. Charlotte Stone sees what others do not. An expert in criminal pathology, Charlie regularly sits face-to-face with madmen. She\'s been obsessed with learning what makes...",306,306,"['Hodder, beletrie', '', 'anglické']"
n99979011,Night Strike - Chris Ryan - Extreme,0,0,2013,394,Hodder,beletrie,anglické</p>,,Former SAS hero John Bald is a man at war with himself and fighting a losing battle with the bottle. But then he is reluctantly thrust back into battle... In the race to...,536,536,"['Hodder, beletrie', '', 'anglické']"
n225326310,Guilt by Degrees - M. Clark,0,0,2013,448,Hodder,beletrie,anglické</p>,,No witnesses. No motive. No name. The homeless man's death seems an impossible case to solve. But Deputy District Attorney Rachel Knight isn't going to let that prevent her...,274,274,"['Hodder, beletrie', '', 'anglické']"
n331579530,Girl Behind the Curtain,0,0,2013,320,Hodder,beletrie,anglické</p>,,Sarah Thomson and Marco Donato\'s complicated love affair continues - their passion is a deep one but both have been badly hurt before and are wary of exposing their...,274,274,"['Hodder, beletrie', '', 'anglické']"
n225326175,Love...from Both Sides - N. Spalding,0,0,2013,320,Hodder,beletrie,anglické</p>,,When Nick Spalding self-published Love...From Both Sides and Love...And Sleepless Nights he became one of the bestselling ebook authors of 2012. Now for the first time the...,248,249,"['Hodder, beletrie', '', 'anglické']"
