db_id,name,rating,reviews_cnt,year,pages_cnt,publisher,genre,author,lang,description,price_from,price_to,unparsed
n233665377,Marina - Carlos Ruiz Zafon,0,0,2013,320,Orion,beletrie,Zafon Carlos Ruiz</p>,,"When Fifteen-year-old Oscar Drai suddenly vanishes from his boarding school in Barcelona, no one knows his whereabouts for seven days and seven nights. His story begins when he...",195,272,"['Orion, beletrie', '', 'anglické, Zafon Carlos Ruiz']"
n225446005,"Where'd You Go, Bernadette - Maria Semple",0,0,2013,336,Orion,beletrie,Maria Semple</p>,,"'Like A VISIT FROM THE GOON SQUAD written by Tina Fey' The 2013 Women's Prize shortlisted, NEW YORK TIMES bestseller. Bernadette Fox is notorious. To Elgie Branch, a Microsoft...",150,275,"['Orion, beletrie', '', 'anglické, Maria Semple']"
n96552642,Sharp Objects Flynn Gillian,0,0,2013,328,Orion,beletrie,Gillian Flynn</p>,,"When two girls are abducted and killed in Missouri, journalist Camille Preaker is sent back to her home town to report on the crimes. Long-haunted by a childhood tragedy and...",115,272,"['Orion, beletrie', '', 'anglické, Gillian Flynn']"
n119455290,Standing in Another Man\'s Grave - Ian Rankin,0,0,2013,423,Orion,beletrie,Ian Rankin</p>,,REBUS IS BACK. The superb No.1 bestseller from 'Britain's best crime novelist' EXPRESS A series of seemingly random disappearances - stretching back to the millennium. A mother...,177,369,"['Orion, beletrie', '', 'anglické, Ian Rankin']"
n110219193,Eighty Days White,0,0,2013,320,Orion,beletrie,Vina Jackson</p>,,"I always dreamed of one day falling in love, of knowing what it felt like to love someone so unconditionally. For better or worse. Ever since her days as a student in Brighton,...",190,319,"['Orion, beletrie', '', 'anglické, Vina Jackson']"
n128174470,Prisoner Of Heaven Kniha,0,0,2013,320,Orion,beletrie,Carlos Ruiz Zafon</p>,,You've read THE SHADOW OF THE WIND - now read what happens next ... Includes Reading Group Notes. THE PRISONER OF HEAVEN returns to the world of the Cemetery of Forgotten...,215,369,"['Orion, beletrie', '', 'anglické, Carlos Ruiz Zafon']"
n129132519,Stay Close - Harlan Coben,0,0,2013,405,Orion,beletrie,Harlan Coben</p>,,"Megan once walked on the wild side. Now she\'s got two kids, a perfect husband, a picket fence, and a growing sense of dissatisfaction. Ray used to be a talented documentary...",204,369,"['Orion, beletrie', '', 'anglické, Harlan Coben']"
n212376697,Lady of the Shades - Darren Shan - Paperback,0,0,2013,320,Orion,beletrie,Darren Shan</p>,,"In a hotel room in Chile, an assassin washes blood from his clothes as he receives word of a new job. Miles away in the twisting streets of London, American writer Ed is...",213,272,"['Orion, beletrie', '', 'anglické, Darren Shan']"
n264005815,Distance,0,0,2013,400,,beletrie,,,A blistering debut thriller that introduces the coolest heroine in contemporary suspense fiction. They don't call her Karla anymore. She's Charlotte Alton: she doesn't trade in...,213,300,"['Orion, beletrie', '', 'anglické, Giltrow, Helen']"
n524973436,Night on the Orient Express Henry VeronicaPaperback,0,0,2013,320,Orion,beletrie,Veronica Henry</p>,,"The Orient Express. Luxury. Mystery. Romance. For one group of passengers settling in to their seats and taking their first sips of champagne, the journey from London to Venice...",215,274,"['Orion, beletrie', '', 'anglické, Veronica Henry']"
